Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"2,186",13,75,99.39%,99.39%,99.85%,99.85%,99.54%,99.54%,0.17%,0.17%,0.17%,0.17%
2,1-<2 mo,"2,098",20,79,99.03%,98.43%,99.85%,99.70%,99.17%,98.72%,0.22%,0.27%,0.22%,0.27%
3,2-<3 mo,"1,999",18,95,99.08%,97.52%,99.85%,99.56%,99.22%,97.96%,0.22%,0.34%,0.22%,0.34%
4,3-<4 mo,"1,886",25,93,98.64%,96.20%,99.86%,99.41%,98.78%,96.76%,0.27%,0.43%,0.27%,0.43%
5,4-<5 mo,"1,768",14,105,99.18%,95.41%,99.86%,99.27%,99.32%,96.11%,0.22%,0.47%,0.22%,0.48%
6,5-<6 mo,"1,649",11,99,99.31%,94.75%,99.86%,99.13%,99.45%,95.58%,0.21%,0.51%,0.21%,0.51%
7,6-<7 mo,"1,539",14,89,99.06%,93.87%,99.86%,99.00%,99.20%,94.82%,0.25%,0.56%,0.25%,0.56%
8,7-<8 mo,"1,436",14,84,99.00%,92.92%,99.86%,98.86%,99.13%,94.00%,0.27%,0.61%,0.27%,0.61%
9,8-<9 mo,"1,338",12,94,99.07%,92.06%,99.86%,98.73%,99.20%,93.25%,0.27%,0.65%,0.27%,0.66%
10,9-<10 mo,"1,232",14,71,98.83%,90.98%,99.86%,98.59%,98.96%,92.28%,0.31%,0.70%,0.31%,0.71%
11,10-<11 mo,"1,147",16,96,98.54%,89.66%,99.86%,98.46%,98.68%,91.06%,0.36%,0.77%,0.36%,0.78%
12,11-<12 mo,"1,035",8,90,99.19%,88.93%,99.87%,98.33%,99.32%,90.45%,0.28%,0.80%,0.28%,0.82%
13,12-<13 mo,937,8,67,99.11%,88.15%,99.85%,98.18%,99.26%,89.78%,0.31%,0.84%,0.31%,0.86%
14,13-<14 mo,862,6,83,99.27%,87.50%,99.85%,98.04%,99.42%,89.25%,0.30%,0.88%,0.30%,0.89%
15,14-<15 mo,773,14,72,98.10%,85.84%,99.86%,97.90%,98.24%,87.68%,0.50%,0.97%,0.50%,0.99%
16,15-<16 mo,687,11,68,98.32%,84.39%,99.86%,97.76%,98.46%,86.33%,0.50%,1.04%,0.50%,1.07%
17,16-<17 mo,608,6,76,98.95%,83.51%,99.86%,97.62%,99.08%,85.54%,0.43%,1.09%,0.43%,1.12%
18,17-<18 mo,526,4,74,99.18%,82.82%,99.86%,97.49%,99.32%,84.96%,0.41%,1.14%,0.41%,1.17%
19,18-<19 mo,448,5,71,98.79%,81.82%,99.87%,97.36%,98.92%,84.04%,0.54%,1.21%,0.54%,1.24%
20,19-<20 mo,372,1,85,99.70%,81.57%,99.89%,97.25%,99.81%,83.88%,0.30%,1.23%,0.30%,1.26%
21,20-<21 mo,286,2,77,99.19%,80.91%,99.89%,97.14%,99.30%,83.29%,0.57%,1.31%,0.57%,1.34%
22,21-<22 mo,207,0,60,100.00%,80.91%,99.89%,97.04%,100.0000%*,83.2902%#,0.00%,1.31%,0.00%,1.3436%#
23,22-<23 mo,147,0,80,100.00%,80.91%,99.90%,96.95%,100.0000%*,83.2902%#,0.00%,1.31%,0.00%,1.3436%#
24,23-<24 mo,67,0,67,+,+,99.90%,96.85%,+,+,+,+,+,+
