Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,720,8,35,98.86%,98.86%,99.82%,99.82%,99.04%,99.04%,0.40%,0.40%,0.40%,0.40%
2,1-<2 mo,677,15,22,97.75%,96.63%,99.82%,99.64%,97.92%,96.99%,0.57%,0.69%,0.58%,0.69%
3,2-<3 mo,640,14,26,97.77%,94.48%,99.82%,99.46%,97.94%,94.99%,0.59%,0.88%,0.59%,0.89%
4,3-<4 mo,600,10,23,98.30%,92.87%,99.82%,99.28%,98.48%,93.54%,0.53%,1.00%,0.53%,1.01%
5,4-<5 mo,567,9,32,98.37%,91.35%,99.83%,99.11%,98.53%,92.17%,0.54%,1.11%,0.54%,1.12%
6,5-<6 mo,526,12,31,97.65%,89.21%,99.84%,98.95%,97.81%,90.15%,0.67%,1.24%,0.67%,1.26%
7,6-<7 mo,483,9,38,98.06%,87.48%,99.84%,98.79%,98.22%,88.54%,0.64%,1.35%,0.64%,1.36%
8,7-<8 mo,436,7,26,98.35%,86.03%,99.84%,98.63%,98.51%,87.22%,0.62%,1.43%,0.62%,1.45%
9,8-<9 mo,403,8,27,97.95%,84.26%,99.84%,98.48%,98.10%,85.57%,0.72%,1.53%,0.72%,1.56%
10,9-<10 mo,368,7,24,98.03%,82.61%,99.84%,98.32%,98.19%,84.01%,0.74%,1.62%,0.74%,1.65%
11,10-<11 mo,337,9,27,97.22%,80.31%,99.85%,98.17%,97.37%,81.80%,0.91%,1.75%,0.92%,1.78%
12,11-<12 mo,301,3,26,98.96%,79.47%,99.86%,98.04%,99.10%,81.06%,0.60%,1.80%,0.60%,1.83%
13,12-<13 mo,272,4,18,98.48%,78.26%,99.85%,97.89%,98.63%,79.95%,0.75%,1.87%,0.76%,1.91%
14,13-<14 mo,250,3,26,98.73%,77.27%,99.86%,97.75%,98.88%,79.05%,0.73%,1.93%,0.73%,1.98%
15,14-<15 mo,221,2,34,99.02%,76.51%,99.85%,97.61%,99.17%,78.39%,0.69%,1.99%,0.69%,2.03%
16,15-<16 mo,185,1,21,99.43%,76.08%,99.86%,97.47%,99.57%,78.05%,0.57%,2.02%,0.57%,2.07%
17,16-<17 mo,163,7,21,95.41%,72.58%,99.86%,97.33%,95.54%,74.57%,1.69%,2.32%,1.70%,2.38%
18,17-<18 mo,135,2,15,98.43%,71.44%,99.87%,97.21%,98.56%,73.50%,1.10%,2.42%,1.10%,2.49%
19,18-<19 mo,118,0,18,100.00%,71.44%,99.88%,97.10%,100.0000%*,73.4955%#,0.00%,2.42%,0.00%,2.4886%#
20,19-<20 mo,100,0,24,100.00%,71.44%,99.90%,97.00%,100.0000%*,73.4955%#,0.00%,2.42%,0.00%,2.4886%#
21,20-<21 mo,76,1,23,98.45%,70.34%,99.89%,96.88%,98.56%,72.60%,1.54%,2.62%,1.54%,2.71%
22,21-<22 mo,52,1,14,97.78%,68.77%,99.89%,96.78%,97.89%,71.07%,2.20%,2.99%,2.20%,3.09%
23,22-<23 mo,37,0,18,100.00%,68.77%,99.89%,96.67%,100.0000%*,71.0651%#,0.00%,2.99%,0.00%,3.0942%#
24,23-<24 mo,19,0,19,+,+,99.89%,96.57%,+,+,+,+,+,+
