Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,148,10,8,89.17%,89.17%,99.77%,99.77%,89.37%,89.37%,3.72%,3.72%,3.74%,3.74%
2,1-<2 mo,130,4,4,95.73%,85.42%,99.78%,99.55%,95.93%,85.78%,2.61%,4.19%,2.61%,4.22%
3,2-<3 mo,122,2,3,97.16%,83.11%,99.81%,99.37%,97.31%,83.58%,2.45%,4.46%,2.46%,4.51%
4,3-<4 mo,117,4,3,95.07%,79.12%,99.81%,99.18%,95.24%,79.72%,3.06%,4.83%,3.07%,4.89%
5,4-<5 mo,110,3,5,93.59%,74.55%,99.82%,99.00%,93.72%,75.18%,3.98%,5.17%,3.99%,5.25%
6,5-<6 mo,102,1,6,96.19%,72.25%,99.83%,98.84%,96.32%,72.91%,3.64%,5.30%,3.65%,5.40%
7,6-<7 mo,95,4,7,98.30%,70.73%,99.83%,98.67%,98.31%,71.40%,0.82%,5.34%,0.82%,5.44%
8,7-<8 mo,84,1,1,99.53%,70.34%,99.82%,98.49%,99.54%,71.01%,0.47%,5.35%,0.47%,5.45%
9,8-<9 mo,82,1,6,99.51%,69.94%,99.82%,98.31%,99.52%,70.61%,0.49%,5.36%,0.49%,5.46%
10,9-<10 mo,75,4,6,96.26%,66.89%,99.83%,98.15%,96.29%,67.69%,2.23%,5.58%,2.23%,5.68%
11,10-<11 mo,65,2,4,96.97%,64.60%,99.83%,97.98%,97.00%,65.40%,2.38%,5.75%,2.38%,5.86%
12,11-<12 mo,59,3,0,95.91%,61.70%,99.83%,97.82%,95.93%,62.50%,2.77%,5.91%,2.78%,6.01%
13,12-<13 mo,56,1,6,99.26%,61.17%,99.82%,97.64%,99.26%,61.97%,0.73%,5.92%,0.73%,6.03%
14,13-<14 mo,49,1,3,99.17%,60.59%,99.80%,97.45%,99.18%,61.39%,0.82%,5.94%,0.82%,6.04%
15,14-<15 mo,45,1,3,85.41%,52.54%,99.79%,97.26%,85.53%,53.67%,11.91%,8.14%,11.96%,8.51%
16,15-<16 mo,41,0,2,100.00%,52.54%,99.87%,97.14%,100.00%,53.67%,0.00%,8.14%,0.00%,8.51%
17,16-<17 mo,39,0,7,100.00%,52.54%,99.87%,97.02%,100.00%,53.67%,0.00%,8.14%,0.00%,8.51%
18,17-<18 mo,32,0,5,100.00%,52.54%,99.87%,96.89%,100.00%,53.67%,0.00%,8.14%,0.00%,8.51%
19,18-<19 mo,27,0,7,100.00%,52.54%,99.87%,96.77%,100.00%,53.67%,0.00%,8.14%,0.00%,8.51%
20,19-<20 mo,20,0,2,100.00%,52.54%,99.86%,96.63%,100.00%,53.67%,0.00%,8.14%,0.00%,8.51%
21,20-<21 mo,18,0,6,100.00%,52.54%,99.86%,96.50%,100.00%,53.67%,0.00%,8.14%,0.00%,8.51%
22,21-<22 mo,12,0,4,+,+,99.87%,96.37%,+,+,+,+,+,+
