Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,490,5,32,98.67%,98.67%,99.76%,99.76%,98.89%,98.89%,0.59%,0.59%,0.60%,0.60%
2,1-<2 mo,453,10,21,97.21%,95.95%,99.75%,99.51%,97.42%,96.35%,0.88%,1.03%,0.88%,1.03%
3,2-<3 mo,422,7,20,97.85%,93.93%,99.76%,99.28%,98.08%,94.59%,0.82%,1.25%,0.82%,1.26%
4,3-<4 mo,395,6,25,98.38%,92.42%,99.77%,99.04%,98.61%,93.28%,0.69%,1.38%,0.69%,1.40%
5,4-<5 mo,364,10,25,96.76%,89.49%,99.77%,98.82%,96.98%,90.51%,1.05%,1.62%,1.05%,1.65%
6,5-<6 mo,329,6,23,97.63%,87.47%,99.78%,98.61%,97.83%,88.62%,0.98%,1.77%,0.99%,1.81%
7,6-<7 mo,300,3,11,98.97%,86.58%,99.79%,98.40%,99.17%,87.88%,0.63%,1.83%,0.63%,1.88%
8,7-<8 mo,286,1,10,99.46%,86.15%,99.79%,98.20%,99.63%,87.58%,0.54%,1.86%,0.54%,1.91%
9,8-<9 mo,275,4,22,97.95%,84.52%,99.80%,98.00%,98.13%,86.07%,1.04%,1.98%,1.04%,2.04%
10,9-<10 mo,249,4,17,98.32%,83.08%,99.81%,97.81%,98.49%,84.79%,0.88%,2.08%,0.88%,2.15%
11,10-<11 mo,228,1,11,99.64%,82.76%,99.80%,97.62%,99.65%,84.47%,0.36%,2.10%,0.36%,2.17%
12,11-<12 mo,216,3,12,97.61%,81.01%,99.80%,97.43%,97.77%,82.88%,1.34%,2.24%,1.35%,2.33%
13,12-<13 mo,201,1,20,99.09%,80.38%,99.80%,97.24%,99.24%,82.33%,0.90%,2.29%,0.91%,2.40%
14,13-<14 mo,180,2,23,98.51%,79.27%,99.80%,97.05%,98.69%,81.40%,1.14%,2.39%,1.14%,2.50%
15,14-<15 mo,155,0,18,100.00%,79.27%,99.83%,96.89%,100.00%,81.40%,0.00%,2.39%,0.00%,2.50%
16,15-<16 mo,137,0,9,100.00%,79.27%,99.83%,96.73%,100.00%,81.40%,0.00%,2.39%,0.00%,2.50%
17,16-<17 mo,128,1,12,99.40%,78.73%,99.82%,96.56%,99.41%,80.93%,0.60%,2.44%,0.60%,2.55%
18,17-<18 mo,115,3,19,96.77%,76.31%,99.83%,96.40%,96.91%,78.80%,2.05%,2.76%,2.06%,2.91%
19,18-<19 mo,93,0,20,100.00%,76.31%,99.84%,96.25%,100.00%,78.80%,0.00%,2.76%,0.00%,2.91%
20,19-<20 mo,73,0,13,100.00%,76.31%,99.86%,96.12%,100.00%,78.80%,0.00%,2.76%,0.00%,2.91%
21,20-<21 mo,60,1,12,98.72%,75.16%,99.88%,96.01%,98.74%,77.79%,1.25%,2.98%,1.25%,3.12%
22,21-<22 mo,47,0,21,100.00%,75.16%,99.88%,95.90%,100.00%,77.79%,0.00%,2.98%,0.00%,3.12%
23,22-<23 mo,26,1,13,96.99%,72.65%,99.87%,95.78%,97.00%,75.31%,2.85%,3.76%,2.85%,3.90%
24,23-<24 mo,12,0,12,+,+,99.88%,95.66%,+,+,+,+,+,+
