Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"3,705",79,229,97.04%,97.04%,99.84%,99.84%,97.20%,97.20%,0.35%,0.35%,0.35%,0.35%
2,1-<2 mo,"3,397",45,191,98.23%,95.34%,99.84%,99.67%,98.39%,95.65%,0.28%,0.44%,0.29%,0.44%
3,2-<3 mo,"3,161",42,197,98.08%,93.54%,99.84%,99.51%,98.24%,93.99%,0.32%,0.51%,0.32%,0.52%
4,3-<4 mo,"2,922",25,172,98.76%,92.42%,99.84%,99.36%,98.92%,92.99%,0.27%,0.56%,0.27%,0.56%
5,4-<5 mo,"2,725",30,170,98.41%,91.00%,99.84%,99.20%,98.57%,91.70%,0.31%,0.61%,0.31%,0.62%
6,5-<6 mo,"2,525",20,129,98.79%,89.94%,99.84%,99.04%,98.94%,90.77%,0.29%,0.65%,0.29%,0.66%
7,6-<7 mo,"2,376",14,134,99.12%,89.19%,99.85%,98.89%,99.28%,90.14%,0.25%,0.67%,0.25%,0.69%
8,7-<8 mo,"2,228",9,135,99.47%,88.74%,99.85%,98.74%,99.62%,89.81%,0.20%,0.69%,0.20%,0.70%
9,8-<9 mo,"2,084",16,149,99.03%,87.90%,99.85%,98.59%,99.18%,89.09%,0.27%,0.72%,0.27%,0.73%
10,9-<10 mo,"1,919",15,140,98.90%,86.98%,99.85%,98.45%,99.04%,88.27%,0.31%,0.75%,0.31%,0.77%
11,10-<11 mo,"1,764",13,137,99.30%,86.36%,99.85%,98.30%,99.45%,87.76%,0.22%,0.77%,0.22%,0.79%
12,11-<12 mo,"1,614",14,151,98.74%,85.33%,99.85%,98.16%,98.88%,86.82%,0.37%,0.81%,0.37%,0.83%
13,12-<13 mo,"1,449",11,112,98.94%,84.47%,99.84%,98.01%,99.09%,86.07%,0.35%,0.84%,0.35%,0.87%
14,13-<14 mo,"1,326",10,116,99.10%,83.73%,99.84%,97.86%,99.26%,85.44%,0.32%,0.87%,0.32%,0.90%
15,14-<15 mo,"1,200",7,138,99.41%,83.23%,99.84%,97.71%,99.55%,85.05%,0.25%,0.89%,0.25%,0.92%
16,15-<16 mo,"1,055",6,113,99.29%,82.66%,99.84%,97.55%,99.45%,84.60%,0.33%,0.92%,0.33%,0.95%
17,16-<17 mo,936,7,135,98.76%,81.72%,99.83%,97.39%,98.92%,83.74%,0.51%,0.98%,0.51%,1.02%
18,17-<18 mo,794,4,103,99.04%,81.02%,99.84%,97.24%,99.19%,83.12%,0.50%,1.03%,0.50%,1.07%
19,18-<19 mo,687,5,119,98.98%,80.25%,99.85%,97.09%,99.13%,82.45%,0.51%,1.08%,0.51%,1.13%
20,19-<20 mo,563,1,102,99.85%,80.12%,99.84%,96.94%,99.87%,82.34%,0.15%,1.08%,0.15%,1.14%
21,20-<21 mo,460,2,136,99.65%,79.81%,99.84%,96.79%,99.68%,82.06%,0.25%,1.11%,0.25%,1.16%
22,21-<22 mo,322,0,117,100.00%,79.81%,99.82%,96.63%,100.00%,82.06%,0.00%,1.11%,0.00%,1.16%
23,22-<23 mo,205,0,121,100.00%,79.81%,99.84%,96.47%,100.00%,82.06%,0.00%,1.11%,0.00%,1.16%
24,23-<24 mo,84,0,84,+,+,99.91%,96.38%,+,+,+,+,+,+
