Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,761,147,38,80.19%,80.19%,99.55%,99.55%,80.55%,80.55%,1.46%,1.46%,1.47%,1.47%
2,1-<2 mo,576,74,20,86.93%,69.70%,99.58%,99.13%,87.29%,70.32%,1.42%,1.71%,1.42%,1.72%
3,2-<3 mo,482,65,21,86.21%,60.10%,99.60%,98.73%,86.56%,60.87%,1.59%,1.84%,1.59%,1.86%
4,3-<4 mo,396,45,15,88.42%,53.13%,99.65%,98.39%,88.72%,54.01%,1.62%,1.90%,1.63%,1.93%
5,4-<5 mo,336,22,16,93.29%,49.57%,99.71%,98.11%,93.56%,50.53%,1.38%,1.92%,1.39%,1.95%
6,5-<6 mo,298,22,23,92.32%,45.76%,99.73%,97.84%,92.57%,46.77%,1.57%,1.93%,1.58%,1.98%
7,6-<7 mo,253,11,9,95.57%,43.74%,99.73%,97.58%,95.83%,44.82%,1.30%,1.94%,1.31%,1.99%
8,7-<8 mo,233,9,8,96.07%,42.02%,99.74%,97.32%,96.32%,43.18%,1.28%,1.95%,1.29%,2.00%
9,8-<9 mo,216,10,9,95.27%,40.03%,99.74%,97.07%,95.52%,41.24%,1.46%,1.95%,1.46%,2.01%
10,9-<10 mo,197,4,7,97.93%,39.21%,99.77%,96.85%,98.16%,40.48%,1.02%,1.96%,1.03%,2.02%
11,10-<11 mo,186,1,15,99.44%,38.99%,99.77%,96.62%,99.67%,40.35%,0.56%,1.96%,0.56%,2.03%
12,11-<12 mo,170,7,17,95.67%,37.30%,99.76%,96.39%,95.90%,38.69%,1.60%,1.98%,1.61%,2.05%
13,12-<13 mo,146,2,7,98.60%,36.77%,99.72%,96.12%,98.88%,38.26%,0.99%,1.98%,0.99%,2.06%
14,13-<14 mo,137,4,10,96.97%,35.66%,99.71%,95.84%,97.25%,37.20%,1.49%,2.00%,1.50%,2.09%
15,14-<15 mo,123,3,17,97.38%,34.72%,99.71%,95.57%,97.66%,36.33%,1.49%,2.02%,1.50%,2.11%
16,15-<16 mo,103,2,8,97.98%,34.02%,99.70%,95.28%,98.27%,35.71%,1.41%,2.04%,1.42%,2.14%
17,16-<17 mo,93,2,5,97.79%,33.27%,99.71%,95.01%,98.07%,35.02%,1.55%,2.06%,1.55%,2.17%
18,17-<18 mo,86,0,19,100.00%,33.27%,99.74%,94.77%,100.0000%*,35.0182%#,0.00%,2.06%,0.00%,2.1686%#
19,18-<19 mo,67,3,12,95.08%,31.63%,99.73%,94.51%,95.33%,33.47%,2.77%,2.16%,2.78%,2.29%
20,19-<20 mo,52,1,12,97.83%,30.95%,99.71%,94.24%,98.11%,32.84%,2.15%,2.22%,2.16%,2.36%
21,20-<21 mo,39,0,6,100.00%,30.95%,99.68%,93.94%,100.0000%*,32.8366%#,0.00%,2.22%,0.00%,2.3601%#
22,21-<22 mo,33,0,11,100.00%,30.95%,99.67%,93.63%,100.0000%*,32.8366%#,0.00%,2.22%,0.00%,2.3601%#
23,22-<23 mo,22,0,12,100.00%,30.95%,99.85%,93.49%,100.0000%*,32.8366%#,0.00%,2.22%,0.00%,2.3601%#
24,23-<24 mo,10,0,10,+,+,99.87%,93.37%,+,+,+,+,+,+
