Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,104,9,8,91.43%,91.43%,99.80%,99.80%,91.61%,91.61%,2.79%,2.79%,2.79%,2.79%
2,1-<2 mo,87,9,2,89.45%,81.77%,99.82%,99.63%,89.61%,82.08%,3.40%,4.00%,3.40%,4.01%
3,2-<3 mo,76,5,3,93.20%,76.21%,99.82%,99.45%,93.36%,76.63%,3.00%,4.47%,3.01%,4.49%
4,3-<4 mo,68,4,2,94.53%,72.16%,99.82%,99.27%,94.65%,72.63%,2.56%,4.66%,2.57%,4.69%
5,4-<5 mo,62,3,2,94.74%,68.27%,99.83%,99.11%,94.90%,68.85%,3.04%,4.95%,3.04%,4.99%
6,5-<6 mo,57,2,3,96.83%,66.13%,99.85%,98.96%,96.96%,66.77%,2.20%,5.04%,2.20%,5.09%
7,6-<7 mo,52,2,2,96.02%,63.75%,99.86%,98.82%,96.12%,64.41%,2.68%,5.12%,2.69%,5.18%
8,7-<8 mo,48,2,1,94.79%,60.02%,99.86%,98.69%,94.80%,60.69%,3.33%,5.36%,3.33%,5.42%
9,8-<9 mo,45,0,6,100.00%,60.02%,99.86%,98.55%,100.00%,60.69%,0.00%,5.36%,0.00%,5.42%
10,9-<10 mo,39,0,1,100.00%,60.02%,99.87%,98.42%,100.00%,60.69%,0.00%,5.36%,0.00%,5.42%
11,10-<11 mo,38,0,2,100.00%,60.02%,99.87%,98.29%,100.00%,60.69%,0.00%,5.36%,0.00%,5.42%
12,11-<12 mo,36,1,2,97.26%,58.53%,99.87%,98.16%,97.36%,59.43%,2.65%,5.43%,2.65%,5.51%
13,12-<13 mo,33,0,2,100.00%,58.53%,99.86%,98.02%,100.00%,59.43%,0.00%,5.43%,0.00%,5.51%
14,13-<14 mo,31,0,2,100.00%,58.53%,99.85%,97.88%,100.00%,59.43%,0.00%,5.43%,0.00%,5.51%
15,14-<15 mo,29,0,3,100.00%,58.53%,99.85%,97.73%,100.00%,59.43%,0.00%,5.43%,0.00%,5.51%
16,15-<16 mo,26,1,6,95.62%,56.29%,99.85%,97.59%,95.72%,57.33%,4.15%,5.63%,4.16%,5.75%
17,16-<17 mo,19,1,3,90.45%,50.70%,99.83%,97.43%,90.46%,51.77%,7.80%,6.76%,7.80%,6.89%
18,17-<18 mo,15,1,2,93.87%,46.39%,99.83%,97.27%,93.89%,47.58%,5.41%,7.62%,5.41%,7.77%
19,18-<19 mo,12,1,1,94.16%,43.71%,99.84%,97.12%,94.28%,44.95%,5.43%,7.80%,5.45%,7.98%
20,19-<20 mo,10,0,3,+,+,99.85%,96.97%,+,+,+,+,+,+
