Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,168,35,3,77.08%,77.08%,99.77%,99.77%,77.24%,77.24%,3.32%,3.32%,3.33%,3.33%
2,1-<2 mo,130,13,7,88.44%,68.58%,99.76%,99.54%,88.64%,68.85%,3.07%,3.63%,3.09%,3.65%
3,2-<3 mo,110,10,7,87.77%,61.23%,99.77%,99.31%,87.95%,61.56%,3.57%,3.74%,3.58%,3.78%
4,3-<4 mo,93,2,9,97.27%,59.81%,99.80%,99.12%,97.44%,60.19%,2.13%,3.77%,2.14%,3.81%
5,4-<5 mo,82,4,6,94.23%,56.41%,99.79%,98.91%,94.43%,56.88%,3.01%,3.91%,3.02%,3.96%
6,5-<6 mo,72,4,3,92.48%,52.81%,99.78%,98.70%,92.67%,53.32%,3.83%,3.98%,3.84%,4.04%
7,6-<7 mo,65,3,3,94.35%,50.09%,99.82%,98.52%,94.51%,50.63%,3.49%,4.05%,3.50%,4.12%
8,7-<8 mo,59,2,3,94.53%,47.89%,99.87%,98.40%,94.64%,48.43%,3.86%,4.08%,3.87%,4.15%
9,8-<9 mo,54,3,6,93.61%,45.13%,99.86%,98.26%,93.72%,45.67%,4.37%,4.15%,4.38%,4.23%
10,9-<10 mo,45,1,5,97.70%,43.96%,99.89%,98.16%,97.72%,44.51%,2.20%,4.19%,2.20%,4.27%
11,10-<11 mo,39,0,5,100.00%,43.96%,99.89%,98.05%,100.00%,44.51%,0.00%,4.19%,0.00%,4.27%
12,11-<12 mo,34,0,1,100.00%,43.96%,99.89%,97.95%,100.00%,44.51%,0.00%,4.19%,0.00%,4.27%
13,12-<13 mo,33,2,3,88.59%,40.25%,99.87%,97.82%,88.69%,40.82%,7.89%,4.40%,7.90%,4.51%
14,13-<14 mo,28,0,1,100.00%,40.25%,99.87%,97.70%,100.00%,40.82%,0.00%,4.40%,0.00%,4.51%
15,14-<15 mo,27,0,2,100.00%,40.25%,99.87%,97.57%,100.00%,40.82%,0.00%,4.40%,0.00%,4.51%
16,15-<16 mo,25,1,3,94.48%,38.00%,99.87%,97.44%,94.51%,38.57%,4.94%,4.58%,4.94%,4.69%
17,16-<17 mo,21,0,4,100.00%,38.00%,99.90%,97.34%,100.00%,38.57%,0.00%,4.58%,0.00%,4.69%
18,17-<18 mo,17,0,0,100.00%,38.00%,99.90%,97.25%,100.00%,38.57%,0.00%,4.58%,0.00%,4.69%
19,18-<19 mo,17,0,4,100.00%,38.00%,99.90%,97.15%,100.00%,38.57%,0.00%,4.58%,0.00%,4.69%
20,19-<20 mo,13,0,2,100.00%,38.00%,99.90%,97.05%,100.00%,38.57%,0.00%,4.58%,0.00%,4.69%
21,20-<21 mo,11,0,3,+,+,99.90%,96.95%,+,+,+,+,+,+
