Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,135,6,4,95.49%,95.49%,99.72%,99.72%,95.76%,95.76%,1.80%,1.80%,1.80%,1.80%
2,1-<2 mo,125,3,5,97.55%,93.15%,99.75%,99.47%,97.80%,93.65%,1.40%,2.20%,1.40%,2.22%
3,2-<3 mo,117,1,1,99.14%,92.35%,99.75%,99.22%,99.39%,93.07%,0.85%,2.33%,0.86%,2.34%
4,3-<4 mo,115,0,7,100.00%,92.35%,99.76%,98.98%,100.0000%*,93.0726%#,0.00%,2.33%,0.00%,2.3444%#
5,4-<5 mo,108,3,4,97.17%,89.74%,99.76%,98.75%,97.40%,90.88%,1.61%,2.71%,1.61%,2.74%
6,5-<6 mo,101,2,6,97.96%,87.91%,99.79%,98.54%,98.17%,89.21%,1.43%,2.94%,1.43%,2.99%
7,6-<7 mo,93,2,7,97.77%,85.94%,99.78%,98.32%,97.98%,87.41%,1.56%,3.19%,1.57%,3.24%
8,7-<8 mo,84,1,4,98.78%,84.89%,99.80%,98.11%,98.98%,86.52%,1.21%,3.32%,1.21%,3.38%
9,8-<9 mo,79,2,3,97.42%,82.70%,99.79%,97.91%,97.62%,84.46%,1.80%,3.58%,1.80%,3.65%
10,9-<10 mo,74,0,4,100.00%,82.70%,99.78%,97.70%,100.0000%*,84.4648%#,0.00%,3.58%,0.00%,3.6521%#
11,10-<11 mo,70,2,4,97.06%,80.27%,99.78%,97.49%,97.27%,82.34%,2.05%,3.86%,2.05%,3.96%
12,11-<12 mo,64,0,13,100.00%,80.27%,99.81%,97.31%,100.0000%*,82.3385%#,0.00%,3.86%,0.00%,3.9619%#
13,12-<13 mo,51,0,2,100.00%,80.27%,99.80%,97.11%,100.0000%*,82.3385%#,0.00%,3.86%,0.00%,3.9619%#
14,13-<14 mo,49,0,5,100.00%,80.27%,99.80%,96.91%,100.0000%*,82.3385%#,0.00%,3.86%,0.00%,3.9619%#
15,14-<15 mo,44,0,2,100.00%,80.27%,99.79%,96.71%,100.0000%*,82.3385%#,0.00%,3.86%,0.00%,3.9619%#
16,15-<16 mo,42,1,2,97.56%,78.31%,99.80%,96.52%,97.76%,81.14%,2.41%,4.24%,2.41%,4.39%
17,16-<17 mo,39,0,4,100.00%,78.31%,99.82%,96.34%,100.0000%*,81.1365%#,0.00%,4.24%,0.00%,4.3881%#
18,17-<18 mo,35,0,10,100.00%,78.31%,99.82%,96.17%,100.0000%*,81.1365%#,0.00%,4.24%,0.00%,4.3881%#
19,18-<19 mo,25,0,3,100.00%,78.31%,99.80%,95.98%,100.0000%*,81.1365%#,0.00%,4.24%,0.00%,4.3881%#
20,19-<20 mo,22,0,2,100.00%,78.31%,99.78%,95.77%,100.0000%*,81.1365%#,0.00%,4.24%,0.00%,4.3881%#
21,20-<21 mo,20,0,2,100.00%,78.31%,99.81%,95.59%,100.0000%*,81.1365%#,0.00%,4.24%,0.00%,4.3881%#
22,21-<22 mo,18,0,3,100.00%,78.31%,99.79%,95.39%,100.0000%*,81.1365%#,0.00%,4.24%,0.00%,4.3881%#
23,22-<23 mo,15,0,3,100.00%,78.31%,99.78%,95.18%,100.0000%*,81.1365%#,0.00%,4.24%,0.00%,4.3881%#
24,23-<24 mo,12,0,12,+,+,99.73%,94.93%,+,+,+,+,+,+
