Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,66,2,5,96.71%,96.71%,99.69%,99.69%,97.00%,97.00%,2.31%,2.31%,2.32%,2.32%
2,1-<2 mo,59,1,5,97.87%,94.67%,99.73%,99.42%,98.08%,95.15%,2.08%,2.99%,2.09%,3.02%
3,2-<3 mo,53,4,2,91.91%,87.09%,99.74%,99.16%,92.14%,87.79%,3.91%,4.54%,3.92%,4.59%
4,3-<4 mo,47,3,2,93.49%,81.41%,99.77%,98.93%,93.71%,82.25%,3.72%,5.32%,3.73%,5.39%
5,4-<5 mo,42,0,2,100.00%,81.41%,99.75%,98.69%,100.00%,82.25%,0.00%,5.32%,0.00%,5.39%
6,5-<6 mo,40,1,4,97.88%,79.63%,99.74%,98.43%,97.91%,80.52%,2.04%,5.51%,2.04%,5.59%
7,6-<7 mo,35,2,1,93.33%,74.31%,99.74%,98.18%,93.54%,75.59%,4.70%,6.32%,4.72%,6.47%
8,7-<8 mo,32,1,2,97.70%,72.53%,99.72%,97.91%,97.73%,73.85%,2.20%,6.45%,2.20%,6.60%
9,8-<9 mo,29,1,1,97.14%,70.22%,99.72%,97.64%,97.14%,71.55%,2.72%,6.69%,2.72%,6.84%
10,9-<10 mo,27,0,1,100.00%,70.22%,99.71%,97.36%,100.00%,71.55%,0.00%,6.69%,0.00%,6.84%
11,10-<11 mo,26,0,1,100.00%,70.22%,99.71%,97.07%,100.00%,71.55%,0.00%,6.69%,0.00%,6.84%
12,11-<12 mo,25,0,1,100.00%,70.22%,99.70%,96.79%,100.00%,71.55%,0.00%,6.69%,0.00%,6.84%
13,12-<13 mo,24,1,2,97.24%,68.26%,99.67%,96.48%,97.27%,69.68%,2.62%,6.81%,2.62%,6.97%
14,13-<14 mo,21,1,6,96.55%,66.06%,99.68%,96.18%,96.59%,67.47%,3.23%,6.93%,3.23%,7.09%
15,14-<15 mo,14,0,0,100.00%,66.06%,99.72%,95.91%,100.00%,67.47%,0.00%,6.93%,0.00%,7.09%
16,15-<16 mo,14,0,3,100.00%,66.06%,99.72%,95.65%,100.00%,67.47%,0.00%,6.93%,0.00%,7.09%
17,16-<17 mo,11,0,1,100.00%,66.06%,99.71%,95.38%,100.00%,67.47%,0.00%,6.93%,0.00%,7.09%
18,17-<18 mo,10,0,2,100.00%,66.06%,99.71%,95.11%,100.00%,67.47%,0.00%,6.93%,0.00%,7.09%
19,18-<19 mo,8,0,2,+,+,99.70%,94.83%,+,+,+,+,+,+
