Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,270,8,12,96.97%,96.97%,99.89%,99.89%,97.07%,97.07%,1.06%,1.06%,1.06%,1.06%
2,1-<2 mo,250,3,5,98.79%,95.79%,99.91%,99.80%,98.88%,95.98%,0.70%,1.24%,0.70%,1.24%
3,2-<3 mo,242,4,9,98.32%,94.18%,99.91%,99.72%,98.40%,94.45%,0.84%,1.46%,0.84%,1.46%
4,3-<4 mo,229,2,15,99.10%,93.33%,99.92%,99.64%,99.17%,93.67%,0.64%,1.57%,0.64%,1.57%
5,4-<5 mo,212,1,10,99.52%,92.88%,99.92%,99.57%,99.59%,93.28%,0.48%,1.62%,0.48%,1.63%
6,5-<6 mo,201,0,9,100.00%,92.88%,99.93%,99.49%,100.0000%*,93.2844%#,0.00%,1.62%,0.00%,1.6282%#
7,6-<7 mo,192,1,13,99.46%,92.38%,99.92%,99.42%,99.54%,92.92%,0.54%,1.69%,0.54%,1.70%
8,7-<8 mo,178,2,9,98.85%,91.31%,99.92%,99.34%,98.92%,91.92%,0.81%,1.83%,0.81%,1.84%
9,8-<9 mo,167,1,14,99.38%,90.74%,99.92%,99.27%,99.45%,91.41%,0.62%,1.90%,0.62%,1.92%
10,9-<10 mo,152,2,16,98.61%,89.48%,99.93%,99.20%,98.68%,90.21%,0.98%,2.08%,0.98%,2.09%
11,10-<11 mo,134,0,8,100.00%,89.48%,99.93%,99.13%,100.0000%*,90.2084%#,0.00%,2.08%,0.00%,2.0928%#
12,11-<12 mo,126,4,11,96.68%,86.51%,99.93%,99.06%,96.75%,87.33%,1.63%,2.48%,1.63%,2.51%
13,12-<13 mo,111,1,12,99.05%,85.69%,99.93%,98.99%,99.12%,86.57%,0.95%,2.59%,0.95%,2.62%
14,13-<14 mo,98,0,15,100.00%,85.69%,99.93%,98.92%,100.0000%*,86.5665%#,0.00%,2.59%,0.00%,2.6182%#
15,14-<15 mo,83,1,12,98.70%,84.58%,99.93%,98.85%,98.77%,85.56%,1.29%,2.79%,1.29%,2.82%
16,15-<16 mo,70,0,12,100.00%,84.58%,99.93%,98.78%,100.0000%*,85.5601%#,0.00%,2.79%,0.00%,2.8191%#
17,16-<17 mo,58,1,6,98.18%,83.04%,99.92%,98.71%,98.26%,84.13%,1.80%,3.13%,1.80%,3.17%
18,17-<18 mo,51,0,8,100.00%,83.04%,99.92%,98.63%,100.0000%*,84.1261%#,0.00%,3.13%,0.00%,3.1727%#
19,18-<19 mo,43,2,4,95.12%,78.99%,99.93%,98.56%,95.19%,80.14%,3.36%,4.08%,3.37%,4.14%
20,19-<20 mo,37,0,6,100.00%,78.99%,99.92%,98.49%,100.0000%*,80.1385%#,0.00%,4.08%,0.00%,4.1433%#
21,20-<21 mo,31,0,9,100.00%,78.99%,99.92%,98.41%,100.0000%*,80.1385%#,0.00%,4.08%,0.00%,4.1433%#
22,21-<22 mo,22,0,5,100.00%,78.99%,99.90%,98.31%,100.0000%*,80.1385%#,0.00%,4.08%,0.00%,4.1433%#
23,22-<23 mo,17,0,7,100.00%,78.99%,99.90%,98.21%,100.0000%*,80.1385%#,0.00%,4.08%,0.00%,4.1433%#
24,23-<24 mo,10,0,10,+,+,99.87%,98.09%,+,+,+,+,+,+
