Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"3,767",663,132,80.24%,80.24%,99.76%,99.76%,80.42%,80.42%,0.66%,0.66%,0.66%,0.66%
2,1-<2 mo,"2,972",240,112,89.74%,72.73%,99.78%,99.54%,89.92%,73.01%,0.63%,0.73%,0.63%,0.73%
3,2-<3 mo,"2,620",119,118,93.95%,68.88%,99.80%,99.34%,94.14%,69.25%,0.55%,0.76%,0.55%,0.76%
4,3-<4 mo,"2,383",103,120,94.38%,65.45%,99.80%,99.15%,94.56%,65.89%,0.56%,0.78%,0.56%,0.79%
5,4-<5 mo,"2,160",65,118,96.09%,63.25%,99.81%,98.96%,96.27%,63.76%,0.51%,0.79%,0.51%,0.80%
6,5-<6 mo,"1,977",59,130,95.98%,61.08%,99.81%,98.77%,96.16%,61.66%,0.55%,0.80%,0.55%,0.82%
7,6-<7 mo,"1,788",61,111,95.49%,58.70%,99.81%,98.59%,95.67%,59.33%,0.61%,0.82%,0.61%,0.83%
8,7-<8 mo,"1,616",56,121,94.83%,56.24%,99.82%,98.41%,95.01%,56.90%,0.71%,0.83%,0.71%,0.85%
9,8-<9 mo,"1,439",48,93,95.77%,54.17%,99.82%,98.23%,95.94%,54.88%,0.67%,0.85%,0.68%,0.87%
10,9-<10 mo,"1,298",40,94,96.29%,52.40%,99.82%,98.06%,96.46%,53.15%,0.67%,0.87%,0.67%,0.88%
11,10-<11 mo,"1,164",36,84,95.68%,50.58%,99.82%,97.88%,95.84%,51.35%,0.79%,0.88%,0.79%,0.90%
12,11-<12 mo,"1,044",30,92,96.90%,49.03%,99.82%,97.71%,97.08%,49.84%,0.66%,0.90%,0.66%,0.92%
13,12-<13 mo,922,33,77,95.78%,47.08%,99.80%,97.52%,95.97%,47.92%,0.84%,0.92%,0.84%,0.95%
14,13-<14 mo,812,24,71,96.02%,45.49%,99.81%,97.33%,96.21%,46.35%,0.92%,0.94%,0.92%,0.97%
15,14-<15 mo,717,16,88,96.40%,44.30%,99.80%,97.14%,96.59%,45.19%,1.03%,0.96%,1.03%,0.99%
16,15-<16 mo,613,6,65,98.32%,43.77%,99.80%,96.95%,98.52%,44.70%,0.78%,0.97%,0.79%,1.00%
17,16-<17 mo,542,12,78,96.43%,42.50%,99.79%,96.75%,96.63%,43.44%,1.14%,1.00%,1.15%,1.04%
18,17-<18 mo,452,9,69,97.56%,41.55%,99.80%,96.56%,97.75%,42.53%,1.03%,1.03%,1.04%,1.07%
19,18-<19 mo,374,5,63,97.76%,40.87%,99.80%,96.37%,97.95%,41.87%,1.20%,1.05%,1.20%,1.09%
20,19-<20 mo,306,12,49,93.89%,38.87%,99.79%,96.18%,94.08%,39.86%,2.01%,1.14%,2.02%,1.19%
21,20-<21 mo,245,7,76,93.26%,37.23%,99.82%,96.01%,93.42%,38.17%,2.65%,1.22%,2.66%,1.28%
22,21-<22 mo,162,1,57,97.50%,36.82%,99.82%,95.84%,97.64%,37.75%,2.43%,1.26%,2.44%,1.32%
23,22-<23 mo,104,2,54,94.58%,35.72%,99.81%,95.67%,94.72%,36.62%,4.62%,1.43%,4.63%,1.50%
24,23-<24 mo,48,0,48,+,+,99.78%,95.46%,+,+,+,+,+,+
