Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"472,085","17,721","18,743",95.70%,95.70%,99.78%,99.78%,95.90%,95.90%,0.03%,0.03%,0.03%,0.03%
2,1-<2 mo,"435,621","12,126","18,277",96.83%,92.70%,99.79%,99.58%,97.03%,93.08%,0.03%,0.04%,0.03%,0.04%
3,2-<3 mo,"405,218","8,147","20,687",97.69%,90.60%,99.79%,99.37%,97.89%,91.15%,0.03%,0.05%,0.03%,0.05%
4,3-<4 mo,"376,384","6,050","18,227",98.16%,88.97%,99.80%,99.17%,98.36%,89.69%,0.02%,0.05%,0.02%,0.05%
5,4-<5 mo,"352,107","4,850","19,236",98.42%,87.60%,99.80%,98.97%,98.62%,88.47%,0.02%,0.05%,0.02%,0.05%
6,5-<6 mo,"328,021","4,020","18,031",98.59%,86.40%,99.80%,98.77%,98.79%,87.42%,0.02%,0.06%,0.02%,0.06%
7,6-<7 mo,"305,970","3,548","18,256",98.67%,85.28%,99.80%,98.57%,98.87%,86.45%,0.02%,0.06%,0.02%,0.06%
8,7-<8 mo,"284,166","3,070","17,731",98.76%,84.26%,99.80%,98.38%,98.96%,85.57%,0.02%,0.06%,0.02%,0.06%
9,8-<9 mo,"263,365","2,819","18,252",98.78%,83.26%,99.80%,98.19%,98.97%,84.71%,0.02%,0.06%,0.02%,0.06%
10,9-<10 mo,"242,294","2,434","17,346",98.85%,82.33%,99.80%,98.00%,99.04%,83.91%,0.02%,0.06%,0.02%,0.07%
11,10-<11 mo,"222,514","2,109","17,151",98.92%,81.46%,99.80%,97.81%,99.11%,83.18%,0.02%,0.07%,0.02%,0.07%
12,11-<12 mo,"203,254","1,921","16,724",98.91%,80.60%,99.80%,97.62%,99.10%,82.45%,0.03%,0.07%,0.03%,0.07%
13,12-<13 mo,"184,609","1,713","14,284",98.94%,79.77%,99.78%,97.41%,99.15%,81.76%,0.03%,0.07%,0.03%,0.07%
14,13-<14 mo,"168,612","1,557","16,301",98.93%,78.94%,99.79%,97.20%,99.14%,81.07%,0.03%,0.07%,0.03%,0.08%
15,14-<15 mo,"150,754","1,163","16,066",99.10%,78.26%,99.79%,97.00%,99.31%,80.52%,0.03%,0.07%,0.03%,0.08%
16,15-<16 mo,"133,525","1,023","13,906",99.10%,77.58%,99.79%,96.79%,99.31%,79.98%,0.03%,0.08%,0.03%,0.08%
17,16-<17 mo,"118,596",919,"16,211",99.08%,76.89%,99.79%,96.59%,99.29%,79.42%,0.03%,0.08%,0.03%,0.08%
18,17-<18 mo,"101,466",758,"14,415",99.12%,76.23%,99.79%,96.39%,99.33%,78.90%,0.03%,0.08%,0.03%,0.09%
19,18-<19 mo,"86,293",570,"14,556",99.20%,75.65%,99.79%,96.19%,99.41%,78.44%,0.03%,0.09%,0.03%,0.09%
20,19-<20 mo,"71,167",451,"14,330",99.22%,75.08%,99.79%,95.99%,99.43%,78.00%,0.04%,0.09%,0.04%,0.09%
21,20-<21 mo,"56,386",378,"14,819",99.12%,74.45%,99.79%,95.80%,99.33%,77.49%,0.05%,0.09%,0.05%,0.10%
22,21-<22 mo,"41,189",231,"13,705",99.27%,73.93%,99.79%,95.60%,99.48%,77.09%,0.05%,0.10%,0.05%,0.11%
23,22-<23 mo,"27,253",128,"14,792",99.28%,73.42%,99.79%,95.41%,99.49%,76.70%,0.07%,0.11%,0.07%,0.12%
24,23-<24 mo,"12,333",32,"12,301",+,+,99.79%,95.21%,+,+,+,+,+,+
