Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"472,085","17,721","18,743",96.17%,96.17%,99.82%,99.82%,96.35%,96.35%,0.03%,0.03%,0.03%,0.03%
2,1-<2 mo,"435,621","12,126","18,277",97.16%,93.44%,99.83%,99.64%,97.33%,93.77%,0.03%,0.04%,0.03%,0.04%
3,2-<3 mo,"405,218","8,147","20,687",97.94%,91.51%,99.83%,99.47%,98.10%,91.99%,0.02%,0.04%,0.02%,0.04%
4,3-<4 mo,"376,384","6,050","18,227",98.35%,90.00%,99.83%,99.31%,98.52%,90.63%,0.02%,0.05%,0.02%,0.05%
5,4-<5 mo,"352,107","4,850","19,236",98.58%,88.73%,99.84%,99.14%,98.75%,89.49%,0.02%,0.05%,0.02%,0.05%
6,5-<6 mo,"328,021","4,020","18,031",98.74%,87.61%,99.84%,98.98%,98.90%,88.51%,0.02%,0.05%,0.02%,0.05%
7,6-<7 mo,"305,970","3,548","18,256",98.80%,86.56%,99.84%,98.82%,98.96%,87.59%,0.02%,0.05%,0.02%,0.05%
8,7-<8 mo,"284,166","3,070","17,731",98.88%,85.60%,99.84%,98.67%,99.04%,86.75%,0.02%,0.06%,0.02%,0.06%
9,8-<9 mo,"263,365","2,819","18,252",98.89%,84.65%,99.84%,98.51%,99.05%,85.93%,0.02%,0.06%,0.02%,0.06%
10,9-<10 mo,"242,294","2,434","17,346",98.96%,83.76%,99.84%,98.36%,99.11%,85.17%,0.02%,0.06%,0.02%,0.06%
11,10-<11 mo,"222,514","2,109","17,151",99.01%,82.94%,99.84%,98.20%,99.17%,84.46%,0.02%,0.06%,0.02%,0.06%
12,11-<12 mo,"203,254","1,921","16,724",99.01%,82.12%,99.85%,98.05%,99.17%,83.75%,0.02%,0.06%,0.02%,0.07%
13,12-<13 mo,"184,609","1,713","14,284",99.03%,81.33%,99.83%,97.88%,99.20%,83.09%,0.02%,0.07%,0.02%,0.07%
14,13-<14 mo,"168,612","1,557","16,301",99.03%,80.54%,99.83%,97.72%,99.20%,82.42%,0.02%,0.07%,0.02%,0.07%
15,14-<15 mo,"150,754","1,163","16,066",99.19%,79.88%,99.83%,97.55%,99.35%,81.89%,0.02%,0.07%,0.02%,0.07%
16,15-<16 mo,"133,525","1,023","13,906",99.19%,79.24%,99.83%,97.39%,99.36%,81.36%,0.03%,0.07%,0.03%,0.07%
17,16-<17 mo,"118,596",919,"16,211",99.17%,78.58%,99.83%,97.23%,99.33%,80.82%,0.03%,0.08%,0.03%,0.08%
18,17-<18 mo,"101,466",758,"14,415",99.20%,77.95%,99.83%,97.07%,99.36%,80.30%,0.03%,0.08%,0.03%,0.08%
19,18-<19 mo,"86,293",570,"14,556",99.28%,77.38%,99.84%,96.91%,99.44%,79.85%,0.03%,0.08%,0.03%,0.08%
20,19-<20 mo,"71,167",451,"14,330",99.30%,76.84%,99.84%,96.75%,99.46%,79.42%,0.03%,0.08%,0.03%,0.09%
21,20-<21 mo,"56,386",378,"14,819",99.23%,76.25%,99.84%,96.59%,99.39%,78.94%,0.04%,0.09%,0.04%,0.09%
22,21-<22 mo,"41,189",231,"13,705",99.33%,75.73%,99.84%,96.43%,99.49%,78.53%,0.04%,0.09%,0.04%,0.10%
23,22-<23 mo,"27,253",128,"14,792",99.36%,75.24%,99.84%,96.28%,99.52%,78.15%,0.06%,0.10%,0.06%,0.11%
24,23-<24 mo,"12,333",32,"12,301",+,+,99.84%,96.12%,+,+,+,+,+,+
