Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"1,960",14,120,99.26%,99.26%,99.91%,99.91%,99.36%,99.36%,0.20%,0.20%,0.20%,0.20%
2,1-<2 mo,"1,826",8,91,99.55%,98.82%,99.91%,99.81%,99.64%,99.00%,0.16%,0.25%,0.16%,0.25%
3,2-<3 mo,"1,727",18,89,98.93%,97.76%,99.91%,99.72%,99.02%,98.04%,0.25%,0.35%,0.25%,0.35%
4,3-<4 mo,"1,620",7,88,99.56%,97.33%,99.91%,99.63%,99.65%,97.69%,0.17%,0.39%,0.17%,0.39%
5,4-<5 mo,"1,525",11,79,99.26%,96.61%,99.91%,99.54%,99.35%,97.05%,0.22%,0.44%,0.22%,0.44%
6,5-<6 mo,"1,435",9,105,99.35%,95.98%,99.91%,99.45%,99.44%,96.51%,0.22%,0.48%,0.22%,0.49%
7,6-<7 mo,"1,321",8,93,99.37%,95.37%,99.91%,99.36%,99.46%,95.98%,0.22%,0.53%,0.22%,0.53%
8,7-<8 mo,"1,220",5,89,99.57%,94.97%,99.92%,99.28%,99.66%,95.66%,0.19%,0.55%,0.19%,0.56%
9,8-<9 mo,"1,126",6,56,99.45%,94.45%,99.92%,99.20%,99.54%,95.21%,0.22%,0.59%,0.22%,0.60%
10,9-<10 mo,"1,064",5,85,99.51%,93.99%,99.92%,99.11%,99.60%,94.83%,0.22%,0.62%,0.22%,0.63%
11,10-<11 mo,974,3,74,99.68%,93.69%,99.92%,99.03%,99.76%,94.60%,0.18%,0.64%,0.18%,0.65%
12,11-<12 mo,897,2,75,99.77%,93.47%,99.91%,98.94%,99.85%,94.47%,0.16%,0.66%,0.16%,0.67%
13,12-<13 mo,820,2,67,99.75%,93.23%,99.91%,98.85%,99.84%,94.31%,0.18%,0.68%,0.18%,0.69%
14,13-<14 mo,751,5,47,99.31%,92.59%,99.91%,98.76%,99.40%,93.75%,0.31%,0.73%,0.31%,0.74%
15,14-<15 mo,699,5,69,99.25%,91.89%,99.91%,98.67%,99.34%,93.13%,0.34%,0.79%,0.34%,0.80%
16,15-<16 mo,625,1,68,99.83%,91.74%,99.91%,98.58%,99.92%,93.06%,0.17%,0.81%,0.17%,0.82%
17,16-<17 mo,556,2,57,99.62%,91.39%,99.91%,98.49%,99.71%,92.79%,0.27%,0.84%,0.27%,0.85%
18,17-<18 mo,497,3,74,99.35%,90.79%,99.91%,98.40%,99.43%,92.27%,0.38%,0.90%,0.38%,0.92%
19,18-<19 mo,420,1,74,99.74%,90.56%,99.92%,98.32%,99.82%,92.10%,0.26%,0.93%,0.26%,0.95%
20,19-<20 mo,345,3,70,99.03%,89.68%,99.91%,98.23%,99.12%,91.29%,0.56%,1.05%,0.56%,1.07%
21,20-<21 mo,272,1,71,99.58%,89.30%,99.91%,98.14%,99.67%,90.99%,0.42%,1.11%,0.42%,1.13%
22,21-<22 mo,200,0,68,100.00%,89.30%,99.91%,98.05%,100.0000%*,90.9893%#,0.00%,1.11%,0.00%,1.1322%#
23,22-<23 mo,132,1,75,98.94%,88.36%,99.91%,97.96%,99.04%,90.19%,1.05%,1.45%,1.05%,1.48%
24,23-<24 mo,56,0,56,+,+,99.92%,97.89%,+,+,+,+,+,+
