Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"5,407",193,208,96.60%,96.60%,99.75%,99.75%,96.85%,96.85%,0.24%,0.24%,0.24%,0.24%
2,1-<2 mo,"5,006",142,198,97.27%,93.98%,99.75%,99.50%,97.52%,94.45%,0.23%,0.32%,0.23%,0.32%
3,2-<3 mo,"4,666",84,253,98.29%,92.40%,99.75%,99.25%,98.53%,93.08%,0.19%,0.36%,0.19%,0.36%
4,3-<4 mo,"4,329",78,234,98.28%,90.83%,99.76%,99.01%,98.52%,91.72%,0.19%,0.39%,0.19%,0.40%
5,4-<5 mo,"4,017",55,184,98.70%,89.68%,99.76%,98.78%,98.94%,90.76%,0.18%,0.42%,0.18%,0.43%
6,5-<6 mo,"3,778",47,176,98.81%,88.64%,99.76%,98.54%,99.04%,89.91%,0.17%,0.44%,0.17%,0.45%
7,6-<7 mo,"3,555",33,226,99.02%,87.76%,99.76%,98.31%,99.25%,89.22%,0.17%,0.46%,0.17%,0.47%
8,7-<8 mo,"3,296",27,195,99.18%,87.05%,99.76%,98.08%,99.42%,88.70%,0.16%,0.48%,0.16%,0.49%
9,8-<9 mo,"3,074",24,203,99.19%,86.34%,99.76%,97.85%,99.42%,88.18%,0.17%,0.50%,0.17%,0.51%
10,9-<10 mo,"2,847",27,215,99.03%,85.52%,99.76%,97.62%,99.27%,87.53%,0.19%,0.52%,0.19%,0.53%
11,10-<11 mo,"2,605",24,217,99.05%,84.71%,99.77%,97.40%,99.29%,86.91%,0.19%,0.54%,0.19%,0.56%
12,11-<12 mo,"2,364",26,197,98.91%,83.81%,99.77%,97.17%,99.14%,86.17%,0.21%,0.56%,0.21%,0.58%
13,12-<13 mo,"2,141",17,166,99.20%,83.14%,99.74%,96.93%,99.45%,85.69%,0.20%,0.58%,0.20%,0.60%
14,13-<14 mo,"1,958",24,167,98.70%,82.06%,99.74%,96.68%,98.96%,84.79%,0.27%,0.62%,0.27%,0.64%
15,14-<15 mo,"1,767",16,172,99.11%,81.34%,99.75%,96.45%,99.36%,84.25%,0.22%,0.64%,0.22%,0.66%
16,15-<16 mo,"1,579",9,170,99.39%,80.85%,99.75%,96.21%,99.64%,83.95%,0.20%,0.66%,0.20%,0.68%
17,16-<17 mo,"1,400",9,173,99.31%,80.28%,99.75%,95.97%,99.56%,83.57%,0.23%,0.68%,0.23%,0.71%
18,17-<18 mo,"1,218",14,175,98.74%,79.26%,99.75%,95.74%,98.98%,82.71%,0.34%,0.73%,0.34%,0.76%
19,18-<19 mo,"1,029",9,167,99.10%,78.57%,99.75%,95.51%,99.35%,82.17%,0.30%,0.76%,0.30%,0.79%
20,19-<20 mo,853,6,181,99.23%,77.96%,99.75%,95.27%,99.48%,81.74%,0.32%,0.79%,0.32%,0.83%
21,20-<21 mo,666,2,167,99.61%,77.64%,99.75%,95.04%,99.65%,81.45%,0.28%,0.82%,0.28%,0.86%
22,21-<22 mo,497,2,170,99.56%,77.32%,99.76%,94.82%,99.75%,81.42%,0.31%,0.85%,0.31%,0.90%
23,22-<23 mo,325,4,165,98.36%,76.03%,99.75%,94.59%,98.61%,80.31%,0.82%,1.06%,0.82%,1.11%
24,23-<24 mo,156,0,156,+,+,99.77%,94.38%,+,+,+,+,+,+
