Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"6,879",372,312,92.51%,92.51%,99.80%,99.80%,92.69%,92.69%,0.38%,0.38%,0.38%,0.38%
2,1-<2 mo,"6,195",338,262,92.00%,85.37%,99.81%,99.61%,92.17%,85.68%,0.43%,0.51%,0.43%,0.51%
3,2-<3 mo,"5,595",297,263,92.08%,79.06%,99.82%,99.43%,92.24%,79.46%,0.47%,0.58%,0.47%,0.58%
4,3-<4 mo,"5,035",233,243,92.74%,73.88%,99.83%,99.26%,92.90%,74.35%,0.49%,0.62%,0.49%,0.62%
5,4-<5 mo,"4,559",205,242,93.01%,69.30%,99.83%,99.10%,93.16%,69.82%,0.52%,0.65%,0.52%,0.65%
6,5-<6 mo,"4,112",155,199,93.92%,65.66%,99.84%,98.93%,94.07%,66.23%,0.53%,0.66%,0.53%,0.67%
7,6-<7 mo,"3,758",138,217,94.46%,62.49%,99.84%,98.77%,94.61%,63.10%,0.54%,0.68%,0.54%,0.69%
8,7-<8 mo,"3,403",115,209,94.47%,59.58%,99.84%,98.62%,94.61%,60.22%,0.58%,0.69%,0.58%,0.70%
9,8-<9 mo,"3,079",116,215,94.00%,56.58%,99.84%,98.46%,94.15%,57.24%,0.64%,0.70%,0.64%,0.71%
10,9-<10 mo,"2,748",74,183,95.45%,54.49%,99.84%,98.31%,95.60%,55.18%,0.62%,0.71%,0.62%,0.72%
11,10-<11 mo,"2,491",106,170,93.42%,51.47%,99.84%,98.15%,93.56%,52.16%,0.76%,0.72%,0.77%,0.74%
12,11-<12 mo,"2,215",87,175,94.17%,48.92%,99.84%,98.00%,94.32%,49.62%,0.79%,0.73%,0.79%,0.75%
13,12-<13 mo,"1,953",65,153,94.70%,46.78%,99.82%,97.82%,94.87%,47.50%,0.82%,0.74%,0.83%,0.76%
14,13-<14 mo,"1,735",59,159,93.95%,44.64%,99.82%,97.65%,94.12%,45.36%,0.99%,0.75%,0.99%,0.77%
15,14-<15 mo,"1,517",51,167,93.42%,42.51%,99.82%,97.48%,93.58%,43.22%,1.13%,0.75%,1.13%,0.78%
16,15-<16 mo,"1,299",44,136,93.95%,40.60%,99.83%,97.31%,94.11%,41.30%,1.17%,0.76%,1.18%,0.79%
17,16-<17 mo,"1,119",40,155,93.94%,38.75%,99.83%,97.14%,94.10%,39.44%,1.30%,0.78%,1.31%,0.80%
18,17-<18 mo,924,37,140,93.59%,36.72%,99.83%,96.98%,93.76%,37.40%,1.43%,0.80%,1.43%,0.83%
19,18-<19 mo,747,14,133,96.44%,35.77%,99.83%,96.82%,96.60%,36.46%,1.34%,0.81%,1.34%,0.84%
20,19-<20 mo,600,19,106,92.53%,34.10%,99.83%,96.65%,92.69%,34.76%,2.24%,0.85%,2.25%,0.88%
21,20-<21 mo,475,24,110,88.50%,31.57%,99.81%,96.47%,88.65%,32.18%,3.07%,0.90%,3.08%,0.94%
22,21-<22 mo,341,3,117,98.94%,31.20%,99.83%,96.31%,98.98%,31.82%,0.65%,0.92%,0.66%,0.96%
23,22-<23 mo,221,3,112,98.07%,30.55%,99.82%,96.14%,98.10%,31.17%,1.19%,0.97%,1.19%,1.01%
24,23-<24 mo,106,2,104,+,+,99.83%,95.98%,+,+,+,+,+,+
