Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"41,695","1,455","1,753",96.44%,96.44%,99.79%,99.79%,96.64%,96.64%,0.09%,0.09%,0.09%,0.09%
2,1-<2 mo,"38,487",971,"1,646",97.42%,93.95%,99.80%,99.59%,97.62%,94.34%,0.08%,0.12%,0.08%,0.12%
3,2-<3 mo,"35,870",661,"1,814",98.11%,92.17%,99.81%,99.40%,98.30%,92.73%,0.07%,0.14%,0.07%,0.14%
4,3-<4 mo,"33,395",489,"1,685",98.50%,90.79%,99.81%,99.21%,98.69%,91.52%,0.07%,0.15%,0.07%,0.15%
5,4-<5 mo,"31,221",378,"1,683",98.76%,89.66%,99.81%,99.02%,98.94%,90.55%,0.06%,0.16%,0.06%,0.16%
6,5-<6 mo,"29,160",306,"1,578",98.92%,88.69%,99.81%,98.83%,99.11%,89.74%,0.06%,0.16%,0.06%,0.17%
7,6-<7 mo,"27,276",290,"1,688",98.90%,87.72%,99.82%,98.65%,99.09%,88.92%,0.06%,0.17%,0.06%,0.17%
8,7-<8 mo,"25,298",219,"1,598",99.11%,86.93%,99.82%,98.47%,99.29%,88.28%,0.06%,0.18%,0.06%,0.18%
9,8-<9 mo,"23,481",196,"1,594",99.14%,86.18%,99.82%,98.29%,99.32%,87.68%,0.06%,0.18%,0.06%,0.19%
10,9-<10 mo,"21,691",216,"1,523",98.97%,85.29%,99.82%,98.12%,99.15%,86.93%,0.07%,0.19%,0.07%,0.20%
11,10-<11 mo,"19,952",161,"1,587",99.16%,84.58%,99.82%,97.94%,99.34%,86.35%,0.07%,0.20%,0.07%,0.20%
12,11-<12 mo,"18,204",161,"1,476",99.08%,83.80%,99.82%,97.77%,99.25%,85.71%,0.07%,0.21%,0.07%,0.21%
13,12-<13 mo,"16,567",133,"1,265",99.17%,83.10%,99.81%,97.58%,99.36%,85.16%,0.07%,0.21%,0.07%,0.22%
14,13-<14 mo,"15,169",144,"1,433",99.00%,82.27%,99.81%,97.39%,99.20%,84.47%,0.08%,0.22%,0.08%,0.23%
15,14-<15 mo,"13,592",124,"1,447",99.04%,81.48%,99.81%,97.21%,99.23%,83.82%,0.09%,0.23%,0.09%,0.24%
16,15-<16 mo,"12,021",103,"1,259",99.10%,80.74%,99.81%,97.02%,99.29%,83.22%,0.09%,0.24%,0.09%,0.25%
17,16-<17 mo,"10,659",107,"1,422",98.92%,79.87%,99.81%,96.84%,99.11%,82.48%,0.10%,0.25%,0.10%,0.26%
18,17-<18 mo,"9,130",102,"1,253",98.80%,78.91%,99.81%,96.65%,98.99%,81.65%,0.12%,0.27%,0.12%,0.28%
19,18-<19 mo,"7,775",73,"1,301",98.98%,78.11%,99.81%,96.47%,99.16%,80.96%,0.12%,0.28%,0.12%,0.29%
20,19-<20 mo,"6,401",48,"1,323",99.16%,77.45%,99.81%,96.29%,99.35%,80.44%,0.12%,0.29%,0.12%,0.30%
21,20-<21 mo,"5,030",31,"1,299",99.29%,76.90%,99.82%,96.11%,99.47%,80.01%,0.13%,0.31%,0.13%,0.32%
22,21-<22 mo,"3,700",27,"1,237",99.12%,76.23%,99.82%,95.94%,99.30%,79.46%,0.17%,0.33%,0.17%,0.34%
23,22-<23 mo,"2,436",20,"1,303",98.88%,75.38%,99.82%,95.76%,99.06%,78.71%,0.25%,0.38%,0.25%,0.39%
24,23-<24 mo,"1,113",1,"1,112",+,+,99.83%,95.60%,+,+,+,+,+,+
