Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,270,8,12,94.51%,94.51%,99.80%,99.80%,94.69%,94.69%,2.04%,2.04%,2.05%,2.05%
2,1-<2 mo,250,3,5,97.33%,92.07%,99.83%,99.62%,97.49%,92.40%,1.57%,2.41%,1.58%,2.42%
3,2-<3 mo,242,4,9,97.19%,89.63%,99.83%,99.46%,97.32%,90.06%,1.69%,2.70%,1.70%,2.73%
4,3-<4 mo,229,2,15,98.87%,88.54%,99.84%,99.30%,98.90%,89.02%,0.78%,2.80%,0.78%,2.83%
5,4-<5 mo,212,1,10,99.79%,88.34%,99.85%,99.15%,99.79%,88.83%,0.21%,2.81%,0.21%,2.83%
6,5-<6 mo,201,0,9,100.00%,88.34%,99.85%,99.00%,100.00%,88.83%,0.00%,2.81%,0.00%,2.83%
7,6-<7 mo,192,1,13,99.76%,88.10%,99.85%,98.85%,99.77%,88.61%,0.24%,2.82%,0.24%,2.84%
8,7-<8 mo,178,2,9,97.56%,86.05%,99.85%,98.70%,97.70%,87.11%,1.81%,3.10%,1.82%,3.16%
9,8-<9 mo,167,1,14,99.14%,85.28%,99.85%,98.55%,99.16%,86.35%,0.85%,3.18%,0.85%,3.24%
10,9-<10 mo,152,2,16,96.67%,82.61%,99.85%,98.40%,96.81%,83.84%,2.49%,3.60%,2.50%,3.69%
11,10-<11 mo,134,0,8,100.00%,82.61%,99.84%,98.24%,100.00%,83.84%,0.00%,3.60%,0.00%,3.69%
12,11-<12 mo,126,4,11,93.47%,77.68%,99.84%,98.09%,93.58%,78.97%,3.87%,4.30%,3.88%,4.43%
13,12-<13 mo,111,1,12,99.61%,77.32%,99.82%,97.92%,99.62%,78.61%,0.38%,4.31%,0.38%,4.45%
14,13-<14 mo,98,0,15,100.00%,77.32%,99.79%,97.72%,100.00%,78.61%,0.00%,4.31%,0.00%,4.45%
15,14-<15 mo,83,1,12,99.48%,76.84%,99.79%,97.51%,99.49%,78.15%,0.52%,4.34%,0.52%,4.47%
16,15-<16 mo,70,0,12,100.00%,76.84%,99.79%,97.31%,100.00%,78.15%,0.00%,4.34%,0.00%,4.47%
17,16-<17 mo,58,1,6,99.28%,76.19%,99.79%,97.11%,99.29%,77.51%,0.71%,4.38%,0.71%,4.51%
18,17-<18 mo,51,0,8,100.00%,76.19%,99.77%,96.89%,100.00%,77.51%,0.00%,4.38%,0.00%,4.51%
19,18-<19 mo,43,2,4,98.18%,74.58%,99.74%,96.64%,98.19%,75.90%,1.24%,4.50%,1.24%,4.63%
20,19-<20 mo,37,0,6,100.00%,74.58%,99.74%,96.40%,100.00%,75.90%,0.00%,4.50%,0.00%,4.63%
21,20-<21 mo,31,0,9,100.00%,74.58%,99.75%,96.16%,100.00%,75.90%,0.00%,4.50%,0.00%,4.63%
22,21-<22 mo,22,0,5,100.00%,74.58%,99.75%,95.93%,100.00%,75.90%,0.00%,4.50%,0.00%,4.63%
23,22-<23 mo,17,0,7,100.00%,74.58%,99.70%,95.65%,100.00%,75.90%,0.00%,4.50%,0.00%,4.63%
24,23-<24 mo,10,0,10,+,+,99.61%,95.29%,+,+,+,+,+,+
