Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"1,623",67,65,94.99%,94.99%,99.75%,99.75%,95.22%,95.22%,0.60%,0.60%,0.60%,0.60%
2,1-<2 mo,"1,491",39,67,96.98%,92.17%,99.76%,99.51%,97.21%,92.60%,0.49%,0.73%,0.49%,0.74%
3,2-<3 mo,"1,385",22,57,98.30%,90.61%,99.76%,99.28%,98.53%,91.24%,0.37%,0.79%,0.37%,0.80%
4,3-<4 mo,"1,306",21,67,98.12%,88.94%,99.76%,99.04%,98.35%,89.76%,0.42%,0.86%,0.42%,0.87%
5,4-<5 mo,"1,218",12,63,98.89%,87.97%,99.77%,98.81%,99.12%,88.98%,0.33%,0.89%,0.33%,0.91%
6,5-<6 mo,"1,143",10,58,98.92%,87.06%,99.76%,98.58%,99.15%,88.25%,0.35%,0.93%,0.35%,0.94%
7,6-<7 mo,"1,075",13,70,98.66%,85.91%,99.77%,98.35%,98.89%,87.28%,0.38%,0.97%,0.38%,0.99%
8,7-<8 mo,992,3,73,99.68%,85.64%,99.77%,98.13%,99.87%,87.16%,0.19%,0.98%,0.19%,1.00%
9,8-<9 mo,916,7,55,99.13%,84.91%,99.77%,97.91%,99.35%,86.64%,0.34%,1.01%,0.34%,1.04%
10,9-<10 mo,854,5,50,99.19%,84.27%,99.77%,97.69%,99.41%,86.15%,0.36%,1.03%,0.36%,1.07%
11,10-<11 mo,799,7,67,98.87%,83.37%,99.77%,97.47%,99.06%,85.38%,0.44%,1.07%,0.44%,1.12%
12,11-<12 mo,725,2,53,99.66%,83.10%,99.77%,97.25%,99.88%,85.31%,0.24%,1.09%,0.24%,1.13%
13,12-<13 mo,670,4,57,99.12%,82.44%,99.75%,97.01%,99.32%,84.77%,0.44%,1.12%,0.44%,1.17%
14,13-<14 mo,609,7,55,98.76%,81.44%,99.75%,96.78%,98.97%,83.92%,0.49%,1.17%,0.49%,1.23%
15,14-<15 mo,547,5,57,98.87%,80.57%,99.76%,96.55%,99.10%,83.26%,0.52%,1.22%,0.52%,1.28%
16,15-<16 mo,485,7,45,98.21%,79.22%,99.77%,96.33%,98.42%,82.00%,0.69%,1.29%,0.69%,1.36%
17,16-<17 mo,433,4,63,98.85%,78.35%,99.77%,96.11%,99.08%,81.29%,0.60%,1.35%,0.60%,1.43%
18,17-<18 mo,366,3,59,99.05%,77.63%,99.77%,95.89%,99.26%,80.69%,0.58%,1.40%,0.58%,1.49%
19,18-<19 mo,304,1,44,99.43%,77.26%,99.78%,95.69%,99.60%,80.41%,0.56%,1.44%,0.57%,1.53%
20,19-<20 mo,259,1,38,99.69%,76.97%,99.78%,95.49%,99.70%,80.16%,0.31%,1.46%,0.31%,1.56%
21,20-<21 mo,220,1,59,99.59%,76.61%,99.79%,95.29%,99.60%,79.80%,0.41%,1.50%,0.41%,1.60%
22,21-<22 mo,160,2,61,98.84%,75.59%,99.79%,95.10%,98.85%,78.78%,0.80%,1.65%,0.80%,1.74%
23,22-<23 mo,97,0,46,100.00%,75.59%,99.80%,94.91%,100.00%,78.78%,0.00%,1.65%,0.00%,1.74%
24,23-<24 mo,51,0,51,+,+,99.82%,94.75%,+,+,+,+,+,+
