Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"88,042","5,780","3,583",92.92%,92.92%,99.77%,99.77%,93.13%,93.13%,0.09%,0.09%,0.09%,0.09%
2,1-<2 mo,"78,679","4,171","3,231",94.29%,87.68%,99.77%,99.54%,94.50%,88.07%,0.09%,0.11%,0.09%,0.12%
3,2-<3 mo,"71,277","2,808","3,529",95.70%,83.99%,99.78%,99.32%,95.91%,84.54%,0.08%,0.13%,0.08%,0.13%
4,3-<4 mo,"64,940","2,039","3,113",96.59%,81.19%,99.78%,99.10%,96.80%,81.89%,0.08%,0.14%,0.08%,0.14%
5,4-<5 mo,"59,788","1,612","3,199",97.03%,78.86%,99.78%,98.89%,97.24%,79.68%,0.07%,0.15%,0.07%,0.15%
6,5-<6 mo,"54,977","1,337","3,015",97.33%,76.82%,99.79%,98.68%,97.54%,77.77%,0.07%,0.15%,0.07%,0.15%
7,6-<7 mo,"50,625","1,168","3,035",97.46%,74.93%,99.79%,98.47%,97.67%,76.00%,0.07%,0.16%,0.08%,0.16%
8,7-<8 mo,"46,422",963,"2,844",97.74%,73.28%,99.79%,98.27%,97.94%,74.47%,0.07%,0.16%,0.07%,0.17%
9,8-<9 mo,"42,615",873,"2,959",97.76%,71.68%,99.79%,98.06%,97.97%,72.99%,0.08%,0.17%,0.08%,0.17%
10,9-<10 mo,"38,783",799,"2,699",97.76%,70.12%,99.79%,97.86%,97.97%,71.53%,0.08%,0.17%,0.08%,0.18%
11,10-<11 mo,"35,285",622,"2,768",98.03%,68.79%,99.79%,97.66%,98.24%,70.30%,0.08%,0.18%,0.08%,0.18%
12,11-<12 mo,"31,895",602,"2,590",97.91%,67.40%,99.79%,97.46%,98.12%,69.00%,0.09%,0.18%,0.09%,0.19%
13,12-<13 mo,"28,703",538,"2,174",97.96%,66.06%,99.77%,97.24%,98.18%,67.77%,0.09%,0.19%,0.09%,0.19%
14,13-<14 mo,"25,991",480,"2,460",97.97%,64.76%,99.77%,97.02%,98.19%,66.56%,0.09%,0.19%,0.09%,0.20%
15,14-<15 mo,"23,051",387,"2,422",98.16%,63.59%,99.77%,96.81%,98.38%,65.49%,0.10%,0.20%,0.10%,0.21%
16,15-<16 mo,"20,242",345,"2,125",98.09%,62.42%,99.78%,96.59%,98.31%,64.41%,0.10%,0.20%,0.11%,0.21%
17,16-<17 mo,"17,772",301,"2,402",98.08%,61.26%,99.78%,96.38%,98.30%,63.33%,0.11%,0.21%,0.11%,0.22%
18,17-<18 mo,"15,069",242,"2,093",98.22%,60.19%,99.78%,96.17%,98.44%,62.35%,0.12%,0.22%,0.12%,0.23%
19,18-<19 mo,"12,734",185,"2,089",98.43%,59.25%,99.78%,95.96%,98.65%,61.50%,0.12%,0.23%,0.12%,0.24%
20,19-<20 mo,"10,460",128,"2,157",98.55%,58.42%,99.78%,95.75%,98.77%,60.75%,0.13%,0.23%,0.13%,0.25%
21,20-<21 mo,"8,175",101,"2,123",98.49%,57.57%,99.78%,95.55%,98.70%,59.98%,0.15%,0.24%,0.16%,0.26%
22,21-<22 mo,"5,951",78,"2,016",98.35%,56.64%,99.78%,95.35%,98.56%,59.13%,0.19%,0.26%,0.19%,0.28%
23,22-<23 mo,"3,857",42,"2,070",98.42%,55.79%,99.78%,95.14%,98.63%,58.34%,0.25%,0.29%,0.25%,0.31%
24,23-<24 mo,"1,745",9,"1,736",+,+,99.79%,94.95%,+,+,+,+,+,+
