Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"2,488",28,102,96.27%,96.27%,99.80%,99.80%,96.45%,96.45%,0.76%,0.76%,0.76%,0.76%
2,1-<2 mo,"2,358",25,102,96.93%,93.37%,99.80%,99.61%,97.12%,93.73%,0.71%,0.98%,0.71%,0.99%
3,2-<3 mo,"2,231",24,105,96.78%,90.47%,99.81%,99.42%,96.96%,90.97%,0.77%,1.16%,0.77%,1.17%
4,3-<4 mo,"2,102",12,99,98.62%,89.28%,99.81%,99.23%,98.81%,89.93%,0.53%,1.22%,0.53%,1.24%
5,4-<5 mo,"1,991",11,105,97.90%,87.51%,99.81%,99.04%,98.08%,88.29%,0.69%,1.32%,0.70%,1.34%
6,5-<6 mo,"1,875",4,102,99.66%,87.23%,99.81%,98.86%,99.82%,88.14%,0.29%,1.33%,0.29%,1.35%
7,6-<7 mo,"1,769",6,97,99.44%,86.75%,99.81%,98.67%,99.63%,87.83%,0.35%,1.35%,0.35%,1.38%
8,7-<8 mo,"1,666",3,111,99.34%,86.24%,99.81%,98.49%,99.50%,87.44%,0.45%,1.38%,0.45%,1.41%
9,8-<9 mo,"1,552",5,123,99.50%,85.78%,99.81%,98.30%,99.53%,87.03%,0.31%,1.40%,0.31%,1.44%
10,9-<10 mo,"1,424",2,112,99.27%,85.22%,99.81%,98.12%,99.42%,86.70%,0.51%,1.44%,0.52%,1.48%
11,10-<11 mo,"1,310",1,107,99.97%,85.20%,99.81%,97.93%,99.98%,86.68%,0.03%,1.44%,0.03%,1.48%
12,11-<12 mo,"1,202",4,119,98.41%,83.97%,99.81%,97.74%,98.60%,85.73%,0.79%,1.53%,0.80%,1.59%
13,12-<13 mo,"1,079",1,86,99.97%,83.93%,99.79%,97.54%,99.97%,85.71%,0.03%,1.53%,0.03%,1.59%
14,13-<14 mo,992,2,84,99.61%,83.59%,99.78%,97.33%,99.65%,85.42%,0.35%,1.55%,0.35%,1.61%
15,14-<15 mo,906,1,91,99.96%,83.55%,99.79%,97.13%,99.97%,85.39%,0.04%,1.56%,0.04%,1.61%
16,15-<16 mo,814,2,68,99.53%,83.13%,99.79%,96.93%,99.56%,85.03%,0.43%,1.59%,0.43%,1.65%
17,16-<17 mo,744,0,95,100.00%,83.13%,99.79%,96.73%,100.00%,85.03%,0.00%,1.59%,0.00%,1.65%
18,17-<18 mo,649,0,90,100.00%,83.13%,99.80%,96.54%,100.00%,85.03%,0.00%,1.59%,0.00%,1.65%
19,18-<19 mo,559,2,98,97.87%,81.58%,99.79%,96.34%,98.03%,84.29%,1.47%,1.87%,1.48%,1.99%
20,19-<20 mo,459,1,90,98.57%,80.59%,99.80%,96.16%,98.72%,83.34%,1.41%,2.07%,1.42%,2.21%
21,20-<21 mo,368,0,108,100.00%,80.59%,99.81%,95.97%,100.00%,83.34%,0.00%,2.07%,0.00%,2.21%
22,21-<22 mo,260,1,93,98.38%,79.20%,99.80%,95.79%,98.41%,82.10%,1.57%,2.45%,1.58%,2.59%
23,22-<23 mo,166,0,94,100.00%,79.20%,99.80%,95.60%,100.00%,82.10%,0.00%,2.45%,0.00%,2.59%
24,23-<24 mo,72,0,72,+,+,99.88%,95.49%,+,+,+,+,+,+
