Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,512,20,12,95.73%,95.73%,99.74%,99.74%,95.97%,95.97%,0.96%,0.96%,0.96%,0.96%
2,1-<2 mo,480,16,17,96.26%,92.16%,99.75%,99.50%,96.49%,92.62%,0.94%,1.28%,0.95%,1.29%
3,2-<3 mo,447,16,19,96.17%,88.66%,99.76%,99.26%,96.39%,89.31%,0.98%,1.51%,0.98%,1.53%
4,3-<4 mo,412,14,20,96.02%,85.19%,99.76%,99.02%,96.25%,86.00%,1.08%,1.72%,1.08%,1.74%
5,4-<5 mo,378,14,20,95.72%,81.60%,99.76%,98.78%,95.95%,82.57%,1.17%,1.89%,1.17%,1.93%
6,5-<6 mo,344,13,25,95.90%,78.32%,99.77%,98.55%,96.12%,79.41%,1.19%,2.04%,1.20%,2.08%
7,6-<7 mo,306,10,14,96.89%,75.86%,99.77%,98.33%,97.12%,77.08%,1.03%,2.13%,1.03%,2.18%
8,7-<8 mo,282,10,21,96.58%,73.23%,99.76%,98.09%,96.81%,74.59%,1.13%,2.23%,1.14%,2.29%
9,8-<9 mo,251,10,17,96.11%,70.33%,99.77%,97.87%,96.33%,71.81%,1.28%,2.35%,1.29%,2.41%
10,9-<10 mo,224,10,12,95.72%,67.30%,99.77%,97.64%,95.95%,68.88%,1.43%,2.46%,1.43%,2.53%
11,10-<11 mo,202,5,21,97.50%,65.60%,99.78%,97.42%,97.72%,67.29%,1.19%,2.53%,1.20%,2.61%
12,11-<12 mo,176,7,11,94.60%,62.19%,99.77%,97.21%,94.81%,63.88%,2.09%,2.71%,2.10%,2.81%
13,12-<13 mo,158,6,17,95.52%,59.50%,99.75%,96.97%,95.76%,61.25%,2.03%,2.83%,2.04%,2.95%
14,13-<14 mo,135,0,16,100.00%,59.50%,99.73%,96.71%,100.00%,61.25%,0.00%,2.83%,0.00%,2.95%
15,14-<15 mo,119,0,14,100.00%,59.50%,99.73%,96.45%,100.00%,61.25%,0.00%,2.83%,0.00%,2.95%
16,15-<16 mo,105,2,10,98.50%,58.52%,99.74%,96.21%,98.55%,60.35%,1.08%,2.89%,1.08%,3.01%
17,16-<17 mo,93,3,8,95.41%,55.81%,99.73%,95.95%,95.63%,58.03%,2.78%,3.17%,2.79%,3.34%
18,17-<18 mo,82,2,11,95.68%,53.52%,99.73%,95.70%,95.90%,55.73%,3.18%,3.42%,3.19%,3.62%
19,18-<19 mo,69,2,9,97.68%,52.15%,99.73%,95.45%,97.73%,54.42%,1.67%,3.50%,1.67%,3.70%
20,19-<20 mo,58,2,12,97.23%,50.59%,99.72%,95.19%,97.28%,52.86%,1.95%,3.60%,1.95%,3.80%
21,20-<21 mo,44,0,13,100.00%,50.59%,99.70%,94.91%,100.00%,52.86%,0.00%,3.60%,0.00%,3.80%
22,21-<22 mo,31,1,16,97.24%,49.04%,99.65%,94.59%,97.27%,51.30%,2.62%,3.84%,2.62%,4.04%
23,22-<23 mo,14,1,8,+,+,99.64%,94.25%,+,+,+,+,+,+
