Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"1,728",173,73,89.65%,89.65%,99.79%,99.79%,89.83%,89.83%,0.74%,0.74%,0.74%,0.74%
2,1-<2 mo,"1,482",153,58,89.22%,80.12%,99.79%,99.58%,89.40%,80.43%,0.82%,0.98%,0.82%,0.98%
3,2-<3 mo,"1,271",109,59,91.11%,73.10%,99.81%,99.39%,91.28%,73.52%,0.82%,1.09%,0.82%,1.10%
4,3-<4 mo,"1,103",88,51,91.65%,67.08%,99.81%,99.20%,91.82%,67.58%,0.86%,1.17%,0.86%,1.18%
5,4-<5 mo,964,57,52,93.73%,62.97%,99.81%,99.01%,93.90%,63.54%,0.81%,1.22%,0.82%,1.23%
6,5-<6 mo,855,52,47,93.56%,59.03%,99.81%,98.83%,93.74%,59.66%,0.88%,1.26%,0.88%,1.27%
7,6-<7 mo,756,39,51,94.32%,55.83%,99.81%,98.64%,94.50%,56.52%,0.89%,1.28%,0.90%,1.30%
8,7-<8 mo,666,30,50,95.15%,53.21%,99.81%,98.46%,95.32%,53.94%,0.88%,1.31%,0.88%,1.33%
9,8-<9 mo,586,32,33,94.30%,50.21%,99.82%,98.28%,94.47%,50.98%,1.00%,1.34%,1.00%,1.36%
10,9-<10 mo,521,23,49,95.23%,47.83%,99.82%,98.11%,95.40%,48.64%,0.99%,1.36%,0.99%,1.39%
11,10-<11 mo,449,15,37,96.43%,46.16%,99.83%,97.94%,96.60%,47.02%,0.92%,1.38%,0.93%,1.41%
12,11-<12 mo,397,35,24,91.19%,41.94%,99.83%,97.77%,91.35%,42.79%,1.45%,1.43%,1.45%,1.46%
13,12-<13 mo,338,21,26,93.31%,39.22%,99.81%,97.58%,93.49%,40.08%,1.44%,1.45%,1.44%,1.49%
14,13-<14 mo,291,11,23,96.13%,37.65%,99.80%,97.40%,96.32%,38.55%,1.17%,1.47%,1.17%,1.51%
15,14-<15 mo,257,11,27,95.44%,35.96%,99.80%,97.20%,95.63%,36.88%,1.38%,1.49%,1.39%,1.53%
16,15-<16 mo,219,13,28,93.69%,33.68%,99.79%,97.01%,93.88%,34.60%,1.75%,1.52%,1.75%,1.57%
17,16-<17 mo,178,9,23,94.88%,31.87%,99.79%,96.81%,95.09%,32.82%,1.69%,1.56%,1.70%,1.61%
18,17-<18 mo,146,4,19,96.81%,30.90%,99.79%,96.60%,97.00%,31.87%,1.59%,1.58%,1.60%,1.64%
19,18-<19 mo,123,5,17,95.89%,29.57%,99.79%,96.40%,96.10%,30.57%,1.85%,1.63%,1.85%,1.68%
20,19-<20 mo,101,4,14,95.26%,28.25%,99.81%,96.22%,95.43%,29.24%,2.38%,1.68%,2.38%,1.75%
21,20-<21 mo,83,1,21,99.03%,27.93%,99.83%,96.06%,99.04%,28.92%,0.95%,1.69%,0.95%,1.76%
22,21-<22 mo,61,4,23,91.01%,25.57%,99.83%,95.91%,91.15%,26.53%,4.38%,1.91%,4.39%,2.00%
23,22-<23 mo,34,0,16,100.00%,25.57%,99.82%,95.74%,100.00%,26.53%,0.00%,1.91%,0.00%,2.00%
24,23-<24 mo,18,0,18,+,+,99.83%,95.58%,+,+,+,+,+,+
