Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"1,728",173,73,89.77%,89.77%,99.79%,99.79%,89.96%,89.96%,0.74%,0.74%,0.74%,0.74%
2,1-<2 mo,"1,482",153,58,89.47%,80.32%,99.81%,99.60%,89.64%,80.64%,0.81%,0.98%,0.81%,0.98%
3,2-<3 mo,"1,271",109,59,91.22%,73.27%,99.82%,99.42%,91.38%,73.69%,0.80%,1.10%,0.80%,1.11%
4,3-<4 mo,"1,103",88,51,91.83%,67.28%,99.83%,99.25%,91.99%,67.79%,0.83%,1.18%,0.84%,1.19%
5,4-<5 mo,964,57,52,93.92%,63.20%,99.83%,99.09%,94.08%,63.78%,0.78%,1.23%,0.78%,1.24%
6,5-<6 mo,855,52,47,93.75%,59.24%,99.83%,98.92%,93.90%,59.89%,0.84%,1.27%,0.84%,1.28%
7,6-<7 mo,756,39,51,94.66%,56.08%,99.84%,98.76%,94.82%,56.79%,0.83%,1.30%,0.83%,1.31%
8,7-<8 mo,666,30,50,95.32%,53.46%,99.84%,98.60%,95.47%,54.21%,0.83%,1.32%,0.84%,1.34%
9,8-<9 mo,586,32,33,94.38%,50.45%,99.84%,98.44%,94.53%,51.25%,0.97%,1.35%,0.97%,1.37%
10,9-<10 mo,521,23,49,95.37%,48.11%,99.85%,98.29%,95.52%,48.95%,0.94%,1.37%,0.94%,1.40%
11,10-<11 mo,449,15,37,96.52%,46.44%,99.85%,98.14%,96.66%,47.32%,0.88%,1.39%,0.89%,1.42%
12,11-<12 mo,397,35,24,90.91%,42.22%,99.85%,98.00%,91.05%,43.08%,1.47%,1.44%,1.47%,1.47%
13,12-<13 mo,338,21,26,93.54%,39.49%,99.83%,97.83%,93.70%,40.37%,1.36%,1.46%,1.37%,1.49%
14,13-<14 mo,291,11,23,96.06%,37.93%,99.83%,97.67%,96.22%,38.84%,1.16%,1.48%,1.17%,1.51%
15,14-<15 mo,257,11,27,95.48%,36.22%,99.83%,97.50%,95.65%,37.15%,1.33%,1.50%,1.33%,1.54%
16,15-<16 mo,219,13,28,93.66%,33.92%,99.83%,97.34%,93.82%,34.85%,1.70%,1.53%,1.71%,1.57%
17,16-<17 mo,178,9,23,94.59%,32.09%,99.82%,97.16%,94.76%,33.03%,1.75%,1.57%,1.76%,1.61%
18,17-<18 mo,146,4,19,97.07%,31.15%,99.82%,96.99%,97.24%,32.12%,1.44%,1.59%,1.45%,1.64%
19,18-<19 mo,123,5,17,95.63%,29.79%,99.82%,96.82%,95.80%,30.77%,1.91%,1.63%,1.91%,1.69%
20,19-<20 mo,101,4,14,95.74%,28.52%,99.84%,96.67%,95.89%,29.51%,2.08%,1.68%,2.09%,1.74%
21,20-<21 mo,83,1,21,98.62%,28.13%,99.86%,96.53%,98.76%,29.14%,1.37%,1.70%,1.37%,1.77%
22,21-<22 mo,61,4,23,91.92%,25.86%,99.86%,96.40%,92.04%,26.82%,3.87%,1.91%,3.88%,1.98%
23,22-<23 mo,34,0,16,100.00%,25.86%,99.85%,96.26%,100.0000%*,26.8208%#,0.00%,1.91%,0.00%,1.9793%#
24,23-<24 mo,18,0,18,+,+,99.84%,96.10%,+,+,+,+,+,+
