Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"18,815",363,908,98.02%,98.02%,99.84%,99.84%,98.18%,98.18%,0.10%,0.10%,0.10%,0.10%
2,1-<2 mo,"17,544",290,726,98.31%,96.37%,99.84%,99.69%,98.46%,96.67%,0.10%,0.14%,0.10%,0.14%
3,2-<3 mo,"16,528",223,834,98.62%,95.03%,99.85%,99.53%,98.77%,95.48%,0.09%,0.16%,0.09%,0.16%
4,3-<4 mo,"15,471",143,751,99.05%,94.13%,99.85%,99.38%,99.20%,94.72%,0.08%,0.18%,0.08%,0.18%
5,4-<5 mo,"14,577",135,799,99.05%,93.24%,99.85%,99.23%,99.20%,93.96%,0.08%,0.19%,0.08%,0.19%
6,5-<6 mo,"13,643",108,757,99.19%,92.48%,99.85%,99.08%,99.34%,93.33%,0.08%,0.20%,0.08%,0.21%
7,6-<7 mo,"12,778",85,803,99.31%,91.84%,99.85%,98.94%,99.46%,92.83%,0.07%,0.21%,0.07%,0.22%
8,7-<8 mo,"11,890",99,754,99.14%,91.05%,99.85%,98.79%,99.29%,92.17%,0.09%,0.23%,0.09%,0.23%
9,8-<9 mo,"11,037",71,718,99.34%,90.45%,99.85%,98.65%,99.48%,91.69%,0.08%,0.24%,0.08%,0.24%
10,9-<10 mo,"10,248",54,755,99.45%,89.95%,99.86%,98.50%,99.60%,91.32%,0.07%,0.24%,0.07%,0.25%
11,10-<11 mo,"9,439",46,719,99.49%,89.50%,99.86%,98.36%,99.64%,90.99%,0.07%,0.25%,0.07%,0.26%
12,11-<12 mo,"8,674",45,715,99.46%,89.01%,99.86%,98.22%,99.60%,90.63%,0.08%,0.26%,0.08%,0.27%
13,12-<13 mo,"7,914",37,639,99.51%,88.58%,99.84%,98.07%,99.67%,90.33%,0.08%,0.27%,0.08%,0.27%
14,13-<14 mo,"7,238",41,703,99.40%,88.05%,99.84%,97.91%,99.56%,89.93%,0.09%,0.28%,0.09%,0.29%
15,14-<15 mo,"6,494",24,693,99.61%,87.71%,99.84%,97.76%,99.76%,89.72%,0.08%,0.29%,0.08%,0.29%
16,15-<16 mo,"5,777",21,609,99.62%,87.37%,99.84%,97.61%,99.77%,89.51%,0.08%,0.30%,0.08%,0.30%
17,16-<17 mo,"5,147",10,722,99.79%,87.19%,99.84%,97.46%,99.95%,89.47%,0.07%,0.30%,0.07%,0.31%
18,17-<18 mo,"4,415",20,656,99.51%,86.76%,99.85%,97.31%,99.66%,89.16%,0.11%,0.31%,0.11%,0.32%
19,18-<19 mo,"3,739",16,665,99.53%,86.36%,99.85%,97.16%,99.68%,88.88%,0.12%,0.33%,0.12%,0.34%
20,19-<20 mo,"3,058",10,646,99.63%,86.04%,99.85%,97.01%,99.79%,88.69%,0.12%,0.34%,0.12%,0.35%
21,20-<21 mo,"2,402",9,690,99.56%,85.66%,99.85%,96.86%,99.72%,88.44%,0.15%,0.36%,0.15%,0.37%
22,21-<22 mo,"1,703",3,582,99.79%,85.48%,99.84%,96.70%,99.95%,88.40%,0.12%,0.38%,0.12%,0.39%
23,22-<23 mo,"1,118",5,624,99.38%,84.95%,99.84%,96.55%,99.54%,87.99%,0.28%,0.44%,0.28%,0.46%
24,23-<24 mo,489,1,488,+,+,99.83%,96.39%,+,+,+,+,+,+
