Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"11,051",965,395,90.06%,90.06%,99.76%,99.76%,90.27%,90.27%,0.30%,0.30%,0.30%,0.30%
2,1-<2 mo,"9,691",361,410,95.55%,86.21%,99.77%,99.53%,95.77%,86.59%,0.23%,0.35%,0.23%,0.35%
3,2-<3 mo,"8,920",192,410,97.34%,84.04%,99.77%,99.30%,97.56%,84.59%,0.19%,0.37%,0.19%,0.37%
4,3-<4 mo,"8,318",160,382,97.72%,82.22%,99.78%,99.08%,97.93%,82.91%,0.18%,0.38%,0.18%,0.39%
5,4-<5 mo,"7,776",125,440,98.15%,80.77%,99.78%,98.86%,98.36%,81.61%,0.17%,0.40%,0.17%,0.40%
6,5-<6 mo,"7,211",102,416,98.31%,79.47%,99.78%,98.65%,98.52%,80.45%,0.17%,0.41%,0.17%,0.42%
7,6-<7 mo,"6,693",109,429,98.18%,78.08%,99.78%,98.44%,98.39%,79.19%,0.18%,0.42%,0.18%,0.43%
8,7-<8 mo,"6,155",97,414,98.05%,76.66%,99.78%,98.23%,98.26%,77.90%,0.20%,0.44%,0.20%,0.45%
9,8-<9 mo,"5,644",83,375,98.40%,75.47%,99.78%,98.02%,98.61%,76.83%,0.18%,0.45%,0.19%,0.46%
10,9-<10 mo,"5,186",70,392,98.44%,74.35%,99.78%,97.81%,98.65%,75.83%,0.20%,0.46%,0.20%,0.48%
11,10-<11 mo,"4,724",68,414,98.32%,73.17%,99.79%,97.60%,98.52%,74.76%,0.21%,0.48%,0.21%,0.49%
12,11-<12 mo,"4,242",52,376,98.64%,72.20%,99.79%,97.40%,98.85%,73.90%,0.20%,0.49%,0.20%,0.51%
13,12-<13 mo,"3,814",52,306,98.58%,71.16%,99.77%,97.18%,98.81%,72.99%,0.21%,0.50%,0.21%,0.52%
14,13-<14 mo,"3,456",43,324,98.57%,70.19%,99.77%,96.96%,98.80%,72.14%,0.23%,0.52%,0.23%,0.54%
15,14-<15 mo,"3,089",34,327,98.80%,69.37%,99.77%,96.74%,99.03%,71.45%,0.22%,0.53%,0.22%,0.55%
16,15-<16 mo,"2,728",23,297,99.01%,68.73%,99.77%,96.52%,99.24%,70.92%,0.22%,0.54%,0.22%,0.57%
17,16-<17 mo,"2,408",20,312,99.05%,68.09%,99.77%,96.30%,99.28%,70.41%,0.22%,0.56%,0.22%,0.58%
18,17-<18 mo,"2,076",16,298,99.25%,67.56%,99.77%,96.08%,99.48%,70.01%,0.20%,0.57%,0.20%,0.60%
19,18-<19 mo,"1,762",13,301,99.00%,66.94%,99.77%,95.86%,99.23%,69.50%,0.28%,0.59%,0.28%,0.62%
20,19-<20 mo,"1,448",17,283,98.55%,66.01%,99.77%,95.64%,98.78%,68.67%,0.37%,0.62%,0.37%,0.66%
21,20-<21 mo,"1,148",9,320,99.00%,65.39%,99.78%,95.43%,99.22%,68.15%,0.35%,0.65%,0.35%,0.69%
22,21-<22 mo,819,4,266,99.44%,65.01%,99.77%,95.22%,99.68%,67.90%,0.29%,0.67%,0.29%,0.72%
23,22-<23 mo,549,3,282,99.34%,64.59%,99.76%,94.99%,99.55%,67.58%,0.41%,0.71%,0.41%,0.76%
24,23-<24 mo,264,0,264,+,+,99.74%,94.75%,+,+,+,+,+,+
