Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"11,051",965,395,91.11%,91.11%,99.79%,99.79%,91.30%,91.30%,0.27%,0.27%,0.27%,0.27%
2,1-<2 mo,"9,691",361,410,96.19%,87.64%,99.81%,99.60%,96.37%,87.99%,0.20%,0.32%,0.20%,0.32%
3,2-<3 mo,"8,920",192,410,97.80%,85.71%,99.82%,99.43%,97.97%,86.20%,0.16%,0.34%,0.16%,0.34%
4,3-<4 mo,"8,318",160,382,98.03%,84.02%,99.83%,99.25%,98.20%,84.65%,0.15%,0.36%,0.15%,0.36%
5,4-<5 mo,"7,776",125,440,98.35%,82.63%,99.83%,99.09%,98.51%,83.40%,0.15%,0.37%,0.15%,0.38%
6,5-<6 mo,"7,211",102,416,98.54%,81.43%,99.83%,98.92%,98.71%,82.32%,0.14%,0.39%,0.14%,0.39%
7,6-<7 mo,"6,693",109,429,98.32%,80.06%,99.83%,98.76%,98.48%,81.07%,0.16%,0.40%,0.16%,0.41%
8,7-<8 mo,"6,155",97,414,98.37%,78.75%,99.84%,98.59%,98.53%,79.88%,0.16%,0.42%,0.16%,0.42%
9,8-<9 mo,"5,644",83,375,98.48%,77.56%,99.84%,98.43%,98.64%,78.79%,0.17%,0.43%,0.17%,0.44%
10,9-<10 mo,"5,186",70,392,98.60%,76.47%,99.84%,98.28%,98.76%,77.81%,0.17%,0.44%,0.17%,0.45%
11,10-<11 mo,"4,724",68,414,98.49%,75.32%,99.84%,98.12%,98.65%,76.76%,0.18%,0.46%,0.18%,0.47%
12,11-<12 mo,"4,242",52,376,98.72%,74.35%,99.84%,97.97%,98.87%,75.89%,0.18%,0.47%,0.18%,0.48%
13,12-<13 mo,"3,814",52,306,98.58%,73.29%,99.83%,97.80%,98.75%,74.95%,0.20%,0.49%,0.20%,0.50%
14,13-<14 mo,"3,456",43,324,98.69%,72.34%,99.83%,97.63%,98.86%,74.09%,0.20%,0.50%,0.20%,0.51%
15,14-<15 mo,"3,089",34,327,98.84%,71.50%,99.83%,97.46%,99.01%,73.36%,0.20%,0.52%,0.20%,0.53%
16,15-<16 mo,"2,728",23,297,99.11%,70.86%,99.83%,97.30%,99.28%,72.83%,0.19%,0.53%,0.19%,0.54%
17,16-<17 mo,"2,408",20,312,99.11%,70.23%,99.83%,97.13%,99.28%,72.31%,0.20%,0.54%,0.20%,0.56%
18,17-<18 mo,"2,076",16,298,99.17%,69.65%,99.83%,96.96%,99.34%,71.83%,0.21%,0.56%,0.21%,0.57%
19,18-<19 mo,"1,762",13,301,99.19%,69.09%,99.83%,96.80%,99.36%,71.37%,0.22%,0.57%,0.22%,0.59%
20,19-<20 mo,"1,448",17,283,98.70%,68.19%,99.83%,96.63%,98.87%,70.56%,0.31%,0.61%,0.31%,0.63%
21,20-<21 mo,"1,148",9,320,99.09%,67.57%,99.83%,96.47%,99.26%,70.04%,0.30%,0.64%,0.30%,0.66%
22,21-<22 mo,819,4,266,99.42%,67.17%,99.82%,96.30%,99.59%,69.76%,0.29%,0.66%,0.29%,0.69%
23,22-<23 mo,549,3,282,99.26%,66.68%,99.81%,96.11%,99.45%,69.37%,0.42%,0.72%,0.42%,0.74%
24,23-<24 mo,264,0,264,+,+,99.80%,95.92%,+,+,+,+,+,+
