Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,380,0,14,100.00%,100.00%,99.76%,99.76%,100.0000%*,100.0000%*,0.00%,0.00%,0.00%,0.00%
2,1-<2 mo,366,1,19,99.72%,99.72%,99.76%,99.52%,99.96%,100.0000%*,0.28%,0.28%,0.28%,0.28%
3,2-<3 mo,346,2,13,99.41%,99.13%,99.75%,99.28%,99.66%,99.85%,0.42%,0.50%,0.42%,0.50%
4,3-<4 mo,331,0,16,100.00%,99.13%,99.76%,99.04%,100.0000%*,99.8530%*#,0.00%,0.50%,0.00%,0.5027%#
5,4-<5 mo,315,1,21,99.67%,98.81%,99.76%,98.80%,99.91%,99.8530%*#,0.33%,0.59%,0.33%,0.5027%#
6,5-<6 mo,293,2,18,99.30%,98.11%,99.76%,98.56%,99.54%,99.55%,0.50%,0.77%,0.50%,0.78%
7,6-<7 mo,273,1,20,99.62%,97.74%,99.75%,98.32%,99.87%,99.41%,0.38%,0.85%,0.38%,0.86%
8,7-<8 mo,252,4,11,98.38%,96.15%,99.75%,98.07%,98.62%,98.04%,0.80%,1.15%,0.81%,1.17%
9,8-<9 mo,237,2,17,99.12%,95.31%,99.76%,97.84%,99.36%,97.42%,0.62%,1.28%,0.62%,1.31%
10,9-<10 mo,218,2,14,99.05%,94.41%,99.76%,97.61%,99.29%,96.72%,0.67%,1.42%,0.67%,1.46%
11,10-<11 mo,202,1,14,99.49%,93.92%,99.77%,97.38%,99.71%,96.45%,0.51%,1.49%,0.51%,1.53%
12,11-<12 mo,187,3,17,98.32%,92.34%,99.77%,97.16%,98.54%,95.04%,0.96%,1.72%,0.96%,1.77%
13,12-<13 mo,167,1,8,99.39%,91.78%,99.75%,96.92%,99.64%,94.69%,0.61%,1.80%,0.61%,1.86%
14,13-<14 mo,158,1,15,99.34%,91.17%,99.76%,96.69%,99.57%,94.29%,0.66%,1.89%,0.66%,1.96%
15,14-<15 mo,142,0,17,100.00%,91.17%,99.77%,96.46%,100.0000%*,94.2889%#,0.00%,1.89%,0.00%,1.9577%#
16,15-<16 mo,125,0,17,100.00%,91.17%,99.76%,96.23%,100.0000%*,94.2889%#,0.00%,1.89%,0.00%,1.9577%#
17,16-<17 mo,108,0,15,100.00%,91.17%,99.76%,96.00%,100.0000%*,94.2889%#,0.00%,1.89%,0.00%,1.9577%#
18,17-<18 mo,93,1,12,98.85%,90.12%,99.76%,95.77%,99.09%,94.10%,1.14%,2.14%,1.15%,2.24%
19,18-<19 mo,80,0,16,100.00%,90.12%,99.76%,95.54%,100.0000%*,94.0973%#,0.00%,2.14%,0.00%,2.2361%#
20,19-<20 mo,64,1,19,98.17%,88.47%,99.75%,95.30%,98.41%,92.83%,1.82%,2.67%,1.82%,2.80%
21,20-<21 mo,44,0,10,100.00%,88.47%,99.71%,95.02%,100.0000%*,92.8319%#,0.00%,2.67%,0.00%,2.7968%#
22,21-<22 mo,34,0,12,100.00%,88.47%,99.79%,94.82%,100.0000%*,92.8319%#,0.00%,2.67%,0.00%,2.7968%#
23,22-<23 mo,22,0,11,100.00%,88.47%,99.78%,94.62%,100.0000%*,92.8319%#,0.00%,2.67%,0.00%,2.7968%#
24,23-<24 mo,11,0,11,+,+,99.80%,94.42%,+,+,+,+,+,+
