Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,154,45,2,62.83%,62.83%,99.70%,99.70%,62.96%,62.96%,4.17%,4.17%,4.19%,4.19%
2,1-<2 mo,107,10,3,83.56%,55.25%,99.76%,99.46%,83.74%,55.42%,4.97%,4.15%,4.99%,4.18%
3,2-<3 mo,94,5,2,88.72%,50.12%,99.77%,99.23%,88.92%,50.34%,5.07%,4.23%,5.09%,4.26%
4,3-<4 mo,87,3,2,92.26%,48.08%,99.77%,99.01%,92.43%,48.32%,4.73%,4.15%,4.75%,4.18%
5,4-<5 mo,82,3,5,90.31%,45.94%,99.81%,98.82%,90.45%,46.17%,5.81%,4.05%,5.83%,4.09%
6,5-<6 mo,74,0,7,100.00%,45.94%,99.84%,98.66%,100.00%,46.17%,0.00%,4.05%,0.00%,4.09%
7,6-<7 mo,67,2,5,98.88%,45.00%,99.83%,98.50%,98.88%,45.24%,0.78%,4.09%,0.78%,4.12%
8,7-<8 mo,60,1,8,99.36%,44.49%,99.83%,98.33%,99.36%,44.73%,0.64%,4.11%,0.64%,4.15%
9,8-<9 mo,51,1,3,95.40%,41.91%,99.82%,98.16%,95.42%,42.21%,4.20%,4.39%,4.20%,4.44%
10,9-<10 mo,47,1,7,89.06%,40.28%,99.82%,97.98%,89.17%,40.62%,9.48%,4.39%,9.51%,4.46%
11,10-<11 mo,39,0,1,100.00%,40.28%,99.85%,97.84%,100.00%,40.62%,0.00%,4.39%,0.00%,4.46%
12,11-<12 mo,38,0,8,100.00%,40.28%,99.85%,97.69%,100.00%,40.62%,0.00%,4.39%,0.00%,4.46%
13,12-<13 mo,30,1,2,98.78%,39.32%,99.88%,97.57%,98.79%,39.69%,1.19%,4.47%,1.19%,4.54%
14,13-<14 mo,27,0,2,100.00%,39.32%,99.88%,97.46%,100.00%,39.69%,0.00%,4.47%,0.00%,4.54%
15,14-<15 mo,25,0,3,100.00%,39.32%,99.89%,97.35%,100.00%,39.69%,0.00%,4.47%,0.00%,4.54%
16,15-<16 mo,22,1,1,98.45%,38.16%,99.91%,97.26%,98.46%,38.54%,1.51%,4.58%,1.51%,4.65%
17,16-<17 mo,20,0,3,+,+,99.91%,97.17%,+,+,+,+,+,+
