Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,154,45,2,70.59%,70.59%,99.77%,99.77%,70.75%,70.75%,3.68%,3.68%,3.69%,3.69%
2,1-<2 mo,107,10,3,90.52%,63.90%,99.88%,99.65%,90.63%,64.12%,2.85%,3.90%,2.86%,3.91%
3,2-<3 mo,94,5,2,94.62%,60.46%,99.90%,99.55%,94.72%,60.74%,2.34%,3.98%,2.34%,4.00%
4,3-<4 mo,87,3,2,96.51%,58.35%,99.91%,99.46%,96.60%,58.67%,1.98%,4.02%,1.98%,4.04%
5,4-<5 mo,82,3,5,96.23%,56.15%,99.93%,99.39%,96.30%,56.50%,2.14%,4.06%,2.14%,4.09%
6,5-<6 mo,74,0,7,100.00%,56.15%,99.94%,99.33%,100.0000%*,56.4962%#,0.00%,4.06%,0.00%,4.0898%#
7,6-<7 mo,67,2,5,96.90%,54.41%,99.95%,99.28%,96.95%,54.81%,2.16%,4.12%,2.16%,4.15%
8,7-<8 mo,60,1,8,98.21%,53.44%,99.94%,99.22%,98.27%,53.86%,1.77%,4.16%,1.77%,4.19%
9,8-<9 mo,51,1,3,97.98%,52.36%,99.95%,99.17%,98.03%,52.80%,2.00%,4.21%,2.00%,4.25%
10,9-<10 mo,47,1,7,97.70%,51.16%,99.94%,99.11%,97.76%,51.61%,2.27%,4.29%,2.27%,4.32%
11,10-<11 mo,39,0,1,100.00%,51.16%,99.95%,99.06%,100.0000%*,51.6143%#,0.00%,4.29%,0.00%,4.3241%#
12,11-<12 mo,38,0,8,100.00%,51.16%,99.95%,99.01%,100.0000%*,51.6143%#,0.00%,4.29%,0.00%,4.3241%#
13,12-<13 mo,30,1,2,96.55%,49.39%,99.95%,98.96%,96.60%,49.91%,3.39%,4.49%,3.39%,4.53%
14,13-<14 mo,27,0,2,100.00%,49.39%,99.95%,98.91%,100.0000%*,49.9108%#,0.00%,4.49%,0.00%,4.5334%#
15,14-<15 mo,25,0,3,100.00%,49.39%,99.95%,98.87%,100.0000%*,49.9108%#,0.00%,4.49%,0.00%,4.5334%#
16,15-<16 mo,22,1,1,95.35%,47.09%,99.96%,98.83%,95.39%,47.65%,4.54%,4.83%,4.54%,4.89%
17,16-<17 mo,20,0,3,100.00%,47.09%,99.96%,98.79%,100.0000%*,47.6512%#,0.00%,4.83%,0.00%,4.8872%#
18,17-<18 mo,17,0,2,100.00%,47.09%,99.97%,98.77%,100.0000%*,47.6512%#,0.00%,4.83%,0.00%,4.8872%#
19,18-<19 mo,15,0,4,100.00%,47.09%,99.97%,98.74%,100.0000%*,47.6512%#,0.00%,4.83%,0.00%,4.8872%#
20,19-<20 mo,11,0,3,100.00%,47.09%,99.97%,98.71%,100.0000%*,47.6512%#,0.00%,4.83%,0.00%,4.8872%#
21,20-<21 mo,8,0,4,100.00%,47.09%,99.97%,98.68%,100.0000%*,47.6512%#,0.00%,4.83%,0.00%,4.8872%#
22,21-<22 mo,4,0,2,100.00%,47.09%,99.97%,98.65%,100.0000%*,47.6512%#,0.00%,4.83%,0.00%,4.8872%#
23,22-<23 mo,2,0,1,100.00%,47.09%,99.95%,98.60%,100.0000%*,47.6512%#,0.00%,4.83%,0.00%,4.8872%#
24,23-<24 mo,1,0,1,+,+,99.98%,98.58%,+,+,+,+,+,+
