Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"2,111",209,82,90.67%,90.67%,99.77%,99.77%,90.88%,90.88%,0.62%,0.62%,0.62%,0.62%
2,1-<2 mo,"1,820",148,70,91.88%,83.36%,99.77%,99.54%,92.09%,83.73%,0.65%,0.81%,0.65%,0.82%
3,2-<3 mo,"1,602",96,85,94.13%,78.59%,99.78%,99.32%,94.34%,79.09%,0.58%,0.90%,0.58%,0.91%
4,3-<4 mo,"1,421",72,71,94.89%,74.63%,99.79%,99.11%,95.09%,75.26%,0.59%,0.97%,0.59%,0.98%
5,4-<5 mo,"1,278",60,58,95.27%,71.16%,99.79%,98.90%,95.47%,71.89%,0.60%,1.03%,0.60%,1.04%
6,5-<6 mo,"1,160",45,60,96.10%,68.46%,99.79%,98.70%,96.30%,69.29%,0.57%,1.07%,0.57%,1.08%
7,6-<7 mo,"1,055",48,62,95.40%,65.42%,99.79%,98.49%,95.59%,66.33%,0.65%,1.11%,0.65%,1.12%
8,7-<8 mo,945,32,61,96.54%,63.24%,99.80%,98.29%,96.73%,64.23%,0.60%,1.14%,0.60%,1.16%
9,8-<9 mo,852,30,52,96.39%,61.03%,99.81%,98.10%,96.57%,62.09%,0.65%,1.17%,0.65%,1.19%
10,9-<10 mo,770,30,67,95.96%,58.60%,99.81%,97.92%,96.15%,59.72%,0.72%,1.21%,0.73%,1.23%
11,10-<11 mo,673,29,54,95.51%,56.10%,99.82%,97.74%,95.69%,57.25%,0.81%,1.24%,0.82%,1.27%
12,11-<12 mo,590,18,51,96.74%,54.38%,99.82%,97.57%,96.92%,55.57%,0.75%,1.27%,0.75%,1.30%
13,12-<13 mo,521,20,43,95.92%,52.26%,99.80%,97.37%,96.11%,53.49%,0.89%,1.31%,0.90%,1.34%
14,13-<14 mo,458,19,45,95.61%,50.13%,99.80%,97.18%,95.80%,51.38%,0.99%,1.35%,0.99%,1.38%
15,14-<15 mo,394,9,40,97.57%,48.86%,99.79%,96.98%,97.77%,50.18%,0.81%,1.38%,0.81%,1.42%
16,15-<16 mo,345,12,38,96.27%,47.16%,99.80%,96.79%,96.47%,48.51%,1.06%,1.42%,1.06%,1.46%
17,16-<17 mo,295,12,36,95.56%,45.13%,99.81%,96.61%,95.75%,46.49%,1.26%,1.48%,1.26%,1.53%
18,17-<18 mo,247,9,28,96.21%,43.28%,99.81%,96.42%,96.40%,44.67%,1.26%,1.55%,1.26%,1.60%
19,18-<19 mo,210,2,36,99.03%,42.89%,99.80%,96.24%,99.21%,44.34%,0.69%,1.57%,0.69%,1.62%
20,19-<20 mo,172,5,35,96.83%,41.53%,99.81%,96.06%,97.01%,43.01%,1.41%,1.64%,1.41%,1.69%
21,20-<21 mo,132,4,31,96.73%,40.26%,99.82%,95.89%,96.89%,41.74%,1.60%,1.71%,1.60%,1.77%
22,21-<22 mo,97,4,33,95.01%,38.32%,99.81%,95.71%,95.18%,39.79%,2.43%,1.90%,2.44%,1.97%
23,22-<23 mo,60,2,26,95.66%,36.81%,99.81%,95.54%,95.83%,38.26%,2.98%,2.10%,2.99%,2.18%
24,23-<24 mo,32,0,32,+,+,99.84%,95.39%,+,+,+,+,+,+
