Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,707,193,21,73.17%,73.17%,99.75%,99.75%,73.34%,73.34%,1.66%,1.66%,1.66%,1.66%
2,1-<2 mo,493,117,19,76.35%,56.35%,99.77%,99.52%,76.52%,56.58%,1.89%,1.86%,1.89%,1.87%
3,2-<3 mo,357,57,19,83.60%,47.10%,99.78%,99.30%,83.78%,47.39%,1.99%,1.93%,1.99%,1.94%
4,3-<4 mo,281,34,10,87.67%,41.53%,99.79%,99.09%,87.85%,41.85%,1.96%,1.93%,1.97%,1.94%
5,4-<5 mo,237,27,13,88.02%,36.93%,99.79%,98.89%,88.19%,37.27%,2.13%,1.91%,2.14%,1.93%
6,5-<6 mo,197,24,15,87.04%,32.38%,99.79%,98.68%,87.22%,32.72%,2.48%,1.89%,2.48%,1.91%
7,6-<7 mo,158,15,9,89.90%,29.29%,99.78%,98.47%,90.09%,29.64%,2.50%,1.87%,2.50%,1.90%
8,7-<8 mo,134,8,5,94.47%,27.40%,99.81%,98.29%,94.66%,27.78%,1.91%,1.87%,1.91%,1.89%
9,8-<9 mo,121,5,11,95.90%,26.17%,99.82%,98.11%,96.08%,26.57%,1.81%,1.86%,1.81%,1.89%
10,9-<10 mo,105,3,10,96.62%,25.44%,99.82%,97.94%,96.78%,25.86%,1.92%,1.86%,1.93%,1.89%
11,10-<11 mo,92,3,7,95.95%,24.63%,99.82%,97.76%,96.12%,25.05%,2.31%,1.86%,2.32%,1.89%
12,11-<12 mo,82,1,10,98.05%,24.31%,99.82%,97.58%,98.19%,24.75%,1.90%,1.86%,1.91%,1.90%
13,12-<13 mo,71,3,5,96.56%,23.21%,99.83%,97.42%,96.59%,23.66%,1.92%,1.88%,1.92%,1.92%
14,13-<14 mo,63,3,6,96.15%,22.16%,99.82%,97.24%,96.17%,22.61%,2.06%,1.89%,2.06%,1.93%
15,14-<15 mo,54,3,8,94.83%,20.95%,99.81%,97.06%,94.85%,21.39%,2.69%,1.90%,2.70%,1.93%
16,15-<16 mo,43,0,8,100.00%,20.95%,99.82%,96.89%,100.00%,21.39%,0.00%,1.90%,0.00%,1.93%
17,16-<17 mo,35,0,5,100.00%,20.95%,99.85%,96.75%,100.00%,21.39%,0.00%,1.90%,0.00%,1.93%
18,17-<18 mo,30,1,6,97.14%,20.06%,99.85%,96.61%,97.15%,20.51%,2.72%,2.01%,2.72%,2.05%
19,18-<19 mo,23,0,4,100.00%,20.06%,99.84%,96.46%,100.00%,20.51%,0.00%,2.01%,0.00%,2.05%
20,19-<20 mo,19,2,2,90.99%,17.94%,99.83%,96.30%,91.03%,18.40%,5.84%,2.25%,5.84%,2.30%
21,20-<21 mo,15,1,2,91.25%,16.59%,99.83%,96.14%,91.35%,17.14%,7.83%,2.49%,7.85%,2.57%
22,21-<22 mo,12,1,5,89.06%,15.24%,99.82%,95.97%,89.17%,15.70%,9.48%,2.58%,9.51%,2.68%
23,22-<23 mo,6,0,2,100.00%,15.24%,99.81%,95.80%,100.00%,15.70%,0.00%,2.58%,0.00%,2.68%
24,23-<24 mo,4,0,4,+,+,99.80%,95.61%,+,+,+,+,+,+
