Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,435,66,22,82.95%,82.95%,99.73%,99.73%,83.15%,83.15%,1.84%,1.84%,1.84%,1.84%
2,1-<2 mo,347,17,14,93.92%,78.33%,99.76%,99.49%,94.14%,78.67%,1.44%,2.00%,1.45%,2.02%
3,2-<3 mo,316,10,13,95.73%,75.39%,99.77%,99.27%,95.94%,75.86%,1.33%,2.09%,1.34%,2.11%
4,3-<4 mo,293,7,11,97.20%,73.41%,99.78%,99.06%,97.41%,73.99%,1.10%,2.16%,1.10%,2.19%
5,4-<5 mo,275,6,18,97.37%,71.67%,99.80%,98.86%,97.57%,72.35%,1.12%,2.21%,1.12%,2.24%
6,5-<6 mo,251,1,17,99.56%,71.30%,99.81%,98.67%,99.58%,72.00%,0.44%,2.23%,0.44%,2.26%
7,6-<7 mo,233,4,17,98.45%,70.18%,99.80%,98.48%,98.62%,71.07%,0.86%,2.27%,0.87%,2.32%
8,7-<8 mo,212,4,18,97.30%,68.66%,99.80%,98.28%,97.46%,69.59%,1.37%,2.32%,1.38%,2.37%
9,8-<9 mo,190,2,10,99.13%,67.94%,99.80%,98.09%,99.17%,68.95%,0.62%,2.36%,0.62%,2.41%
10,9-<10 mo,178,3,20,97.18%,66.52%,99.80%,97.90%,97.32%,67.64%,1.58%,2.40%,1.58%,2.47%
11,10-<11 mo,155,1,5,99.56%,66.16%,99.81%,97.72%,99.57%,67.29%,0.43%,2.42%,0.43%,2.49%
12,11-<12 mo,149,1,18,99.34%,65.62%,99.81%,97.54%,99.36%,66.82%,0.66%,2.47%,0.66%,2.54%
13,12-<13 mo,130,3,12,98.18%,64.16%,99.79%,97.33%,98.22%,65.39%,1.05%,2.58%,1.05%,2.65%
14,13-<14 mo,115,0,10,100.00%,64.16%,99.81%,97.16%,100.00%,65.39%,0.00%,2.58%,0.00%,2.65%
15,14-<15 mo,105,0,11,100.00%,64.16%,99.81%,96.98%,100.00%,65.39%,0.00%,2.58%,0.00%,2.65%
16,15-<16 mo,94,1,12,99.29%,63.60%,99.81%,96.79%,99.30%,64.85%,0.70%,2.63%,0.70%,2.69%
17,16-<17 mo,81,0,15,100.00%,63.60%,99.82%,96.62%,100.00%,64.85%,0.00%,2.63%,0.00%,2.69%
18,17-<18 mo,66,0,12,100.00%,63.60%,99.82%,96.45%,100.00%,64.85%,0.00%,2.63%,0.00%,2.69%
19,18-<19 mo,54,0,10,100.00%,63.60%,99.81%,96.27%,100.00%,64.85%,0.00%,2.63%,0.00%,2.69%
20,19-<20 mo,44,0,9,100.00%,63.60%,99.80%,96.08%,100.00%,64.85%,0.00%,2.63%,0.00%,2.69%
21,20-<21 mo,35,0,9,100.00%,63.60%,99.78%,95.88%,100.00%,64.85%,0.00%,2.63%,0.00%,2.69%
22,21-<22 mo,26,0,10,100.00%,63.60%,99.79%,95.68%,100.00%,64.85%,0.00%,2.63%,0.00%,2.69%
23,22-<23 mo,16,0,8,100.00%,63.60%,99.80%,95.49%,100.00%,64.85%,0.00%,2.63%,0.00%,2.69%
24,23-<24 mo,8,0,8,+,+,99.83%,95.33%,+,+,+,+,+,+
