Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,435,66,22,84.43%,84.43%,99.77%,99.77%,84.63%,84.63%,1.76%,1.76%,1.76%,1.76%
2,1-<2 mo,347,17,14,95.00%,80.21%,99.81%,99.58%,95.18%,80.55%,1.18%,1.95%,1.18%,1.96%
3,2-<3 mo,316,10,13,96.77%,77.62%,99.83%,99.42%,96.93%,78.08%,1.01%,2.05%,1.01%,2.06%
4,3-<4 mo,293,7,11,97.57%,75.73%,99.84%,99.26%,97.72%,76.29%,0.91%,2.12%,0.91%,2.14%
5,4-<5 mo,275,6,18,97.74%,74.02%,99.86%,99.12%,97.89%,74.68%,0.91%,2.18%,0.91%,2.20%
6,5-<6 mo,251,1,17,99.59%,73.72%,99.86%,98.98%,99.73%,74.48%,0.41%,2.20%,0.41%,2.22%
7,6-<7 mo,233,4,17,98.22%,72.40%,99.86%,98.84%,98.35%,73.25%,0.88%,2.25%,0.88%,2.28%
8,7-<8 mo,212,4,18,98.03%,70.98%,99.86%,98.70%,98.17%,71.91%,0.98%,2.32%,0.98%,2.35%
9,8-<9 mo,190,2,10,98.92%,70.21%,99.86%,98.57%,99.06%,71.23%,0.76%,2.36%,0.76%,2.39%
10,9-<10 mo,178,3,20,98.21%,68.96%,99.86%,98.43%,98.35%,70.06%,1.02%,2.42%,1.02%,2.46%
11,10-<11 mo,155,1,5,99.34%,68.50%,99.86%,98.29%,99.48%,69.69%,0.65%,2.45%,0.65%,2.49%
12,11-<12 mo,149,1,18,99.29%,68.01%,99.86%,98.15%,99.43%,69.30%,0.71%,2.48%,0.71%,2.53%
13,12-<13 mo,130,3,12,97.58%,66.37%,99.85%,98.00%,97.73%,67.72%,1.38%,2.60%,1.38%,2.65%
14,13-<14 mo,115,0,10,100.00%,66.37%,99.86%,97.86%,100.0000%*,67.7241%#,0.00%,2.60%,0.00%,2.6489%#
15,14-<15 mo,105,0,11,100.00%,66.37%,99.86%,97.73%,100.0000%*,67.7241%#,0.00%,2.60%,0.00%,2.6489%#
16,15-<16 mo,94,1,12,98.86%,65.61%,99.85%,97.58%,99.01%,67.24%,1.13%,2.67%,1.13%,2.74%
17,16-<17 mo,81,0,15,100.00%,65.61%,99.87%,97.45%,100.0000%*,67.2408%#,0.00%,2.67%,0.00%,2.7400%#
18,17-<18 mo,66,0,12,100.00%,65.61%,99.86%,97.32%,100.0000%*,67.2408%#,0.00%,2.67%,0.00%,2.7400%#
19,18-<19 mo,54,0,10,100.00%,65.61%,99.86%,97.18%,100.0000%*,67.2408%#,0.00%,2.67%,0.00%,2.7400%#
20,19-<20 mo,44,0,9,100.00%,65.61%,99.84%,97.03%,100.0000%*,67.2408%#,0.00%,2.67%,0.00%,2.7400%#
21,20-<21 mo,35,0,9,100.00%,65.61%,99.82%,96.85%,100.0000%*,67.2408%#,0.00%,2.67%,0.00%,2.7400%#
22,21-<22 mo,26,0,10,100.00%,65.61%,99.83%,96.69%,100.0000%*,67.2408%#,0.00%,2.67%,0.00%,2.7400%#
23,22-<23 mo,16,0,8,100.00%,65.61%,99.82%,96.52%,100.0000%*,67.2408%#,0.00%,2.67%,0.00%,2.7400%#
24,23-<24 mo,8,0,8,+,+,99.89%,96.41%,+,+,+,+,+,+
