Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,104,2,9,97.99%,97.99%,99.79%,99.79%,98.19%,98.19%,1.41%,1.41%,1.41%,1.41%
2,1-<2 mo,93,0,6,100.00%,97.99%,99.81%,99.61%,100.0000%*,98.1944%#,0.00%,1.41%,0.00%,1.4099%#
3,2-<3 mo,87,2,7,97.60%,95.64%,99.83%,99.44%,97.77%,96.19%,1.67%,2.14%,1.68%,2.15%
4,3-<4 mo,78,0,8,100.00%,95.64%,99.83%,99.27%,100.0000%*,96.1853%#,0.00%,2.14%,0.00%,2.1509%#
5,4-<5 mo,70,0,4,100.00%,95.64%,99.85%,99.12%,100.0000%*,96.1853%#,0.00%,2.14%,0.00%,2.1509%#
6,5-<6 mo,66,1,3,98.45%,94.16%,99.86%,98.98%,98.59%,95.13%,1.54%,2.57%,1.54%,2.60%
7,6-<7 mo,62,0,4,100.00%,94.16%,99.86%,98.84%,100.0000%*,95.1322%#,0.00%,2.57%,0.00%,2.5952%#
8,7-<8 mo,58,0,4,100.00%,94.16%,99.86%,98.70%,100.0000%*,95.1322%#,0.00%,2.57%,0.00%,2.5952%#
9,8-<9 mo,54,0,5,100.00%,94.16%,99.86%,98.56%,100.0000%*,95.1322%#,0.00%,2.57%,0.00%,2.5952%#
10,9-<10 mo,49,0,4,100.00%,94.16%,99.86%,98.43%,100.0000%*,95.1322%#,0.00%,2.57%,0.00%,2.5952%#
11,10-<11 mo,45,2,8,95.12%,89.57%,99.86%,98.29%,95.26%,91.13%,3.36%,4.00%,3.37%,4.07%
12,11-<12 mo,35,1,4,96.97%,86.85%,99.86%,98.15%,97.11%,88.49%,2.98%,4.71%,2.99%,4.80%
13,12-<13 mo,30,0,2,100.00%,86.85%,99.85%,98.00%,100.0000%*,88.4925%#,0.00%,4.71%,0.00%,4.7998%#
14,13-<14 mo,28,0,4,100.00%,86.85%,99.85%,97.85%,100.0000%*,88.4925%#,0.00%,4.71%,0.00%,4.7998%#
15,14-<15 mo,24,0,3,100.00%,86.85%,99.87%,97.73%,100.0000%*,88.4925%#,0.00%,4.71%,0.00%,4.7998%#
16,15-<16 mo,21,0,2,100.00%,86.85%,99.88%,97.61%,100.0000%*,88.4925%#,0.00%,4.71%,0.00%,4.7998%#
17,16-<17 mo,19,0,1,100.00%,86.85%,99.88%,97.49%,100.0000%*,88.4925%#,0.00%,4.71%,0.00%,4.7998%#
18,17-<18 mo,18,0,2,100.00%,86.85%,99.88%,97.37%,100.0000%*,88.4925%#,0.00%,4.71%,0.00%,4.7998%#
19,18-<19 mo,16,0,3,100.00%,86.85%,99.86%,97.24%,100.0000%*,88.4925%#,0.00%,4.71%,0.00%,4.7998%#
20,19-<20 mo,13,0,4,100.00%,86.85%,99.88%,97.13%,100.0000%*,88.4925%#,0.00%,4.71%,0.00%,4.7998%#
21,20-<21 mo,9,0,1,100.00%,86.85%,99.94%,97.07%,100.0000%*,88.4925%#,0.00%,4.71%,0.00%,4.7998%#
22,21-<22 mo,8,0,3,100.00%,86.85%,99.95%,97.02%,100.0000%*,88.4925%#,0.00%,4.71%,0.00%,4.7998%#
23,22-<23 mo,5,0,3,100.00%,86.85%,99.94%,96.96%,100.0000%*,88.4925%#,0.00%,4.71%,0.00%,4.7998%#
24,23-<24 mo,2,0,2,+,+,99.91%,96.87%,+,+,+,+,+,+
