Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,74,14,1,80.95%,80.95%,99.75%,99.75%,81.16%,81.16%,4.58%,4.58%,4.59%,4.59%
2,1-<2 mo,59,5,3,91.30%,73.91%,99.84%,99.59%,91.45%,74.22%,3.72%,5.15%,3.72%,5.17%
3,2-<3 mo,51,3,2,94.00%,69.48%,99.88%,99.47%,94.11%,69.85%,3.36%,5.44%,3.36%,5.47%
4,3-<4 mo,46,1,1,97.80%,67.95%,99.90%,99.37%,97.90%,68.38%,2.17%,5.53%,2.18%,5.57%
5,4-<5 mo,44,2,2,95.35%,64.79%,99.90%,99.27%,95.45%,65.27%,3.21%,5.71%,3.21%,5.75%
6,5-<6 mo,40,5,2,87.18%,56.48%,99.89%,99.16%,87.27%,56.96%,5.35%,6.07%,5.36%,6.12%
7,6-<7 mo,33,1,1,96.92%,54.75%,99.91%,99.07%,97.01%,55.26%,3.03%,6.12%,3.03%,6.18%
8,7-<8 mo,31,1,1,96.72%,52.95%,99.91%,98.98%,96.81%,53.50%,3.22%,6.18%,3.23%,6.24%
9,8-<9 mo,29,4,2,85.71%,45.39%,99.91%,98.89%,85.79%,45.90%,6.61%,6.35%,6.62%,6.42%
10,9-<10 mo,23,1,0,95.65%,43.41%,99.90%,98.79%,95.74%,43.94%,4.25%,6.37%,4.26%,6.45%
11,10-<11 mo,22,0,2,100.00%,43.41%,99.91%,98.70%,100.0000%*,43.9445%#,0.00%,6.37%,0.00%,6.4510%#
12,11-<12 mo,20,0,3,100.00%,43.41%,99.90%,98.61%,100.0000%*,43.9445%#,0.00%,6.37%,0.00%,6.4510%#
13,12-<13 mo,17,0,0,100.00%,43.41%,99.89%,98.51%,100.0000%*,43.9445%#,0.00%,6.37%,0.00%,6.4510%#
14,13-<14 mo,17,0,1,100.00%,43.41%,99.89%,98.40%,100.0000%*,43.9445%#,0.00%,6.37%,0.00%,6.4510%#
15,14-<15 mo,16,0,2,100.00%,43.41%,99.89%,98.29%,100.0000%*,43.9445%#,0.00%,6.37%,0.00%,6.4510%#
16,15-<16 mo,14,3,1,77.78%,33.77%,99.88%,98.18%,77.87%,34.39%,11.32%,6.98%,11.33%,7.11%
17,16-<17 mo,10,0,1,100.00%,33.77%,99.90%,98.08%,100.0000%*,34.3918%#,0.00%,6.98%,0.00%,7.1079%#
18,17-<18 mo,9,0,2,100.00%,33.77%,99.92%,98.00%,100.0000%*,34.3918%#,0.00%,6.98%,0.00%,7.1079%#
19,18-<19 mo,7,0,2,100.00%,33.77%,99.93%,97.94%,100.0000%*,34.3918%#,0.00%,6.98%,0.00%,7.1079%#
20,19-<20 mo,5,0,1,100.00%,33.77%,99.95%,97.89%,100.0000%*,34.3918%#,0.00%,6.98%,0.00%,7.1079%#
21,20-<21 mo,4,0,0,100.00%,33.77%,99.95%,97.84%,100.0000%*,34.3918%#,0.00%,6.98%,0.00%,7.1079%#
22,21-<22 mo,4,0,1,100.00%,33.77%,99.95%,97.80%,100.0000%*,34.3918%#,0.00%,6.98%,0.00%,7.1079%#
23,22-<23 mo,3,0,1,100.00%,33.77%,99.99%,97.79%,100.0000%*,34.3918%#,0.00%,6.98%,0.00%,7.1079%#
24,23-<24 mo,2,0,2,+,+,99.99%,97.78%,+,+,+,+,+,+
