Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,282,19,17,93.38%,93.38%,99.76%,99.76%,93.61%,93.61%,1.59%,1.59%,1.59%,1.59%
2,1-<2 mo,246,17,12,93.62%,87.47%,99.76%,99.51%,93.84%,87.88%,1.57%,2.09%,1.58%,2.10%
3,2-<3 mo,217,12,12,95.19%,83.41%,99.79%,99.30%,95.38%,83.94%,1.34%,2.30%,1.34%,2.31%
4,3-<4 mo,193,10,5,95.50%,79.86%,99.79%,99.10%,95.68%,80.50%,1.38%,2.45%,1.38%,2.47%
5,4-<5 mo,178,9,5,95.60%,76.53%,99.80%,98.89%,95.78%,77.27%,1.42%,2.58%,1.43%,2.61%
6,5-<6 mo,164,6,8,96.38%,73.59%,99.80%,98.70%,96.43%,74.39%,1.48%,2.79%,1.48%,2.82%
7,6-<7 mo,150,4,9,97.68%,72.06%,99.80%,98.51%,97.83%,73.03%,1.13%,2.82%,1.13%,2.87%
8,7-<8 mo,137,1,7,99.35%,71.65%,99.80%,98.31%,99.50%,72.70%,0.65%,2.84%,0.65%,2.88%
9,8-<9 mo,129,2,6,98.59%,70.79%,99.80%,98.12%,98.74%,71.90%,0.98%,2.86%,0.99%,2.91%
10,9-<10 mo,121,2,9,98.45%,69.86%,99.80%,97.93%,98.60%,71.04%,1.08%,2.89%,1.08%,2.95%
11,10-<11 mo,110,3,10,97.55%,68.37%,99.80%,97.73%,97.73%,69.70%,1.40%,2.94%,1.40%,3.01%
12,11-<12 mo,97,2,10,97.18%,66.02%,99.79%,97.53%,97.22%,67.43%,2.12%,3.39%,2.12%,3.46%
13,12-<13 mo,85,2,8,97.67%,64.74%,99.76%,97.30%,97.84%,66.28%,1.61%,3.45%,1.61%,3.53%
14,13-<14 mo,75,4,10,94.90%,61.92%,99.76%,97.07%,95.11%,63.49%,2.45%,3.57%,2.46%,3.67%
15,14-<15 mo,61,1,7,98.69%,61.08%,99.77%,96.85%,98.72%,62.66%,1.28%,3.63%,1.28%,3.73%
16,15-<16 mo,53,2,3,97.10%,59.32%,99.77%,96.63%,97.13%,60.89%,1.94%,3.73%,1.95%,3.84%
17,16-<17 mo,48,3,8,92.04%,54.30%,99.78%,96.42%,92.21%,56.03%,4.45%,4.62%,4.46%,4.75%
18,17-<18 mo,37,1,6,97.96%,53.19%,99.77%,96.21%,97.99%,54.93%,1.97%,4.68%,1.97%,4.81%
19,18-<19 mo,30,1,6,96.50%,51.69%,99.77%,95.99%,96.67%,53.49%,3.36%,4.80%,3.37%,4.96%
20,19-<20 mo,23,1,4,95.14%,49.79%,99.78%,95.78%,95.29%,51.50%,4.58%,4.98%,4.60%,5.17%
21,20-<21 mo,18,0,4,100.00%,49.79%,99.79%,95.59%,100.00%,51.50%,0.00%,4.98%,0.00%,5.17%
22,21-<22 mo,14,0,4,100.00%,49.79%,99.80%,95.40%,100.00%,51.50%,0.00%,4.98%,0.00%,5.17%
23,22-<23 mo,10,0,6,+,+,99.81%,95.23%,+,+,+,+,+,+
