Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,282,19,17,93.05%,93.05%,99.71%,99.71%,93.32%,93.32%,1.54%,1.54%,1.54%,1.54%
2,1-<2 mo,246,17,12,92.92%,86.46%,99.72%,99.43%,93.18%,86.96%,1.66%,2.10%,1.66%,2.11%
3,2-<3 mo,217,12,12,94.31%,81.54%,99.76%,99.18%,94.54%,82.21%,1.59%,2.41%,1.60%,2.43%
4,3-<4 mo,193,10,5,94.75%,77.26%,99.77%,98.96%,94.97%,78.08%,1.62%,2.64%,1.62%,2.67%
5,4-<5 mo,178,9,5,94.87%,73.30%,99.78%,98.73%,95.09%,74.24%,1.67%,2.82%,1.67%,2.85%
6,5-<6 mo,164,6,8,96.25%,70.55%,99.78%,98.52%,96.46%,71.61%,1.50%,2.92%,1.51%,2.97%
7,6-<7 mo,150,4,9,97.25%,68.61%,99.78%,98.30%,97.47%,69.80%,1.36%,3.00%,1.36%,3.05%
8,7-<8 mo,137,1,7,99.25%,68.10%,99.78%,98.08%,99.47%,69.43%,0.75%,3.02%,0.75%,3.08%
9,8-<9 mo,129,2,6,98.41%,67.02%,99.78%,97.87%,98.63%,68.48%,1.11%,3.07%,1.12%,3.14%
10,9-<10 mo,121,2,9,98.28%,65.87%,99.78%,97.66%,98.50%,67.45%,1.20%,3.12%,1.21%,3.20%
11,10-<11 mo,110,3,10,97.14%,63.99%,99.78%,97.44%,97.36%,65.66%,1.63%,3.22%,1.63%,3.30%
12,11-<12 mo,97,2,10,97.83%,62.59%,99.77%,97.22%,98.05%,64.38%,1.52%,3.29%,1.52%,3.39%
13,12-<13 mo,85,2,8,97.53%,61.05%,99.75%,96.98%,97.78%,62.95%,1.72%,3.39%,1.73%,3.49%
14,13-<14 mo,75,4,10,94.29%,57.56%,99.74%,96.73%,94.53%,59.51%,2.77%,3.62%,2.78%,3.74%
15,14-<15 mo,61,1,7,98.26%,56.56%,99.75%,96.49%,98.51%,58.62%,1.72%,3.69%,1.73%,3.82%
16,15-<16 mo,53,2,3,96.12%,54.36%,99.74%,96.23%,96.37%,56.49%,2.69%,3.86%,2.70%,4.01%
17,16-<17 mo,48,3,8,93.18%,50.66%,99.76%,96.01%,93.40%,52.76%,3.80%,4.15%,3.81%,4.32%
18,17-<18 mo,37,1,6,97.06%,49.17%,99.78%,95.79%,97.28%,51.33%,2.90%,4.28%,2.90%,4.47%
19,18-<19 mo,30,1,6,96.30%,47.35%,99.75%,95.55%,96.54%,49.55%,3.63%,4.50%,3.64%,4.71%
20,19-<20 mo,23,1,4,95.24%,45.09%,99.77%,95.34%,95.45%,47.30%,4.65%,4.81%,4.66%,5.05%
21,20-<21 mo,18,0,4,100.00%,45.09%,99.80%,95.15%,100.0000%*,47.2968%#,0.00%,4.81%,0.00%,5.0498%#
22,21-<22 mo,14,0,4,100.00%,45.09%,99.79%,94.94%,100.0000%*,47.2968%#,0.00%,4.81%,0.00%,5.0498%#
23,22-<23 mo,10,0,6,100.00%,45.09%,99.82%,94.77%,100.0000%*,47.2968%#,0.00%,4.81%,0.00%,5.0498%#
24,23-<24 mo,4,0,4,+,+,99.78%,94.57%,+,+,+,+,+,+
