Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"13,979","1,852",579,86.97%,86.97%,99.77%,99.77%,87.16%,87.16%,0.28%,0.28%,0.28%,0.28%
2,1-<2 mo,"11,548","1,325",455,88.41%,77.11%,99.79%,99.56%,88.60%,77.43%,0.30%,0.35%,0.30%,0.36%
3,2-<3 mo,"9,768",832,450,91.25%,70.55%,99.80%,99.35%,91.44%,70.97%,0.29%,0.39%,0.29%,0.39%
4,3-<4 mo,"8,486",574,382,92.98%,65.74%,99.80%,99.15%,93.17%,66.24%,0.28%,0.41%,0.28%,0.41%
5,4-<5 mo,"7,530",455,394,93.67%,61.77%,99.80%,98.96%,93.85%,62.35%,0.29%,0.42%,0.29%,0.43%
6,5-<6 mo,"6,681",378,381,94.08%,58.24%,99.81%,98.77%,94.26%,58.87%,0.30%,0.44%,0.30%,0.44%
7,6-<7 mo,"5,922",323,333,94.29%,55.09%,99.81%,98.58%,94.47%,55.77%,0.31%,0.45%,0.31%,0.45%
8,7-<8 mo,"5,266",265,315,94.66%,52.30%,99.81%,98.40%,94.83%,53.03%,0.32%,0.46%,0.32%,0.46%
9,8-<9 mo,"4,686",241,339,94.59%,49.62%,99.82%,98.22%,94.76%,50.38%,0.34%,0.46%,0.34%,0.47%
10,9-<10 mo,"4,106",201,271,94.91%,47.14%,99.82%,98.05%,95.09%,47.94%,0.35%,0.47%,0.35%,0.48%
11,10-<11 mo,"3,634",163,266,95.17%,44.97%,99.82%,97.87%,95.34%,45.79%,0.37%,0.48%,0.37%,0.49%
12,11-<12 mo,"3,205",161,252,94.65%,42.60%,99.82%,97.70%,94.82%,43.44%,0.42%,0.49%,0.42%,0.50%
13,12-<13 mo,"2,792",142,213,94.54%,40.38%,99.80%,97.51%,94.72%,41.24%,0.45%,0.50%,0.45%,0.51%
14,13-<14 mo,"2,437",116,242,94.88%,38.43%,99.80%,97.32%,95.06%,39.31%,0.47%,0.51%,0.47%,0.52%
15,14-<15 mo,"2,079",99,221,94.88%,36.50%,99.80%,97.13%,95.06%,37.38%,0.51%,0.52%,0.51%,0.53%
16,15-<16 mo,"1,759",75,181,95.35%,34.93%,99.80%,96.94%,95.54%,35.83%,0.53%,0.53%,0.53%,0.54%
17,16-<17 mo,"1,503",61,209,95.26%,33.45%,99.80%,96.75%,95.45%,34.35%,0.60%,0.54%,0.60%,0.55%
18,17-<18 mo,"1,233",50,163,95.65%,32.01%,99.80%,96.56%,95.84%,32.92%,0.62%,0.55%,0.62%,0.57%
19,18-<19 mo,"1,020",44,160,95.51%,30.50%,99.80%,96.37%,95.70%,31.43%,0.68%,0.57%,0.68%,0.59%
20,19-<20 mo,816,30,156,95.89%,29.23%,99.80%,96.18%,96.09%,30.17%,0.75%,0.59%,0.75%,0.61%
21,20-<21 mo,630,28,166,94.62%,27.79%,99.79%,95.99%,94.81%,28.72%,1.01%,0.63%,1.01%,0.65%
22,21-<22 mo,436,23,161,93.05%,26.03%,99.80%,95.79%,93.24%,26.93%,1.41%,0.69%,1.41%,0.71%
23,22-<23 mo,252,11,142,93.77%,24.60%,99.80%,95.60%,93.95%,25.47%,1.87%,0.77%,1.87%,0.80%
24,23-<24 mo,99,3,96,+,+,99.78%,95.40%,+,+,+,+,+,+
