Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"10,306",184,387,97.54%,97.54%,99.78%,99.78%,97.75%,97.75%,0.19%,0.19%,0.19%,0.19%
2,1-<2 mo,"9,735",148,395,97.96%,95.56%,99.78%,99.56%,98.17%,95.98%,0.18%,0.25%,0.18%,0.25%
3,2-<3 mo,"9,192",132,470,98.08%,93.75%,99.78%,99.34%,98.29%,94.35%,0.18%,0.30%,0.18%,0.30%
4,3-<4 mo,"8,590",95,418,98.42%,92.30%,99.78%,99.13%,98.63%,93.08%,0.17%,0.33%,0.17%,0.33%
5,4-<5 mo,"8,077",75,446,98.74%,91.16%,99.79%,98.92%,98.95%,92.12%,0.16%,0.35%,0.16%,0.36%
6,5-<6 mo,"7,556",65,423,98.83%,90.12%,99.79%,98.71%,99.04%,91.26%,0.16%,0.37%,0.16%,0.38%
7,6-<7 mo,"7,068",64,403,98.69%,88.99%,99.79%,98.51%,98.90%,90.28%,0.18%,0.40%,0.18%,0.41%
8,7-<8 mo,"6,601",52,406,98.92%,88.06%,99.79%,98.30%,99.13%,89.51%,0.16%,0.41%,0.16%,0.43%
9,8-<9 mo,"6,143",41,434,99.12%,87.31%,99.79%,98.10%,99.33%,88.92%,0.15%,0.43%,0.15%,0.44%
10,9-<10 mo,"5,668",48,393,98.87%,86.36%,99.79%,97.90%,99.07%,88.12%,0.18%,0.45%,0.18%,0.46%
11,10-<11 mo,"5,227",37,430,99.08%,85.59%,99.80%,97.70%,99.28%,87.50%,0.17%,0.46%,0.17%,0.48%
12,11-<12 mo,"4,760",46,404,98.62%,84.47%,99.80%,97.51%,98.82%,86.51%,0.22%,0.49%,0.23%,0.51%
13,12-<13 mo,"4,310",34,316,99.10%,83.72%,99.78%,97.29%,99.32%,85.91%,0.18%,0.50%,0.18%,0.52%
14,13-<14 mo,"3,960",28,395,98.97%,82.90%,99.78%,97.08%,99.19%,85.24%,0.21%,0.52%,0.21%,0.55%
15,14-<15 mo,"3,537",27,395,98.93%,82.06%,99.78%,96.87%,99.15%,84.55%,0.23%,0.54%,0.23%,0.57%
16,15-<16 mo,"3,115",24,332,98.96%,81.25%,99.78%,96.66%,99.18%,83.87%,0.24%,0.56%,0.24%,0.59%
17,16-<17 mo,"2,759",13,366,99.30%,80.72%,99.78%,96.46%,99.52%,83.48%,0.21%,0.58%,0.21%,0.61%
18,17-<18 mo,"2,380",23,310,98.88%,79.83%,99.78%,96.25%,99.09%,82.73%,0.27%,0.61%,0.27%,0.64%
19,18-<19 mo,"2,047",20,358,98.77%,78.87%,99.79%,96.05%,98.98%,81.89%,0.31%,0.64%,0.31%,0.68%
20,19-<20 mo,"1,669",11,359,99.20%,78.25%,99.79%,95.86%,99.40%,81.40%,0.28%,0.67%,0.28%,0.71%
21,20-<21 mo,"1,299",9,328,99.18%,77.61%,99.79%,95.66%,99.39%,80.90%,0.31%,0.70%,0.31%,0.75%
22,21-<22 mo,962,8,313,99.15%,76.93%,99.78%,95.46%,99.36%,80.35%,0.35%,0.74%,0.35%,0.80%
23,22-<23 mo,641,5,337,97.98%,75.55%,99.79%,95.26%,98.17%,79.00%,0.92%,0.95%,0.92%,1.03%
24,23-<24 mo,299,0,299,+,+,99.79%,95.06%,+,+,+,+,+,+
