Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"7,805",232,352,96.11%,96.11%,99.77%,99.77%,96.32%,96.32%,0.26%,0.26%,0.26%,0.26%
2,1-<2 mo,"7,221",156,337,97.37%,93.60%,99.78%,99.55%,97.58%,94.01%,0.22%,0.32%,0.22%,0.32%
3,2-<3 mo,"6,728",104,338,98.06%,91.82%,99.78%,99.34%,98.27%,92.41%,0.20%,0.36%,0.20%,0.37%
4,3-<4 mo,"6,286",73,321,98.53%,90.50%,99.79%,99.13%,98.73%,91.27%,0.18%,0.39%,0.18%,0.39%
5,4-<5 mo,"5,892",60,308,98.83%,89.46%,99.79%,98.92%,99.04%,90.40%,0.16%,0.41%,0.16%,0.42%
6,5-<6 mo,"5,524",50,287,98.84%,88.44%,99.79%,98.71%,99.05%,89.55%,0.17%,0.43%,0.17%,0.44%
7,6-<7 mo,"5,187",44,335,98.94%,87.53%,99.79%,98.50%,99.15%,88.80%,0.17%,0.45%,0.17%,0.46%
8,7-<8 mo,"4,808",39,306,99.08%,86.74%,99.79%,98.30%,99.29%,88.17%,0.16%,0.46%,0.16%,0.47%
9,8-<9 mo,"4,463",37,295,98.94%,85.86%,99.79%,98.10%,99.15%,87.44%,0.19%,0.48%,0.19%,0.49%
10,9-<10 mo,"4,131",37,281,98.94%,84.97%,99.80%,97.90%,99.14%,86.70%,0.19%,0.50%,0.19%,0.51%
11,10-<11 mo,"3,813",23,289,99.23%,84.34%,99.80%,97.70%,99.43%,86.23%,0.17%,0.51%,0.17%,0.53%
12,11-<12 mo,"3,501",26,282,99.11%,83.61%,99.80%,97.51%,99.31%,85.64%,0.19%,0.53%,0.19%,0.55%
13,12-<13 mo,"3,193",20,242,99.29%,83.03%,99.78%,97.29%,99.52%,85.22%,0.17%,0.54%,0.17%,0.56%
14,13-<14 mo,"2,931",28,315,98.95%,82.17%,99.78%,97.08%,99.17%,84.51%,0.22%,0.56%,0.22%,0.59%
15,14-<15 mo,"2,588",20,273,99.03%,81.41%,99.78%,96.87%,99.24%,83.89%,0.23%,0.58%,0.23%,0.61%
16,15-<16 mo,"2,295",18,251,99.05%,80.65%,99.79%,96.67%,99.27%,83.28%,0.24%,0.61%,0.24%,0.64%
17,16-<17 mo,"2,026",25,296,98.56%,79.51%,99.79%,96.47%,98.77%,82.25%,0.31%,0.64%,0.31%,0.68%
18,17-<18 mo,"1,705",15,230,99.05%,78.75%,99.79%,96.27%,99.26%,81.64%,0.27%,0.67%,0.27%,0.71%
19,18-<19 mo,"1,460",13,252,99.00%,77.96%,99.79%,96.08%,99.21%,80.98%,0.29%,0.70%,0.30%,0.74%
20,19-<20 mo,"1,195",9,250,99.03%,77.23%,99.79%,95.88%,99.23%,80.37%,0.35%,0.74%,0.35%,0.78%
21,20-<21 mo,936,3,230,99.64%,76.96%,99.80%,95.69%,99.81%,80.21%,0.23%,0.75%,0.23%,0.80%
22,21-<22 mo,703,4,231,99.21%,76.38%,99.80%,95.51%,99.38%,79.72%,0.43%,0.80%,0.43%,0.86%
23,22-<23 mo,468,3,257,98.84%,75.57%,99.79%,95.31%,99.01%,78.98%,0.70%,0.93%,0.70%,0.99%
24,23-<24 mo,208,0,208,+,+,99.78%,95.11%,+,+,+,+,+,+
