Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"17,690",85,630,99.45%,99.45%,99.76%,99.76%,99.69%,99.69%,0.06%,0.06%,0.06%,0.06%
2,1-<2 mo,"16,975",98,797,99.32%,98.77%,99.76%,99.51%,99.56%,99.26%,0.07%,0.09%,0.07%,0.09%
3,2-<3 mo,"16,080",77,842,99.44%,98.22%,99.76%,99.27%,99.68%,98.94%,0.07%,0.11%,0.07%,0.11%
4,3-<4 mo,"15,161",77,786,99.39%,97.62%,99.76%,99.03%,99.63%,98.57%,0.07%,0.13%,0.07%,0.13%
5,4-<5 mo,"14,298",62,795,99.50%,97.13%,99.76%,98.80%,99.74%,98.31%,0.07%,0.14%,0.07%,0.15%
6,5-<6 mo,"13,441",44,769,99.62%,96.77%,99.76%,98.56%,99.86%,98.17%,0.06%,0.15%,0.06%,0.16%
7,6-<7 mo,"12,628",53,751,99.49%,96.28%,99.76%,98.33%,99.73%,97.91%,0.07%,0.17%,0.07%,0.17%
8,7-<8 mo,"11,824",48,746,99.52%,95.82%,99.76%,98.10%,99.76%,97.67%,0.07%,0.18%,0.07%,0.19%
9,8-<9 mo,"11,030",63,790,99.31%,95.16%,99.76%,97.87%,99.54%,97.23%,0.09%,0.20%,0.09%,0.20%
10,9-<10 mo,"10,177",33,723,99.60%,94.79%,99.76%,97.64%,99.84%,97.07%,0.07%,0.21%,0.07%,0.21%
11,10-<11 mo,"9,421",33,666,99.59%,94.40%,99.76%,97.41%,99.81%,96.88%,0.07%,0.22%,0.07%,0.23%
12,11-<12 mo,"8,722",22,666,99.71%,94.13%,99.76%,97.19%,99.93%,96.82%,0.06%,0.22%,0.06%,0.23%
13,12-<13 mo,"8,034",35,591,99.44%,93.62%,99.74%,96.94%,99.70%,96.55%,0.10%,0.24%,0.10%,0.25%
14,13-<14 mo,"7,408",25,688,99.58%,93.23%,99.74%,96.69%,99.84%,96.40%,0.09%,0.25%,0.09%,0.26%
15,14-<15 mo,"6,695",16,642,99.68%,92.93%,99.74%,96.45%,99.93%,96.34%,0.08%,0.26%,0.08%,0.28%
16,15-<16 mo,"6,037",22,625,99.57%,92.54%,99.74%,96.20%,99.83%,96.17%,0.10%,0.27%,0.10%,0.29%
17,16-<17 mo,"5,390",18,763,99.60%,92.17%,99.74%,95.96%,99.86%,96.04%,0.10%,0.29%,0.10%,0.31%
18,17-<18 mo,"4,609",13,720,99.62%,91.83%,99.74%,95.71%,99.88%,95.92%,0.11%,0.30%,0.11%,0.32%
19,18-<19 mo,"3,876",11,733,99.62%,91.49%,99.74%,95.47%,99.85%,95.77%,0.12%,0.32%,0.12%,0.34%
20,19-<20 mo,"3,132",9,695,99.62%,91.16%,99.75%,95.24%,99.88%,95.68%,0.13%,0.34%,0.13%,0.36%
21,20-<21 mo,"2,428",5,655,99.77%,90.94%,99.75%,95.00%,99.88%,95.57%,0.11%,0.35%,0.11%,0.37%
22,21-<22 mo,"1,768",7,626,99.47%,90.46%,99.75%,94.77%,99.72%,95.38%,0.21%,0.39%,0.21%,0.39%
23,22-<23 mo,"1,135",3,623,99.49%,90.03%,99.74%,94.54%,99.70%,95.16%,0.29%,0.46%,0.30%,0.51%
24,23-<24 mo,509,0,509,+,+,99.75%,94.30%,+,+,+,+,+,+
