Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"2,629",87,95,96.63%,96.63%,99.82%,99.82%,96.81%,96.81%,0.36%,0.36%,0.36%,0.36%
2,1-<2 mo,"2,447",50,113,97.91%,94.61%,99.83%,99.65%,98.08%,94.95%,0.29%,0.45%,0.29%,0.45%
3,2-<3 mo,"2,284",51,125,97.70%,92.44%,99.83%,99.48%,97.87%,92.92%,0.32%,0.53%,0.32%,0.53%
4,3-<4 mo,"2,108",39,103,98.10%,90.68%,99.83%,99.31%,98.27%,91.32%,0.30%,0.59%,0.30%,0.59%
5,4-<5 mo,"1,966",24,99,98.75%,89.55%,99.83%,99.14%,98.91%,90.32%,0.25%,0.63%,0.25%,0.63%
6,5-<6 mo,"1,843",28,89,98.44%,88.15%,99.84%,98.98%,98.60%,89.06%,0.29%,0.67%,0.29%,0.68%
7,6-<7 mo,"1,726",21,92,98.75%,87.05%,99.84%,98.82%,98.91%,88.09%,0.27%,0.70%,0.27%,0.71%
8,7-<8 mo,"1,613",9,96,99.42%,86.55%,99.84%,98.67%,99.58%,87.72%,0.19%,0.72%,0.19%,0.73%
9,8-<9 mo,"1,508",12,104,99.18%,85.84%,99.84%,98.51%,99.33%,87.14%,0.24%,0.74%,0.24%,0.75%
10,9-<10 mo,"1,392",10,101,99.25%,85.20%,99.84%,98.35%,99.41%,86.62%,0.23%,0.76%,0.24%,0.78%
11,10-<11 mo,"1,281",17,83,98.63%,84.03%,99.84%,98.20%,98.79%,85.57%,0.33%,0.80%,0.33%,0.82%
12,11-<12 mo,"1,181",6,110,99.47%,83.58%,99.84%,98.04%,99.62%,85.25%,0.22%,0.82%,0.22%,0.84%
13,12-<13 mo,"1,065",6,88,99.41%,83.09%,99.83%,97.88%,99.58%,84.89%,0.24%,0.84%,0.24%,0.86%
14,13-<14 mo,971,7,96,99.24%,82.46%,99.83%,97.71%,99.41%,84.40%,0.29%,0.87%,0.29%,0.89%
15,14-<15 mo,868,8,93,99.03%,81.66%,99.83%,97.54%,99.20%,83.72%,0.34%,0.90%,0.34%,0.93%
16,15-<16 mo,767,6,86,99.17%,80.98%,99.83%,97.37%,99.34%,83.17%,0.34%,0.94%,0.34%,0.96%
17,16-<17 mo,675,3,110,99.52%,80.59%,99.83%,97.20%,99.68%,82.91%,0.28%,0.96%,0.28%,0.99%
18,17-<18 mo,562,1,76,99.81%,80.44%,99.82%,97.03%,99.99%,82.90%,0.19%,0.97%,0.19%,1.00%
19,18-<19 mo,485,5,72,98.89%,79.54%,99.82%,96.86%,99.06%,82.12%,0.50%,1.04%,0.50%,1.07%
20,19-<20 mo,408,1,81,99.73%,79.32%,99.81%,96.68%,99.92%,82.05%,0.27%,1.06%,0.27%,1.09%
21,20-<21 mo,326,2,89,99.29%,78.76%,99.82%,96.50%,99.47%,81.61%,0.50%,1.12%,0.50%,1.16%
22,21-<22 mo,235,1,81,99.49%,78.35%,99.82%,96.33%,99.67%,81.34%,0.51%,1.19%,0.51%,1.23%
23,22-<23 mo,153,0,89,100.00%,78.35%,99.84%,96.18%,100.0000%*,81.3427%#,0.00%,1.19%,0.00%,1.2334%#
24,23-<24 mo,64,0,64,+,+,99.87%,96.05%,+,+,+,+,+,+
