Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,796,35,41,95.49%,95.49%,99.77%,99.77%,95.71%,95.71%,0.75%,0.75%,0.75%,0.75%
2,1-<2 mo,720,20,30,97.16%,92.78%,99.77%,99.54%,97.38%,93.21%,0.63%,0.94%,0.63%,0.94%
3,2-<3 mo,670,13,42,98.00%,90.92%,99.78%,99.33%,98.21%,91.54%,0.55%,1.05%,0.55%,1.06%
4,3-<4 mo,615,11,38,98.15%,89.24%,99.78%,99.11%,98.37%,90.05%,0.55%,1.15%,0.55%,1.16%
5,4-<5 mo,566,10,31,98.18%,87.62%,99.78%,98.89%,98.40%,88.61%,0.57%,1.24%,0.57%,1.25%
6,5-<6 mo,525,7,26,98.63%,86.42%,99.77%,98.66%,98.86%,87.59%,0.51%,1.30%,0.51%,1.32%
7,6-<7 mo,492,7,29,98.53%,85.16%,99.78%,98.45%,98.75%,86.49%,0.55%,1.37%,0.55%,1.39%
8,7-<8 mo,456,6,26,98.65%,84.00%,99.80%,98.26%,98.84%,85.49%,0.55%,1.43%,0.55%,1.45%
9,8-<9 mo,424,5,34,98.77%,82.97%,99.80%,98.06%,98.97%,84.61%,0.55%,1.48%,0.55%,1.51%
10,9-<10 mo,385,0,24,100.00%,82.97%,99.80%,97.87%,100.0000%*,84.6113%#,0.00%,1.48%,0.00%,1.5107%#
11,10-<11 mo,361,3,26,99.14%,82.25%,99.80%,97.67%,99.34%,84.22%,0.50%,1.53%,0.50%,1.56%
12,11-<12 mo,332,2,24,99.38%,81.74%,99.81%,97.49%,99.57%,83.85%,0.44%,1.56%,0.44%,1.60%
13,12-<13 mo,306,1,25,99.66%,81.46%,99.79%,97.28%,99.87%,83.74%,0.34%,1.58%,0.34%,1.62%
14,13-<14 mo,280,1,26,99.63%,81.16%,99.79%,97.08%,99.83%,83.60%,0.37%,1.60%,0.37%,1.65%
15,14-<15 mo,253,0,25,100.00%,81.16%,99.79%,96.88%,100.0000%*,83.6014%#,0.00%,1.60%,0.00%,1.6492%#
16,15-<16 mo,228,1,24,99.54%,80.78%,99.79%,96.67%,99.74%,83.56%,0.46%,1.64%,0.46%,1.69%
17,16-<17 mo,203,3,28,98.41%,79.50%,99.81%,96.49%,98.60%,82.39%,0.91%,1.77%,0.91%,1.84%
18,17-<18 mo,172,4,20,97.53%,77.54%,99.81%,96.30%,97.72%,80.51%,1.22%,1.98%,1.22%,2.06%
19,18-<19 mo,148,2,25,98.52%,76.39%,99.81%,96.12%,98.71%,79.48%,1.04%,2.11%,1.04%,2.20%
20,19-<20 mo,121,0,26,100.00%,76.39%,99.80%,95.93%,100.0000%*,79.4750%#,0.00%,2.11%,0.00%,2.1951%#
21,20-<21 mo,95,0,25,100.00%,76.39%,99.79%,95.73%,100.0000%*,79.4750%#,0.00%,2.11%,0.00%,2.1951%#
22,21-<22 mo,70,0,14,100.00%,76.39%,99.78%,95.52%,100.0000%*,79.4750%#,0.00%,2.11%,0.00%,2.1951%#
23,22-<23 mo,56,0,30,100.00%,76.39%,99.76%,95.29%,100.0000%*,79.4750%#,0.00%,2.11%,0.00%,2.1951%#
24,23-<24 mo,26,0,26,+,+,99.79%,95.09%,+,+,+,+,+,+
