Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"7,352",463,325,93.38%,93.38%,99.77%,99.77%,93.59%,93.59%,0.30%,0.30%,0.30%,0.30%
2,1-<2 mo,"6,564",382,275,93.90%,87.72%,99.78%,99.55%,94.10%,88.10%,0.30%,0.39%,0.30%,0.40%
3,2-<3 mo,"5,907",281,271,94.95%,83.34%,99.78%,99.33%,95.15%,83.88%,0.29%,0.45%,0.30%,0.45%
4,3-<4 mo,"5,355",187,242,96.31%,80.31%,99.78%,99.11%,96.52%,81.00%,0.27%,0.48%,0.27%,0.49%
5,4-<5 mo,"4,926",156,255,96.58%,77.63%,99.79%,98.91%,96.78%,78.44%,0.27%,0.51%,0.27%,0.52%
6,5-<6 mo,"4,515",138,239,96.76%,75.16%,99.79%,98.70%,96.96%,76.09%,0.27%,0.54%,0.28%,0.54%
7,6-<7 mo,"4,138",116,254,97.03%,72.95%,99.80%,98.50%,97.22%,74.00%,0.28%,0.56%,0.28%,0.57%
8,7-<8 mo,"3,768",116,218,96.82%,70.64%,99.80%,98.30%,97.01%,71.78%,0.29%,0.58%,0.30%,0.59%
9,8-<9 mo,"3,434",107,243,96.72%,68.34%,99.80%,98.11%,96.91%,69.57%,0.32%,0.60%,0.32%,0.62%
10,9-<10 mo,"3,084",94,196,96.88%,66.19%,99.80%,97.92%,97.07%,67.52%,0.32%,0.62%,0.32%,0.64%
11,10-<11 mo,"2,794",58,205,97.78%,64.75%,99.80%,97.72%,97.97%,66.16%,0.29%,0.64%,0.29%,0.65%
12,11-<12 mo,"2,531",71,192,97.10%,62.86%,99.80%,97.53%,97.29%,64.36%,0.34%,0.66%,0.35%,0.68%
13,12-<13 mo,"2,268",56,183,97.40%,61.24%,99.78%,97.32%,97.61%,62.82%,0.35%,0.67%,0.35%,0.70%
14,13-<14 mo,"2,029",70,182,96.48%,59.05%,99.79%,97.12%,96.69%,60.71%,0.42%,0.70%,0.42%,0.72%
15,14-<15 mo,"1,777",39,192,97.74%,57.70%,99.79%,96.92%,97.95%,59.44%,0.36%,0.72%,0.36%,0.74%
16,15-<16 mo,"1,546",45,169,97.03%,55.94%,99.79%,96.72%,97.23%,57.76%,0.44%,0.74%,0.44%,0.77%
17,16-<17 mo,"1,332",36,173,97.14%,54.33%,99.79%,96.52%,97.34%,56.22%,0.48%,0.77%,0.48%,0.80%
18,17-<18 mo,"1,123",26,161,97.55%,52.99%,99.79%,96.33%,97.75%,54.94%,0.48%,0.79%,0.48%,0.83%
19,18-<19 mo,936,18,151,97.93%,51.89%,99.79%,96.13%,98.13%,53.91%,0.49%,0.82%,0.49%,0.85%
20,19-<20 mo,767,12,163,98.18%,50.96%,99.80%,95.94%,98.38%,53.04%,0.53%,0.85%,0.53%,0.88%
21,20-<21 mo,592,14,148,97.50%,49.65%,99.80%,95.75%,97.70%,51.80%,0.66%,0.90%,0.66%,0.94%
22,21-<22 mo,430,7,151,98.14%,48.67%,99.80%,95.56%,98.34%,50.89%,0.70%,0.95%,0.70%,1.00%
23,22-<23 mo,272,3,149,98.69%,48.00%,99.79%,95.36%,98.73%,50.24%,0.75%,1.01%,0.75%,1.06%
24,23-<24 mo,120,2,118,+,+,99.78%,95.16%,+,+,+,+,+,+
