Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"7,352",463,325,93.56%,93.56%,99.78%,99.78%,93.76%,93.76%,0.29%,0.29%,0.29%,0.29%
2,1-<2 mo,"6,564",382,275,94.06%,88.00%,99.79%,99.58%,94.25%,88.37%,0.30%,0.39%,0.30%,0.39%
3,2-<3 mo,"5,907",281,271,95.13%,83.71%,99.80%,99.38%,95.32%,84.24%,0.28%,0.45%,0.28%,0.45%
4,3-<4 mo,"5,355",187,242,96.43%,80.72%,99.81%,99.19%,96.62%,81.39%,0.26%,0.48%,0.26%,0.48%
5,4-<5 mo,"4,926",156,255,96.75%,78.10%,99.81%,99.00%,96.93%,78.89%,0.26%,0.51%,0.26%,0.51%
6,5-<6 mo,"4,515",138,239,96.86%,75.65%,99.82%,98.82%,97.04%,76.55%,0.26%,0.53%,0.26%,0.54%
7,6-<7 mo,"4,138",116,254,97.11%,73.46%,99.82%,98.64%,97.28%,74.47%,0.26%,0.56%,0.27%,0.56%
8,7-<8 mo,"3,768",116,218,96.83%,71.13%,99.82%,98.46%,97.00%,72.24%,0.29%,0.58%,0.29%,0.59%
9,8-<9 mo,"3,434",107,243,96.77%,68.83%,99.83%,98.29%,96.94%,70.03%,0.31%,0.60%,0.31%,0.61%
10,9-<10 mo,"3,084",94,196,96.85%,66.67%,99.83%,98.12%,97.02%,67.94%,0.32%,0.62%,0.32%,0.63%
11,10-<11 mo,"2,794",58,205,97.85%,65.23%,99.83%,97.95%,98.02%,66.60%,0.28%,0.64%,0.28%,0.65%
12,11-<12 mo,"2,531",71,192,97.08%,63.33%,99.83%,97.78%,97.25%,64.77%,0.34%,0.66%,0.34%,0.67%
13,12-<13 mo,"2,268",56,183,97.43%,61.70%,99.81%,97.59%,97.61%,63.22%,0.34%,0.68%,0.34%,0.69%
14,13-<14 mo,"2,029",70,182,96.39%,59.47%,99.81%,97.41%,96.57%,61.05%,0.42%,0.70%,0.42%,0.72%
15,14-<15 mo,"1,777",39,192,97.68%,58.09%,99.81%,97.23%,97.86%,59.75%,0.37%,0.72%,0.37%,0.74%
16,15-<16 mo,"1,546",45,169,96.92%,56.30%,99.81%,97.05%,97.10%,58.02%,0.45%,0.74%,0.45%,0.77%
17,16-<17 mo,"1,332",36,173,97.11%,54.67%,99.81%,96.86%,97.29%,56.44%,0.47%,0.77%,0.48%,0.80%
18,17-<18 mo,"1,123",26,161,97.51%,53.31%,99.82%,96.69%,97.69%,55.14%,0.48%,0.80%,0.48%,0.82%
19,18-<19 mo,936,18,151,97.91%,52.20%,99.81%,96.51%,98.09%,54.08%,0.49%,0.82%,0.49%,0.85%
20,19-<20 mo,767,12,163,98.25%,51.28%,99.82%,96.33%,98.43%,53.24%,0.50%,0.85%,0.50%,0.88%
21,20-<21 mo,592,14,148,97.30%,49.90%,99.82%,96.15%,97.47%,51.89%,0.71%,0.90%,0.71%,0.94%
22,21-<22 mo,430,7,151,98.03%,48.91%,99.82%,95.98%,98.20%,50.96%,0.74%,0.96%,0.74%,1.00%
23,22-<23 mo,272,3,149,98.48%,48.17%,99.82%,95.81%,98.66%,50.28%,0.87%,1.04%,0.87%,1.08%
24,23-<24 mo,120,2,118,+,+,99.80%,95.62%,+,+,+,+,+,+
