Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"3,191",12,150,98.46%,98.46%,99.75%,99.75%,98.67%,98.67%,1.41%,1.41%,1.42%,1.42%
2,1-<2 mo,"3,029",9,126,97.48%,95.99%,99.80%,99.56%,97.68%,96.41%,1.60%,2.06%,1.60%,2.08%
3,2-<3 mo,"2,894",6,163,99.26%,95.28%,99.79%,99.35%,99.29%,95.73%,0.49%,2.11%,0.49%,2.13%
4,3-<4 mo,"2,725",6,143,97.51%,92.94%,99.79%,99.15%,97.71%,93.72%,1.74%,2.60%,1.74%,2.64%
5,4-<5 mo,"2,576",5,151,99.94%,92.88%,99.79%,98.94%,99.95%,93.67%,0.03%,2.60%,0.03%,2.64%
6,5-<6 mo,"2,420",9,142,99.89%,92.77%,99.79%,98.73%,99.89%,93.56%,0.04%,2.60%,0.04%,2.64%
7,6-<7 mo,"2,269",6,124,99.92%,92.69%,99.79%,98.52%,99.92%,93.49%,0.03%,2.60%,0.03%,2.64%
8,7-<8 mo,"2,139",6,136,97.64%,90.56%,99.79%,98.32%,97.85%,92.06%,1.85%,3.00%,1.85%,3.10%
9,8-<9 mo,"1,997",4,169,99.94%,90.50%,99.78%,98.11%,99.94%,92.01%,0.03%,3.00%,0.03%,3.10%
10,9-<10 mo,"1,824",4,132,99.93%,90.43%,99.78%,97.89%,99.94%,91.95%,0.03%,3.00%,0.03%,3.10%
11,10-<11 mo,"1,688",2,130,99.96%,90.40%,99.81%,97.71%,99.97%,91.92%,0.03%,3.00%,0.03%,3.10%
12,11-<12 mo,"1,556",1,123,99.98%,90.38%,99.84%,97.56%,99.99%,91.90%,0.02%,3.00%,0.02%,3.10%
13,12-<13 mo,"1,432",1,105,99.98%,90.36%,99.83%,97.39%,99.98%,91.89%,0.02%,3.00%,0.02%,3.10%
14,13-<14 mo,"1,326",1,127,99.98%,90.33%,99.83%,97.22%,99.98%,91.87%,0.02%,3.00%,0.02%,3.10%
15,14-<15 mo,"1,198",0,134,100.00%,90.33%,99.82%,97.05%,100.00%,91.87%,0.00%,3.00%,0.00%,3.10%
16,15-<16 mo,"1,064",3,119,99.91%,90.25%,99.82%,96.88%,99.92%,91.79%,0.05%,3.00%,0.05%,3.10%
17,16-<17 mo,942,0,123,100.00%,90.25%,99.82%,96.70%,100.00%,91.79%,0.00%,3.00%,0.00%,3.10%
18,17-<18 mo,819,1,127,99.96%,90.21%,99.81%,96.52%,99.97%,91.76%,0.04%,3.00%,0.04%,3.10%
19,18-<19 mo,691,3,113,99.86%,90.07%,99.84%,96.37%,99.86%,91.63%,0.08%,3.01%,0.08%,3.10%
20,19-<20 mo,575,0,111,100.00%,90.07%,99.84%,96.22%,100.00%,91.63%,0.00%,3.01%,0.00%,3.10%
21,20-<21 mo,464,1,109,99.93%,90.00%,99.84%,96.07%,99.93%,91.57%,0.07%,3.01%,0.07%,3.10%
22,21-<22 mo,354,0,103,100.00%,90.00%,99.83%,95.91%,100.00%,91.57%,0.00%,3.01%,0.00%,3.10%
23,22-<23 mo,251,0,133,100.00%,90.00%,99.86%,95.78%,100.00%,91.57%,0.00%,3.01%,0.00%,3.10%
24,23-<24 mo,118,0,118,+,+,99.86%,95.64%,+,+,+,+,+,+
