Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"4,431",24,137,99.38%,99.38%,99.79%,99.79%,99.59%,99.59%,0.14%,0.14%,0.14%,0.14%
2,1-<2 mo,"4,270",52,163,98.46%,97.85%,99.79%,99.58%,98.67%,98.26%,0.23%,0.26%,0.23%,0.26%
3,2-<3 mo,"4,055",54,223,98.37%,96.26%,99.79%,99.38%,98.57%,96.86%,0.24%,0.35%,0.24%,0.35%
4,3-<4 mo,"3,778",44,184,98.73%,95.05%,99.79%,99.17%,98.94%,95.83%,0.21%,0.39%,0.21%,0.40%
5,4-<5 mo,"3,550",52,208,98.19%,93.35%,99.80%,98.97%,98.39%,94.30%,0.27%,0.46%,0.27%,0.47%
6,5-<6 mo,"3,290",34,165,98.83%,92.26%,99.80%,98.78%,99.03%,93.39%,0.22%,0.50%,0.22%,0.51%
7,6-<7 mo,"3,091",39,169,98.54%,90.92%,99.80%,98.58%,98.73%,92.21%,0.26%,0.54%,0.26%,0.55%
8,7-<8 mo,"2,883",34,193,98.43%,89.52%,99.80%,98.39%,98.62%,90.95%,0.29%,0.59%,0.29%,0.60%
9,8-<9 mo,"2,656",38,190,98.29%,88.01%,99.80%,98.20%,98.48%,89.58%,0.31%,0.63%,0.31%,0.65%
10,9-<10 mo,"2,428",24,164,98.96%,87.10%,99.80%,98.01%,99.16%,88.83%,0.24%,0.66%,0.24%,0.68%
11,10-<11 mo,"2,240",25,164,98.93%,86.15%,99.80%,97.82%,99.12%,88.04%,0.24%,0.68%,0.24%,0.71%
12,11-<12 mo,"2,051",23,159,98.66%,85.01%,99.81%,97.63%,98.85%,87.03%,0.31%,0.72%,0.31%,0.75%
13,12-<13 mo,"1,869",20,123,98.61%,83.86%,99.79%,97.42%,98.82%,86.02%,0.34%,0.76%,0.34%,0.79%
14,13-<14 mo,"1,726",31,158,98.01%,82.20%,99.79%,97.22%,98.21%,84.49%,0.40%,0.81%,0.40%,0.84%
15,14-<15 mo,"1,537",16,161,98.90%,81.30%,99.79%,97.02%,99.11%,83.73%,0.31%,0.84%,0.31%,0.87%
16,15-<16 mo,"1,360",13,143,98.87%,80.39%,99.79%,96.82%,99.08%,82.96%,0.35%,0.87%,0.35%,0.91%
17,16-<17 mo,"1,204",13,168,98.81%,79.44%,99.79%,96.62%,99.02%,82.14%,0.37%,0.91%,0.37%,0.95%
18,17-<18 mo,"1,023",6,134,99.29%,78.88%,99.79%,96.42%,99.50%,81.73%,0.33%,0.93%,0.33%,0.98%
19,18-<19 mo,883,9,146,98.58%,77.80%,99.79%,96.22%,98.79%,80.75%,0.53%,1.00%,0.53%,1.05%
20,19-<20 mo,728,3,149,99.46%,77.39%,99.80%,96.03%,99.66%,80.48%,0.35%,1.02%,0.35%,1.09%
21,20-<21 mo,576,4,142,99.17%,76.75%,99.80%,95.84%,99.37%,79.97%,0.48%,1.08%,0.48%,1.14%
22,21-<22 mo,430,0,143,100.00%,76.75%,99.80%,95.65%,100.00%,79.97%,0.00%,1.08%,0.00%,1.14%
23,22-<23 mo,287,1,155,99.70%,76.50%,99.80%,95.47%,99.71%,79.75%,0.30%,1.10%,0.30%,1.17%
24,23-<24 mo,131,1,130,+,+,99.83%,95.31%,+,+,+,+,+,+
