Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"4,431",24,137,99.45%,99.45%,99.85%,99.85%,99.60%,99.60%,0.11%,0.11%,0.11%,0.11%
2,1-<2 mo,"4,270",52,163,98.76%,98.22%,99.85%,99.70%,98.91%,98.52%,0.17%,0.20%,0.17%,0.20%
3,2-<3 mo,"4,055",54,223,98.63%,96.87%,99.85%,99.55%,98.78%,97.31%,0.19%,0.27%,0.19%,0.27%
4,3-<4 mo,"3,778",44,184,98.81%,95.71%,99.85%,99.40%,98.95%,96.29%,0.18%,0.32%,0.18%,0.32%
5,4-<5 mo,"3,550",52,208,98.49%,94.27%,99.85%,99.25%,98.64%,94.98%,0.21%,0.37%,0.21%,0.37%
6,5-<6 mo,"3,290",34,165,98.94%,93.27%,99.86%,99.11%,99.08%,94.11%,0.18%,0.41%,0.18%,0.41%
7,6-<7 mo,"3,091",39,169,98.70%,92.06%,99.86%,98.97%,98.84%,93.02%,0.21%,0.44%,0.21%,0.45%
8,7-<8 mo,"2,883",34,193,98.78%,90.94%,99.86%,98.83%,98.92%,92.02%,0.21%,0.48%,0.21%,0.48%
9,8-<9 mo,"2,656",38,190,98.52%,89.59%,99.86%,98.69%,98.65%,90.78%,0.24%,0.52%,0.24%,0.53%
10,9-<10 mo,"2,428",24,164,98.98%,88.67%,99.86%,98.55%,99.11%,89.97%,0.21%,0.55%,0.21%,0.55%
11,10-<11 mo,"2,240",25,164,98.84%,87.64%,99.86%,98.42%,98.98%,89.05%,0.23%,0.58%,0.23%,0.59%
12,11-<12 mo,"2,051",23,159,98.83%,86.62%,99.86%,98.28%,98.97%,88.14%,0.24%,0.61%,0.24%,0.62%
13,12-<13 mo,"1,869",20,123,98.89%,85.66%,99.85%,98.13%,99.04%,87.29%,0.25%,0.64%,0.25%,0.65%
14,13-<14 mo,"1,726",31,158,98.12%,84.05%,99.85%,97.99%,98.26%,85.78%,0.33%,0.69%,0.34%,0.70%
15,14-<15 mo,"1,537",16,161,98.90%,83.13%,99.85%,97.84%,99.05%,84.96%,0.27%,0.72%,0.27%,0.73%
16,15-<16 mo,"1,360",13,143,98.99%,82.29%,99.85%,97.70%,99.14%,84.23%,0.28%,0.75%,0.28%,0.77%
17,16-<17 mo,"1,204",13,168,98.84%,81.33%,99.85%,97.56%,98.98%,83.37%,0.32%,0.79%,0.32%,0.81%
18,17-<18 mo,"1,023",6,134,99.37%,80.82%,99.86%,97.42%,99.51%,82.97%,0.26%,0.81%,0.26%,0.83%
19,18-<19 mo,883,9,146,98.89%,79.93%,99.86%,97.28%,99.03%,82.16%,0.37%,0.85%,0.37%,0.88%
20,19-<20 mo,728,3,149,99.54%,79.56%,99.86%,97.14%,99.68%,81.90%,0.26%,0.87%,0.26%,0.90%
21,20-<21 mo,576,4,142,99.21%,78.93%,99.86%,97.01%,99.34%,81.36%,0.39%,0.92%,0.40%,0.95%
22,21-<22 mo,430,0,143,100.00%,78.93%,99.86%,96.88%,100.0000%*,81.3616%#,0.00%,0.92%,0.00%,0.9508%#
23,22-<23 mo,287,1,155,99.52%,78.55%,99.87%,96.75%,99.65%,81.19%,0.48%,0.99%,0.48%,1.03%
24,23-<24 mo,131,1,130,+,+,99.89%,96.64%,+,+,+,+,+,+
