Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,452,14,19,97.11%,97.11%,99.74%,99.74%,97.36%,97.36%,0.94%,0.94%,0.94%,0.94%
2,1-<2 mo,419,8,21,98.57%,95.73%,99.74%,99.48%,98.81%,96.20%,0.50%,1.05%,0.51%,1.06%
3,2-<3 mo,390,7,22,98.09%,93.91%,99.75%,99.23%,98.30%,94.59%,0.91%,1.35%,0.91%,1.36%
4,3-<4 mo,361,8,11,98.42%,92.47%,99.76%,98.99%,98.61%,93.30%,0.55%,1.43%,0.55%,1.44%
5,4-<5 mo,342,8,21,97.42%,90.08%,99.76%,98.75%,97.66%,91.19%,1.11%,1.74%,1.11%,1.75%
6,5-<6 mo,313,4,15,98.99%,89.19%,99.76%,98.51%,99.22%,90.48%,0.51%,1.78%,0.51%,1.80%
7,6-<7 mo,294,5,10,98.69%,88.05%,99.76%,98.28%,98.91%,89.51%,0.59%,1.84%,0.59%,1.87%
8,7-<8 mo,279,4,19,97.98%,86.24%,99.75%,98.04%,98.22%,87.92%,1.23%,2.11%,1.23%,2.14%
9,8-<9 mo,256,8,20,97.49%,84.11%,99.76%,97.80%,97.71%,85.93%,0.88%,2.21%,0.88%,2.25%
10,9-<10 mo,228,3,15,98.92%,83.22%,99.76%,97.57%,99.13%,85.19%,0.62%,2.26%,0.62%,2.30%
11,10-<11 mo,210,5,15,98.11%,81.77%,99.76%,97.34%,98.30%,83.81%,0.83%,2.32%,0.83%,2.37%
12,11-<12 mo,190,1,20,99.56%,81.45%,99.76%,97.11%,99.74%,83.61%,0.44%,2.33%,0.44%,2.39%
13,12-<13 mo,169,7,8,95.63%,77.97%,99.73%,96.86%,95.89%,80.36%,1.82%,2.69%,1.82%,2.76%
14,13-<14 mo,154,1,16,99.42%,77.47%,99.74%,96.61%,99.45%,79.88%,0.57%,2.73%,0.58%,2.80%
15,14-<15 mo,137,3,16,98.11%,76.06%,99.74%,96.36%,98.34%,78.73%,1.08%,2.82%,1.08%,2.90%
16,15-<16 mo,118,2,15,98.50%,74.92%,99.73%,96.11%,98.74%,77.73%,1.05%,2.90%,1.06%,2.99%
17,16-<17 mo,101,2,15,98.36%,73.85%,99.73%,95.85%,98.57%,76.71%,1.14%,2.96%,1.14%,3.07%
18,17-<18 mo,84,1,15,98.98%,73.20%,99.72%,95.59%,99.20%,76.17%,1.01%,3.01%,1.01%,3.13%
19,18-<19 mo,68,1,8,98.80%,72.46%,99.73%,95.34%,99.01%,75.50%,1.18%,3.07%,1.19%,3.20%
20,19-<20 mo,59,0,9,100.00%,72.46%,99.71%,95.06%,100.00%,75.50%,0.00%,3.07%,0.00%,3.20%
21,20-<21 mo,50,2,14,95.91%,69.18%,99.72%,94.80%,95.94%,72.28%,2.67%,3.67%,2.67%,3.82%
22,21-<22 mo,34,1,10,97.43%,67.62%,99.73%,94.55%,97.63%,71.01%,2.50%,3.92%,2.51%,4.12%
23,22-<23 mo,23,0,14,100.00%,67.62%,99.73%,94.30%,100.00%,71.01%,0.00%,3.92%,0.00%,4.12%
24,23-<24 mo,9,0,9,+,+,99.63%,93.96%,+,+,+,+,+,+
