Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"17,624",304,742,98.24%,98.24%,99.67%,99.67%,98.56%,98.56%,0.10%,0.10%,0.10%,0.10%
2,1-<2 mo,"16,578",280,666,98.28%,96.54%,99.68%,99.35%,98.59%,97.18%,0.10%,0.14%,0.10%,0.14%
3,2-<3 mo,"15,632",248,744,98.37%,94.98%,99.68%,99.03%,98.69%,95.90%,0.10%,0.17%,0.10%,0.17%
4,3-<4 mo,"14,640",219,696,98.47%,93.52%,99.69%,98.72%,98.78%,94.73%,0.10%,0.19%,0.10%,0.20%
5,4-<5 mo,"13,725",179,708,98.66%,92.27%,99.69%,98.41%,98.97%,93.75%,0.10%,0.21%,0.10%,0.22%
6,5-<6 mo,"12,838",163,645,98.70%,91.07%,99.69%,98.11%,99.00%,92.82%,0.10%,0.23%,0.10%,0.23%
7,6-<7 mo,"12,030",152,698,98.70%,89.88%,99.69%,97.81%,99.00%,91.89%,0.10%,0.25%,0.11%,0.25%
8,7-<8 mo,"11,180",110,671,98.99%,88.97%,99.70%,97.51%,99.29%,91.24%,0.10%,0.26%,0.10%,0.27%
9,8-<9 mo,"10,399",132,741,98.68%,87.80%,99.70%,97.22%,98.98%,90.31%,0.11%,0.27%,0.11%,0.28%
10,9-<10 mo,"9,526",113,683,98.77%,86.72%,99.70%,96.93%,99.07%,89.47%,0.12%,0.29%,0.12%,0.30%
11,10-<11 mo,"8,730",97,607,98.85%,85.72%,99.70%,96.64%,99.15%,88.70%,0.12%,0.30%,0.12%,0.31%
12,11-<12 mo,"8,026",91,607,98.82%,84.71%,99.70%,96.35%,99.12%,87.92%,0.12%,0.32%,0.12%,0.33%
13,12-<13 mo,"7,328",74,536,98.95%,83.82%,99.67%,96.03%,99.28%,87.29%,0.12%,0.33%,0.12%,0.34%
14,13-<14 mo,"6,718",57,608,99.11%,83.08%,99.67%,95.72%,99.44%,86.79%,0.12%,0.34%,0.12%,0.36%
15,14-<15 mo,"6,053",45,657,99.21%,82.42%,99.68%,95.41%,99.54%,86.39%,0.12%,0.35%,0.12%,0.37%
16,15-<16 mo,"5,351",34,535,99.33%,81.87%,99.68%,95.10%,99.65%,86.09%,0.11%,0.36%,0.11%,0.38%
17,16-<17 mo,"4,782",48,646,98.92%,80.99%,99.68%,94.80%,99.24%,85.43%,0.15%,0.38%,0.16%,0.40%
18,17-<18 mo,"4,088",24,628,99.36%,80.48%,99.68%,94.49%,99.69%,85.17%,0.13%,0.39%,0.13%,0.42%
19,18-<19 mo,"3,436",22,617,99.30%,79.91%,99.68%,94.19%,99.61%,84.84%,0.15%,0.41%,0.15%,0.43%
20,19-<20 mo,"2,797",24,579,99.04%,79.15%,99.68%,93.89%,99.36%,84.29%,0.19%,0.43%,0.20%,0.46%
21,20-<21 mo,"2,194",11,565,99.42%,78.69%,99.68%,93.59%,99.75%,84.08%,0.17%,0.45%,0.17%,0.48%
22,21-<22 mo,"1,618",7,530,99.48%,78.28%,99.68%,93.29%,99.81%,83.92%,0.20%,0.47%,0.20%,0.51%
23,22-<23 mo,"1,081",3,570,99.62%,77.99%,99.68%,92.99%,99.94%,83.87%,0.22%,0.50%,0.22%,0.54%
24,23-<24 mo,508,2,506,+,+,99.69%,92.70%,+,+,+,+,+,+
