Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,205,17,7,91.56%,91.56%,99.90%,99.90%,91.66%,91.66%,1.96%,1.96%,1.96%,1.96%
2,1-<2 mo,181,10,4,94.41%,86.45%,99.92%,99.82%,94.49%,86.60%,1.72%,2.43%,1.72%,2.43%
3,2-<3 mo,167,4,11,97.52%,84.31%,99.94%,99.76%,97.59%,84.51%,1.22%,2.59%,1.22%,2.60%
4,3-<4 mo,152,4,7,97.31%,82.04%,99.94%,99.70%,97.37%,82.28%,1.33%,2.76%,1.33%,2.77%
5,4-<5 mo,141,3,11,97.79%,80.22%,99.94%,99.64%,97.84%,80.51%,1.26%,2.89%,1.26%,2.90%
6,5-<6 mo,127,5,5,95.98%,77.00%,99.95%,99.59%,96.03%,77.32%,1.76%,3.11%,1.76%,3.13%
7,6-<7 mo,117,4,6,96.49%,74.30%,99.95%,99.54%,96.54%,74.64%,1.72%,3.28%,1.72%,3.30%
8,7-<8 mo,107,0,7,100.00%,74.30%,99.95%,99.49%,100.0000%*,74.6425%#,0.00%,3.28%,0.00%,3.2992%#
9,8-<9 mo,100,1,4,98.98%,73.54%,99.96%,99.45%,99.02%,73.95%,1.02%,3.34%,1.02%,3.36%
10,9-<10 mo,95,3,4,96.77%,71.17%,99.96%,99.40%,96.82%,71.59%,1.83%,3.50%,1.83%,3.52%
11,10-<11 mo,88,1,12,98.78%,70.30%,99.96%,99.36%,98.82%,70.75%,1.21%,3.56%,1.21%,3.59%
12,11-<12 mo,75,1,7,98.60%,69.31%,99.95%,99.31%,98.65%,69.79%,1.39%,3.65%,1.39%,3.67%
13,12-<13 mo,67,0,9,100.00%,69.31%,99.95%,99.26%,100.0000%*,69.7947%#,0.00%,3.65%,0.00%,3.6708%#
14,13-<14 mo,58,1,4,98.21%,68.08%,99.94%,99.20%,98.27%,68.63%,1.77%,3.78%,1.77%,3.82%
15,14-<15 mo,53,1,7,97.98%,66.70%,99.94%,99.14%,98.04%,67.28%,2.00%,3.95%,2.00%,3.98%
16,15-<16 mo,45,0,4,100.00%,66.70%,99.95%,99.10%,100.0000%*,67.2784%#,0.00%,3.95%,0.00%,3.9845%#
17,16-<17 mo,41,1,7,97.33%,64.92%,99.95%,99.05%,97.38%,65.55%,2.63%,4.23%,2.63%,4.27%
18,17-<18 mo,33,0,3,100.00%,64.92%,99.95%,98.99%,100.0000%*,65.5477%#,0.00%,4.23%,0.00%,4.2672%#
19,18-<19 mo,30,0,3,100.00%,64.92%,99.94%,98.94%,100.0000%*,65.5477%#,0.00%,4.23%,0.00%,4.2672%#
20,19-<20 mo,27,0,6,100.00%,64.92%,99.94%,98.87%,100.0000%*,65.5477%#,0.00%,4.23%,0.00%,4.2672%#
21,20-<21 mo,21,0,7,100.00%,64.92%,99.99%,98.86%,100.0000%*,65.5477%#,0.00%,4.23%,0.00%,4.2672%#
22,21-<22 mo,14,1,2,92.31%,59.93%,99.99%,98.85%,92.32%,60.63%,7.39%,6.18%,7.39%,6.26%
23,22-<23 mo,11,0,5,100.00%,59.93%,99.99%,98.84%,100.0000%*,60.6273%#,0.00%,6.18%,0.00%,6.2562%#
24,23-<24 mo,6,0,6,+,+,99.99%,98.83%,+,+,+,+,+,+
