Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"1,576",74,92,95.61%,95.61%,99.74%,99.74%,95.86%,95.86%,0.51%,0.51%,0.51%,0.51%
2,1-<2 mo,"1,410",59,65,95.96%,91.77%,99.75%,99.49%,96.20%,92.23%,0.53%,0.70%,0.53%,0.70%
3,2-<3 mo,"1,286",30,67,97.84%,89.82%,99.75%,99.24%,98.08%,90.49%,0.39%,0.77%,0.40%,0.78%
4,3-<4 mo,"1,189",19,63,98.55%,88.56%,99.75%,99.00%,98.79%,89.42%,0.33%,0.81%,0.33%,0.82%
5,4-<5 mo,"1,107",21,63,98.25%,87.07%,99.75%,98.76%,98.49%,88.12%,0.38%,0.86%,0.38%,0.87%
6,5-<6 mo,"1,023",14,52,98.65%,85.92%,99.76%,98.52%,98.89%,87.15%,0.36%,0.91%,0.36%,0.92%
7,6-<7 mo,957,10,56,98.94%,85.00%,99.76%,98.28%,99.19%,86.43%,0.33%,0.94%,0.34%,0.96%
8,7-<8 mo,891,12,40,98.66%,83.88%,99.76%,98.04%,98.90%,85.48%,0.39%,0.99%,0.39%,1.01%
9,8-<9 mo,839,6,69,99.23%,83.22%,99.76%,97.81%,99.38%,84.94%,0.31%,1.02%,0.31%,1.04%
10,9-<10 mo,764,5,44,99.41%,82.76%,99.76%,97.57%,99.61%,84.69%,0.26%,1.03%,0.26%,1.06%
11,10-<11 mo,715,13,48,98.19%,81.31%,99.75%,97.33%,98.40%,83.37%,0.50%,1.09%,0.50%,1.12%
12,11-<12 mo,654,3,53,99.50%,80.89%,99.76%,97.10%,99.68%,83.15%,0.29%,1.11%,0.29%,1.14%
13,12-<13 mo,598,10,49,98.12%,79.33%,99.74%,96.85%,98.38%,81.80%,0.59%,1.20%,0.59%,1.24%
14,13-<14 mo,539,3,49,99.39%,78.83%,99.73%,96.59%,99.61%,81.47%,0.35%,1.23%,0.35%,1.26%
15,14-<15 mo,487,5,47,98.94%,78.01%,99.74%,96.35%,99.20%,80.86%,0.48%,1.27%,0.48%,1.32%
16,15-<16 mo,435,5,55,98.84%,77.10%,99.74%,96.10%,99.08%,80.10%,0.52%,1.32%,0.52%,1.37%
17,16-<17 mo,375,3,42,99.19%,76.47%,99.74%,95.86%,99.43%,79.63%,0.47%,1.36%,0.47%,1.42%
18,17-<18 mo,330,5,58,98.31%,75.17%,99.75%,95.63%,98.52%,78.47%,0.76%,1.46%,0.76%,1.53%
19,18-<19 mo,267,3,43,98.91%,74.42%,99.76%,95.41%,99.09%,77.79%,0.62%,1.51%,0.63%,1.58%
20,19-<20 mo,221,1,48,99.49%,74.02%,99.76%,95.18%,99.52%,77.45%,0.51%,1.56%,0.51%,1.63%
21,20-<21 mo,172,2,55,98.73%,73.17%,99.76%,94.96%,98.92%,76.80%,0.88%,1.65%,0.89%,1.74%
22,21-<22 mo,115,0,41,100.00%,73.17%,99.74%,94.72%,100.00%,76.80%,0.00%,1.65%,0.00%,1.74%
23,22-<23 mo,74,0,44,100.00%,73.17%,99.75%,94.49%,100.00%,76.80%,0.00%,1.65%,0.00%,1.74%
24,23-<24 mo,30,0,30,+,+,99.81%,94.32%,+,+,+,+,+,+
