Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"19,254",173,850,98.92%,98.92%,99.81%,99.81%,99.11%,99.11%,0.08%,0.08%,0.08%,0.08%
2,1-<2 mo,"18,231",112,933,99.22%,98.15%,99.81%,99.62%,99.41%,98.52%,0.07%,0.11%,0.07%,0.11%
3,2-<3 mo,"17,186",108,927,99.21%,97.38%,99.81%,99.44%,99.39%,97.93%,0.08%,0.13%,0.08%,0.13%
4,3-<4 mo,"16,151",82,759,99.37%,96.78%,99.82%,99.26%,99.56%,97.49%,0.07%,0.15%,0.07%,0.15%
5,4-<5 mo,"15,310",60,835,99.51%,96.31%,99.82%,99.08%,99.69%,97.19%,0.07%,0.16%,0.07%,0.16%
6,5-<6 mo,"14,415",70,813,99.36%,95.70%,99.82%,98.90%,99.54%,96.75%,0.08%,0.17%,0.08%,0.18%
7,6-<7 mo,"13,532",43,811,99.61%,95.34%,99.82%,98.72%,99.79%,96.55%,0.06%,0.18%,0.06%,0.19%
8,7-<8 mo,"12,678",36,729,99.67%,95.03%,99.82%,98.55%,99.85%,96.41%,0.06%,0.19%,0.06%,0.19%
9,8-<9 mo,"11,913",45,786,99.55%,94.61%,99.82%,98.37%,99.73%,96.15%,0.07%,0.20%,0.07%,0.20%
10,9-<10 mo,"11,082",35,816,99.64%,94.27%,99.82%,98.20%,99.82%,95.97%,0.06%,0.21%,0.06%,0.21%
11,10-<11 mo,"10,231",27,787,99.70%,93.99%,99.82%,98.03%,99.88%,95.85%,0.06%,0.21%,0.06%,0.22%
12,11-<12 mo,"9,417",45,814,99.41%,93.45%,99.82%,97.86%,99.58%,95.46%,0.09%,0.23%,0.09%,0.23%
13,12-<13 mo,"8,558",29,636,99.58%,93.07%,99.81%,97.67%,99.77%,95.24%,0.08%,0.24%,0.08%,0.25%
14,13-<14 mo,"7,893",30,721,99.56%,92.67%,99.81%,97.49%,99.76%,95.01%,0.08%,0.25%,0.08%,0.26%
15,14-<15 mo,"7,142",15,789,99.79%,92.47%,99.81%,97.30%,99.90%,94.91%,0.06%,0.25%,0.06%,0.26%
16,15-<16 mo,"6,338",26,680,99.46%,91.98%,99.81%,97.12%,99.65%,94.65%,0.11%,0.27%,0.11%,0.28%
17,16-<17 mo,"5,632",21,811,99.51%,91.55%,99.81%,96.94%,99.70%,94.37%,0.11%,0.28%,0.11%,0.30%
18,17-<18 mo,"4,800",20,737,99.50%,91.10%,99.81%,96.76%,99.69%,94.08%,0.11%,0.30%,0.11%,0.31%
19,18-<19 mo,"4,043",12,761,99.59%,90.74%,99.82%,96.59%,99.77%,93.87%,0.12%,0.32%,0.12%,0.33%
20,19-<20 mo,"3,270",7,692,99.68%,90.47%,99.82%,96.42%,99.84%,93.72%,0.12%,0.33%,0.12%,0.35%
21,20-<21 mo,"2,571",5,680,99.76%,90.26%,99.82%,96.24%,99.92%,93.67%,0.11%,0.34%,0.11%,0.35%
22,21-<22 mo,"1,886",3,610,99.73%,90.02%,99.82%,96.07%,99.88%,93.58%,0.16%,0.37%,0.16%,0.39%
23,22-<23 mo,"1,273",6,677,99.22%,89.35%,99.82%,95.90%,99.38%,93.02%,0.33%,0.46%,0.33%,0.49%
24,23-<24 mo,590,1,589,+,+,99.83%,95.74%,+,+,+,+,+,+
