Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,908,25,35,94.33%,94.33%,99.81%,99.81%,94.51%,94.51%,1.28%,1.28%,1.28%,1.28%
2,1-<2 mo,848,13,44,97.63%,92.12%,99.81%,99.62%,97.82%,92.46%,0.85%,1.47%,0.85%,1.48%
3,2-<3 mo,791,15,62,96.08%,88.57%,99.81%,99.43%,96.26%,89.06%,1.16%,1.74%,1.16%,1.75%
4,3-<4 mo,714,8,31,97.44%,86.42%,99.83%,99.26%,97.59%,87.01%,1.04%,1.88%,1.05%,1.90%
5,4-<5 mo,675,5,45,98.93%,85.51%,99.83%,99.08%,99.10%,86.25%,0.65%,1.93%,0.65%,1.96%
6,5-<6 mo,625,3,31,98.79%,84.55%,99.83%,98.91%,98.94%,85.40%,0.81%,2.00%,0.81%,2.03%
7,6-<7 mo,591,5,35,97.67%,82.73%,99.82%,98.74%,97.84%,83.69%,1.12%,2.11%,1.13%,2.16%
8,7-<8 mo,551,6,23,97.43%,80.76%,99.82%,98.57%,97.60%,81.82%,1.21%,2.22%,1.21%,2.28%
9,8-<9 mo,522,3,41,98.73%,79.79%,99.82%,98.39%,98.91%,80.96%,0.86%,2.28%,0.86%,2.34%
10,9-<10 mo,478,4,27,99.00%,79.04%,99.81%,98.20%,99.17%,80.31%,0.77%,2.31%,0.77%,2.38%
11,10-<11 mo,447,5,39,98.64%,77.88%,99.81%,98.01%,98.67%,79.19%,0.77%,2.38%,0.77%,2.45%
12,11-<12 mo,403,2,37,98.21%,76.69%,99.81%,97.83%,98.37%,78.17%,1.24%,2.46%,1.24%,2.54%
13,12-<13 mo,364,5,26,96.11%,74.04%,99.79%,97.63%,96.31%,75.59%,1.86%,2.62%,1.86%,2.73%
14,13-<14 mo,333,3,43,98.93%,73.18%,99.79%,97.42%,98.96%,74.74%,0.84%,2.69%,0.84%,2.79%
15,14-<15 mo,287,1,33,99.87%,73.05%,99.80%,97.24%,99.87%,74.62%,0.13%,2.69%,0.13%,2.79%
16,15-<16 mo,253,1,27,99.85%,72.91%,99.80%,97.04%,99.85%,74.49%,0.15%,2.69%,0.15%,2.79%
17,16-<17 mo,225,2,31,96.28%,70.69%,99.78%,96.83%,96.45%,72.57%,2.52%,2.95%,2.53%,3.10%
18,17-<18 mo,192,0,30,100.00%,70.69%,99.80%,96.64%,100.00%,72.57%,0.00%,2.95%,0.00%,3.10%
19,18-<19 mo,162,1,32,99.75%,70.46%,99.80%,96.46%,99.75%,72.35%,0.25%,2.96%,0.25%,3.11%
20,19-<20 mo,129,1,26,99.67%,70.17%,99.79%,96.26%,99.68%,72.06%,0.32%,2.97%,0.32%,3.12%
21,20-<21 mo,102,1,32,99.55%,69.77%,99.79%,96.06%,99.56%,71.67%,0.44%,2.99%,0.44%,3.15%
22,21-<22 mo,69,1,19,95.39%,67.25%,99.76%,95.84%,95.58%,69.46%,4.36%,3.65%,4.38%,3.93%
23,22-<23 mo,49,0,23,100.00%,67.25%,99.75%,95.60%,100.00%,69.46%,0.00%,3.65%,0.00%,3.93%
24,23-<24 mo,26,0,26,+,+,99.80%,95.41%,+,+,+,+,+,+
