Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"12,618",631,763,94.41%,94.41%,99.74%,99.74%,94.65%,94.65%,0.21%,0.21%,0.22%,0.22%
2,1-<2 mo,"11,224",383,568,96.11%,90.82%,99.74%,99.48%,96.35%,91.28%,0.19%,0.27%,0.20%,0.27%
3,2-<3 mo,"10,273",283,528,96.88%,88.07%,99.75%,99.23%,97.12%,88.72%,0.18%,0.31%,0.18%,0.31%
4,3-<4 mo,"9,462",205,509,97.43%,85.93%,99.75%,98.99%,97.67%,86.75%,0.18%,0.33%,0.18%,0.33%
5,4-<5 mo,"8,748",137,487,98.17%,84.44%,99.76%,98.75%,98.40%,85.42%,0.16%,0.35%,0.16%,0.35%
6,5-<6 mo,"8,124",107,472,98.47%,83.21%,99.76%,98.52%,98.71%,84.36%,0.15%,0.36%,0.15%,0.37%
7,6-<7 mo,"7,545",77,421,98.86%,82.29%,99.76%,98.29%,99.09%,83.61%,0.13%,0.37%,0.13%,0.38%
8,7-<8 mo,"7,047",76,437,98.76%,81.32%,99.76%,98.06%,98.99%,82.80%,0.14%,0.38%,0.14%,0.39%
9,8-<9 mo,"6,534",69,456,98.75%,80.37%,99.77%,97.83%,98.98%,81.99%,0.15%,0.39%,0.15%,0.40%
10,9-<10 mo,"6,009",61,411,98.79%,79.46%,99.77%,97.60%,99.02%,81.23%,0.16%,0.40%,0.16%,0.42%
11,10-<11 mo,"5,537",50,428,98.91%,78.67%,99.77%,97.38%,99.14%,80.58%,0.16%,0.41%,0.16%,0.43%
12,11-<12 mo,"5,059",42,413,99.09%,77.97%,99.77%,97.16%,99.32%,80.03%,0.14%,0.42%,0.15%,0.44%
13,12-<13 mo,"4,604",44,352,98.94%,77.17%,99.74%,96.91%,99.19%,79.39%,0.16%,0.43%,0.17%,0.45%
14,13-<14 mo,"4,208",41,370,98.96%,76.38%,99.74%,96.67%,99.22%,78.76%,0.17%,0.45%,0.17%,0.47%
15,14-<15 mo,"3,797",33,385,98.94%,75.64%,99.75%,96.43%,99.19%,78.16%,0.19%,0.46%,0.19%,0.48%
16,15-<16 mo,"3,379",31,335,98.92%,74.87%,99.75%,96.19%,99.17%,77.53%,0.20%,0.47%,0.20%,0.50%
17,16-<17 mo,"3,013",25,383,98.92%,74.14%,99.75%,95.96%,99.16%,76.94%,0.22%,0.49%,0.22%,0.52%
18,17-<18 mo,"2,605",24,399,98.89%,73.38%,99.75%,95.73%,99.14%,76.30%,0.23%,0.51%,0.23%,0.54%
19,18-<19 mo,"2,182",20,352,98.85%,72.59%,99.76%,95.50%,99.10%,75.64%,0.26%,0.53%,0.26%,0.56%
20,19-<20 mo,"1,810",7,372,99.50%,72.26%,99.75%,95.27%,99.74%,75.45%,0.20%,0.54%,0.20%,0.58%
21,20-<21 mo,"1,431",10,393,99.17%,71.68%,99.76%,95.05%,99.41%,75.00%,0.28%,0.57%,0.28%,0.61%
22,21-<22 mo,"1,028",4,349,99.65%,71.39%,99.74%,94.81%,99.70%,74.75%,0.18%,0.59%,0.18%,0.63%
23,22-<23 mo,675,6,357,98.59%,70.46%,99.75%,94.58%,98.83%,74.05%,0.61%,0.69%,0.61%,0.75%
24,23-<24 mo,312,0,312,+,+,99.78%,94.38%,+,+,+,+,+,+
