Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,979,124,45,87.04%,87.04%,99.73%,99.73%,87.27%,87.27%,1.09%,1.09%,1.09%,1.09%
2,1-<2 mo,810,81,30,89.81%,78.17%,99.74%,99.48%,90.04%,78.58%,1.07%,1.35%,1.08%,1.36%
3,2-<3 mo,699,76,31,88.88%,69.48%,99.76%,99.24%,89.10%,70.01%,1.20%,1.52%,1.21%,1.54%
4,3-<4 mo,592,44,27,92.39%,64.19%,99.76%,99.00%,92.61%,64.84%,1.10%,1.60%,1.10%,1.62%
5,4-<5 mo,521,43,29,91.51%,58.74%,99.78%,98.78%,91.71%,59.47%,1.24%,1.67%,1.24%,1.69%
6,5-<6 mo,449,29,25,93.36%,54.84%,99.78%,98.57%,93.56%,55.64%,1.19%,1.71%,1.19%,1.73%
7,6-<7 mo,395,17,15,95.61%,52.43%,99.78%,98.35%,95.82%,53.31%,1.04%,1.73%,1.04%,1.76%
8,7-<8 mo,363,26,25,92.58%,48.54%,99.79%,98.14%,92.78%,49.46%,1.40%,1.76%,1.40%,1.80%
9,8-<9 mo,312,15,25,94.99%,46.11%,99.78%,97.92%,95.20%,47.09%,1.26%,1.78%,1.26%,1.82%
10,9-<10 mo,272,13,26,94.98%,43.80%,99.78%,97.71%,95.19%,44.82%,1.36%,1.80%,1.36%,1.85%
11,10-<11 mo,233,14,20,93.72%,41.05%,99.78%,97.50%,93.93%,42.10%,1.62%,1.83%,1.63%,1.88%
12,11-<12 mo,199,9,16,95.29%,39.11%,99.78%,97.29%,95.50%,40.21%,1.53%,1.86%,1.54%,1.91%
13,12-<13 mo,174,5,15,97.00%,37.94%,99.78%,97.07%,97.21%,39.08%,1.32%,1.88%,1.33%,1.93%
14,13-<14 mo,154,5,18,96.55%,36.63%,99.78%,96.86%,96.77%,37.82%,1.52%,1.90%,1.52%,1.96%
15,14-<15 mo,131,2,13,98.39%,36.04%,99.78%,96.64%,98.62%,37.30%,1.13%,1.91%,1.13%,1.98%
16,15-<16 mo,116,5,11,95.48%,34.41%,99.78%,96.42%,95.69%,35.69%,1.98%,1.96%,1.98%,2.03%
17,16-<17 mo,100,6,20,93.33%,32.12%,99.79%,96.22%,93.53%,33.38%,2.63%,2.04%,2.63%,2.12%
18,17-<18 mo,74,1,12,98.53%,31.65%,99.79%,96.02%,98.74%,32.96%,1.46%,2.07%,1.46%,2.15%
19,18-<19 mo,61,3,15,94.39%,29.87%,99.80%,95.83%,94.58%,31.17%,3.15%,2.19%,3.15%,2.28%
20,19-<20 mo,43,2,5,95.06%,28.40%,99.81%,95.65%,95.24%,29.69%,3.40%,2.32%,3.41%,2.42%
21,20-<21 mo,36,1,9,96.83%,27.49%,99.84%,95.49%,96.98%,28.79%,3.12%,2.41%,3.13%,2.53%
22,21-<22 mo,26,0,7,100.00%,27.49%,99.84%,95.34%,100.0000%*,28.7924%#,0.00%,2.41%,0.00%,2.5258%#
23,22-<23 mo,19,1,13,92.00%,25.30%,99.83%,95.17%,92.16%,26.58%,7.67%,3.06%,7.69%,3.22%
24,23-<24 mo,5,0,5,+,+,99.83%,95.01%,+,+,+,+,+,+
