Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,374,7,14,98.09%,98.09%,99.68%,99.68%,98.40%,98.40%,0.71%,0.71%,0.72%,0.72%
2,1-<2 mo,353,10,8,97.13%,95.28%,99.70%,99.39%,97.43%,95.87%,0.89%,1.12%,0.90%,1.12%
3,2-<3 mo,335,11,9,96.67%,92.11%,99.72%,99.11%,96.94%,92.94%,0.99%,1.43%,0.99%,1.44%
4,3-<4 mo,315,4,17,98.69%,90.91%,99.73%,98.85%,98.96%,91.97%,0.65%,1.53%,0.65%,1.55%
5,4-<5 mo,294,0,20,100.00%,90.91%,99.74%,98.59%,100.0000%*,91.9694%#,0.00%,1.53%,0.00%,1.5521%#
6,5-<6 mo,274,8,15,97.00%,88.18%,99.74%,98.33%,97.25%,89.68%,1.05%,1.77%,1.05%,1.80%
7,6-<7 mo,251,6,6,97.58%,86.05%,99.74%,98.08%,97.83%,87.73%,0.98%,1.93%,0.98%,1.96%
8,7-<8 mo,239,9,15,96.11%,82.70%,99.75%,97.83%,96.35%,84.53%,1.27%,2.15%,1.27%,2.20%
9,8-<9 mo,215,4,10,98.10%,81.13%,99.78%,97.62%,98.31%,83.11%,0.94%,2.25%,0.95%,2.30%
10,9-<10 mo,201,3,12,98.46%,79.88%,99.79%,97.41%,98.67%,82.00%,0.88%,2.33%,0.88%,2.39%
11,10-<11 mo,186,4,17,97.75%,78.08%,99.79%,97.20%,97.96%,80.33%,1.11%,2.44%,1.12%,2.51%
12,11-<12 mo,165,1,17,99.36%,77.58%,99.81%,97.01%,99.55%,79.97%,0.64%,2.48%,0.64%,2.55%
13,12-<13 mo,147,2,11,98.59%,76.48%,99.79%,96.81%,98.80%,79.01%,0.99%,2.56%,0.99%,2.64%
14,13-<14 mo,134,2,15,98.42%,75.27%,99.80%,96.61%,98.62%,77.92%,1.11%,2.66%,1.11%,2.75%
15,14-<15 mo,117,1,14,99.09%,74.59%,99.80%,96.41%,99.29%,77.36%,0.90%,2.72%,0.91%,2.82%
16,15-<16 mo,102,2,10,97.94%,73.05%,99.80%,96.22%,98.14%,75.92%,1.44%,2.87%,1.45%,2.99%
17,16-<17 mo,90,0,12,100.00%,73.05%,99.80%,96.02%,100.0000%*,75.9245%#,0.00%,2.87%,0.00%,2.9872%#
18,17-<18 mo,78,1,10,98.63%,72.05%,99.81%,95.84%,98.82%,75.18%,1.36%,3.00%,1.36%,3.13%
19,18-<19 mo,67,1,10,98.39%,70.89%,99.79%,95.64%,98.59%,74.12%,1.60%,3.17%,1.60%,3.32%
20,19-<20 mo,56,1,8,98.08%,69.52%,99.78%,95.43%,98.29%,72.85%,1.90%,3.39%,1.91%,3.55%
21,20-<21 mo,47,0,10,100.00%,69.52%,99.80%,95.24%,100.0000%*,72.8509%#,0.00%,3.39%,0.00%,3.5538%#
22,21-<22 mo,37,0,11,100.00%,69.52%,99.77%,95.02%,100.0000%*,72.8509%#,0.00%,3.39%,0.00%,3.5538%#
23,22-<23 mo,26,0,14,100.00%,69.52%,99.85%,94.88%,100.0000%*,72.8509%#,0.00%,3.39%,0.00%,3.5538%#
24,23-<24 mo,12,0,12,+,+,99.87%,94.76%,+,+,+,+,+,+
