Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,183,13,11,93.58%,93.58%,99.71%,99.71%,93.86%,93.86%,2.10%,2.10%,2.11%,2.11%
2,1-<2 mo,159,5,5,96.72%,90.53%,99.72%,99.44%,96.99%,91.06%,1.74%,2.59%,1.75%,2.61%
3,2-<3 mo,149,0,8,100.00%,90.53%,99.72%,99.16%,100.00%,91.06%,0.00%,2.59%,0.00%,2.61%
4,3-<4 mo,141,3,6,97.98%,88.66%,99.72%,98.89%,98.22%,89.64%,1.41%,2.88%,1.41%,2.91%
5,4-<5 mo,132,2,10,98.17%,87.00%,99.72%,98.61%,98.41%,88.17%,1.48%,3.14%,1.49%,3.19%
6,5-<6 mo,120,0,7,100.00%,87.00%,99.72%,98.34%,100.00%,88.17%,0.00%,3.14%,0.00%,3.19%
7,6-<7 mo,113,3,8,95.92%,83.39%,99.72%,98.06%,96.15%,84.89%,2.51%,3.73%,2.52%,3.83%
8,7-<8 mo,102,0,4,100.00%,83.39%,99.77%,97.84%,100.00%,84.89%,0.00%,3.73%,0.00%,3.83%
9,8-<9 mo,98,1,9,98.55%,82.15%,99.78%,97.63%,98.58%,83.83%,1.41%,3.87%,1.42%,3.98%
10,9-<10 mo,88,0,5,100.00%,82.15%,99.78%,97.42%,100.00%,83.83%,0.00%,3.87%,0.00%,3.98%
11,10-<11 mo,83,0,3,100.00%,82.15%,99.77%,97.20%,100.00%,83.83%,0.00%,3.87%,0.00%,3.98%
12,11-<12 mo,80,0,9,100.00%,82.15%,99.77%,96.98%,100.00%,83.83%,0.00%,3.87%,0.00%,3.98%
13,12-<13 mo,71,0,4,100.00%,82.15%,99.75%,96.75%,100.00%,83.83%,0.00%,3.87%,0.00%,3.98%
14,13-<14 mo,67,0,5,100.00%,82.15%,99.75%,96.51%,100.00%,83.83%,0.00%,3.87%,0.00%,3.98%
15,14-<15 mo,62,0,5,100.00%,82.15%,99.76%,96.28%,100.00%,83.83%,0.00%,3.87%,0.00%,3.98%
16,15-<16 mo,57,0,11,100.00%,82.15%,99.80%,96.09%,100.00%,83.83%,0.00%,3.87%,0.00%,3.98%
17,16-<17 mo,46,0,2,100.00%,82.15%,99.80%,95.90%,100.00%,83.83%,0.00%,3.87%,0.00%,3.98%
18,17-<18 mo,44,0,6,100.00%,82.15%,99.80%,95.72%,100.00%,83.83%,0.00%,3.87%,0.00%,3.98%
19,18-<19 mo,38,0,7,100.00%,82.15%,99.81%,95.54%,100.00%,83.83%,0.00%,3.87%,0.00%,3.98%
20,19-<20 mo,31,0,9,100.00%,82.15%,99.78%,95.34%,100.00%,83.83%,0.00%,3.87%,0.00%,3.98%
21,20-<21 mo,22,0,8,100.00%,82.15%,99.77%,95.12%,100.00%,83.83%,0.00%,3.87%,0.00%,3.98%
22,21-<22 mo,14,0,6,100.00%,82.15%,99.81%,94.95%,100.00%,83.83%,0.00%,3.87%,0.00%,3.98%
23,22-<23 mo,8,0,3,100.00%,82.15%,99.80%,94.77%,100.00%,83.83%,0.00%,3.87%,0.00%,3.98%
24,23-<24 mo,5,0,5,+,+,99.81%,94.59%,+,+,+,+,+,+
