Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,378,0,19,100.00%,100.00%,99.72%,99.72%,100.0000%*,100.0000%*,0.00%,0.00%,0.00%,0.00%
2,1-<2 mo,359,3,12,99.15%,99.15%,99.71%,99.43%,99.43%,99.72%,0.49%,0.49%,0.49%,0.49%
3,2-<3 mo,344,1,14,99.70%,98.86%,99.71%,99.15%,99.99%,99.71%,0.30%,0.57%,0.30%,0.57%
4,3-<4 mo,329,0,12,100.00%,98.86%,99.72%,98.87%,100.0000%*,99.7057%#,0.00%,0.57%,0.00%,0.5737%#
5,4-<5 mo,317,1,20,99.67%,98.53%,99.72%,98.59%,99.96%,99.7057%#,0.33%,0.65%,0.33%,0.5737%#
6,5-<6 mo,296,0,13,100.00%,98.53%,99.72%,98.31%,100.0000%*,99.7057%*#,0.00%,0.65%,0.00%,0.5737%#
7,6-<7 mo,283,1,19,99.63%,98.17%,99.72%,98.04%,99.91%,99.7057%*#,0.37%,0.74%,0.37%,0.5737%#
8,7-<8 mo,263,0,18,100.00%,98.17%,99.71%,97.75%,100.0000%*,99.7057%*#,0.00%,0.74%,0.00%,0.5737%#
9,8-<9 mo,245,1,12,99.58%,97.76%,99.71%,97.47%,99.88%,99.7057%*#,0.42%,0.85%,0.42%,0.5737%#
10,9-<10 mo,232,0,11,100.00%,97.76%,99.71%,97.18%,100.0000%*,99.7057%*#,0.00%,0.85%,0.00%,0.5737%#
11,10-<11 mo,221,1,18,99.53%,97.30%,99.71%,96.90%,99.82%,99.7057%*#,0.47%,0.96%,0.47%,0.5737%#
12,11-<12 mo,202,3,18,98.45%,95.79%,99.71%,96.62%,98.73%,99.14%,0.89%,1.28%,0.89%,1.33%
13,12-<13 mo,181,0,13,100.00%,95.79%,99.67%,96.30%,100.0000%*,99.1447%#,0.00%,1.28%,0.00%,1.3262%#
14,13-<14 mo,168,0,16,100.00%,95.79%,99.66%,95.97%,100.0000%*,99.1447%#,0.00%,1.28%,0.00%,1.3262%#
15,14-<15 mo,152,0,12,100.00%,95.79%,99.67%,95.65%,100.0000%*,99.1447%*#,0.00%,1.28%,0.00%,1.3262%#
16,15-<16 mo,140,2,14,98.50%,94.35%,99.66%,95.33%,98.83%,98.97%,1.06%,1.62%,1.06%,1.70%
17,16-<17 mo,124,0,13,100.00%,94.35%,99.67%,95.01%,100.0000%*,98.9733%#,0.00%,1.62%,0.00%,1.6962%#
18,17-<18 mo,111,0,19,100.00%,94.35%,99.66%,94.69%,100.0000%*,98.9733%#,0.00%,1.62%,0.00%,1.6962%#
19,18-<19 mo,92,0,16,100.00%,94.35%,99.67%,94.37%,100.0000%*,98.9733%#,0.00%,1.62%,0.00%,1.6962%#
20,19-<20 mo,76,1,21,98.47%,92.91%,99.68%,94.07%,98.78%,98.76%,1.52%,2.14%,1.52%,2.27%
21,20-<21 mo,54,0,17,100.00%,92.91%,99.70%,93.79%,100.0000%*,98.7618%#,0.00%,2.14%,0.00%,2.2746%#
22,21-<22 mo,37,0,11,100.00%,92.91%,99.76%,93.57%,100.0000%*,98.7618%#,0.00%,2.14%,0.00%,2.2746%#
23,22-<23 mo,26,0,15,100.00%,92.91%,99.76%,93.34%,100.0000%*,98.7618%#,0.00%,2.14%,0.00%,2.2746%#
24,23-<24 mo,11,0,11,+,+,99.83%,93.18%,+,+,+,+,+,+
