Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"2,717",492,102,81.38%,81.38%,99.76%,99.76%,81.56%,81.56%,0.77%,0.77%,0.78%,0.78%
2,1-<2 mo,"2,123",303,70,85.45%,69.57%,99.77%,99.54%,85.64%,69.89%,0.79%,0.92%,0.79%,0.92%
3,2-<3 mo,"1,750",249,71,85.32%,59.47%,99.78%,99.32%,85.50%,59.86%,0.87%,0.99%,0.88%,1.00%
4,3-<4 mo,"1,430",153,57,89.02%,53.03%,99.79%,99.11%,89.20%,53.47%,0.86%,1.02%,0.86%,1.02%
5,4-<5 mo,"1,220",97,71,91.85%,48.82%,99.80%,98.91%,92.04%,49.31%,0.81%,1.02%,0.81%,1.04%
6,5-<6 mo,"1,052",70,59,92.68%,45.44%,99.80%,98.72%,92.86%,45.97%,0.85%,1.03%,0.85%,1.04%
7,6-<7 mo,923,63,59,92.69%,42.23%,99.80%,98.53%,92.87%,42.79%,0.91%,1.03%,0.91%,1.05%
8,7-<8 mo,801,46,42,93.84%,39.70%,99.80%,98.33%,94.03%,40.29%,0.90%,1.04%,0.91%,1.05%
9,8-<9 mo,713,30,56,95.40%,37.98%,99.81%,98.14%,95.58%,38.61%,0.84%,1.04%,0.85%,1.06%
10,9-<10 mo,627,30,43,94.83%,36.16%,99.80%,97.95%,95.02%,36.81%,0.95%,1.04%,0.95%,1.06%
11,10-<11 mo,554,15,47,97.07%,35.18%,99.80%,97.76%,97.26%,35.87%,0.78%,1.05%,0.78%,1.07%
12,11-<12 mo,492,29,44,93.54%,32.86%,99.80%,97.57%,93.73%,33.56%,1.20%,1.06%,1.20%,1.09%
13,12-<13 mo,419,13,27,96.34%,31.80%,99.77%,97.35%,96.55%,32.53%,1.02%,1.07%,1.02%,1.09%
14,13-<14 mo,379,11,35,97.55%,30.91%,99.78%,97.14%,97.76%,31.69%,0.76%,1.08%,0.76%,1.11%
15,14-<15 mo,333,12,33,96.30%,29.84%,99.78%,96.93%,96.51%,30.64%,1.09%,1.09%,1.09%,1.12%
16,15-<16 mo,288,15,24,94.28%,28.16%,99.79%,96.73%,94.48%,28.96%,1.46%,1.11%,1.47%,1.14%
17,16-<17 mo,249,12,46,94.54%,26.59%,99.80%,96.54%,94.73%,27.40%,1.56%,1.13%,1.56%,1.17%
18,17-<18 mo,191,3,27,98.29%,26.13%,99.81%,96.36%,98.48%,26.97%,1.00%,1.15%,1.00%,1.18%
19,18-<19 mo,161,9,24,93.07%,24.37%,99.81%,96.18%,93.22%,25.19%,2.20%,1.20%,2.21%,1.24%
20,19-<20 mo,128,1,34,98.98%,24.09%,99.80%,95.99%,98.99%,24.91%,1.00%,1.21%,1.00%,1.25%
21,20-<21 mo,93,2,32,97.56%,23.53%,99.80%,95.80%,97.74%,24.41%,1.74%,1.25%,1.75%,1.30%
22,21-<22 mo,59,1,21,97.63%,23.13%,99.80%,95.62%,97.77%,24.00%,2.30%,1.29%,2.31%,1.34%
23,22-<23 mo,37,1,24,97.70%,22.42%,99.81%,95.43%,97.73%,23.30%,2.20%,1.43%,2.20%,1.49%
24,23-<24 mo,12,0,12,+,+,99.70%,95.15%,+,+,+,+,+,+
