Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"2,361",436,88,80.91%,80.91%,99.76%,99.76%,81.10%,81.10%,0.84%,0.84%,0.84%,0.84%
2,1-<2 mo,"1,837",252,62,85.95%,69.56%,99.78%,99.54%,86.15%,69.88%,0.84%,0.99%,0.84%,0.99%
3,2-<3 mo,"1,523",210,57,85.75%,59.73%,99.78%,99.32%,85.93%,60.12%,0.93%,1.06%,0.93%,1.07%
4,3-<4 mo,"1,256",132,48,89.13%,53.32%,99.79%,99.12%,89.32%,53.76%,0.92%,1.09%,0.92%,1.10%
5,4-<5 mo,"1,076",83,60,92.14%,49.20%,99.80%,98.92%,92.32%,49.70%,0.85%,1.10%,0.85%,1.11%
6,5-<6 mo,933,59,52,93.02%,45.92%,99.81%,98.73%,93.19%,46.46%,0.89%,1.10%,0.89%,1.12%
7,6-<7 mo,822,55,47,92.92%,42.78%,99.81%,98.54%,93.10%,43.35%,0.95%,1.11%,0.95%,1.12%
8,7-<8 mo,720,39,35,94.21%,40.35%,99.81%,98.35%,94.39%,40.95%,0.93%,1.11%,0.93%,1.13%
9,8-<9 mo,646,27,54,95.48%,38.62%,99.81%,98.16%,95.66%,39.26%,0.88%,1.12%,0.88%,1.14%
10,9-<10 mo,565,24,37,95.38%,36.99%,99.80%,97.97%,95.56%,37.65%,0.95%,1.12%,0.95%,1.14%
11,10-<11 mo,504,11,43,97.69%,36.19%,99.81%,97.78%,97.88%,36.90%,0.72%,1.12%,0.73%,1.14%
12,11-<12 mo,450,25,37,93.90%,33.90%,99.80%,97.59%,94.09%,34.63%,1.21%,1.14%,1.22%,1.17%
13,12-<13 mo,388,12,25,96.18%,32.76%,99.77%,97.37%,96.39%,33.52%,1.10%,1.14%,1.10%,1.17%
14,13-<14 mo,351,9,32,97.76%,31.94%,99.78%,97.16%,97.98%,32.75%,0.77%,1.15%,0.77%,1.18%
15,14-<15 mo,310,10,32,96.44%,30.91%,99.78%,96.96%,96.65%,31.74%,1.15%,1.16%,1.15%,1.20%
16,15-<16 mo,268,14,21,94.28%,29.14%,99.79%,96.76%,94.48%,29.98%,1.52%,1.19%,1.53%,1.22%
17,16-<17 mo,233,11,44,94.69%,27.53%,99.80%,96.56%,94.88%,28.38%,1.59%,1.22%,1.59%,1.25%
18,17-<18 mo,178,3,26,98.15%,27.02%,99.81%,96.39%,98.33%,27.90%,1.09%,1.23%,1.09%,1.27%
19,18-<19 mo,149,8,24,93.21%,25.21%,99.81%,96.20%,93.36%,26.07%,2.29%,1.28%,2.29%,1.33%
20,19-<20 mo,117,1,31,98.81%,24.89%,99.80%,96.02%,98.82%,25.75%,1.17%,1.30%,1.17%,1.34%
21,20-<21 mo,85,2,28,97.43%,24.26%,99.79%,95.82%,97.62%,25.20%,1.85%,1.34%,1.85%,1.40%
22,21-<22 mo,55,0,20,100.00%,24.26%,99.80%,95.62%,100.00%,25.20%,0.00%,1.34%,0.00%,1.40%
23,22-<23 mo,35,1,24,+,+,99.80%,95.44%,+,+,+,+,+,+
