Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"2,361",436,88,81.18%,81.18%,99.77%,99.77%,81.37%,81.37%,0.81%,0.81%,0.81%,0.81%
2,1-<2 mo,"1,837",252,62,86.05%,69.85%,99.78%,99.55%,86.23%,70.17%,0.82%,0.96%,0.82%,0.97%
3,2-<3 mo,"1,523",210,57,85.95%,60.04%,99.79%,99.34%,86.13%,60.44%,0.90%,1.04%,0.90%,1.05%
4,3-<4 mo,"1,256",132,48,89.29%,53.61%,99.80%,99.15%,89.46%,54.07%,0.88%,1.07%,0.88%,1.08%
5,4-<5 mo,"1,076",83,60,92.07%,49.35%,99.82%,98.96%,92.24%,49.87%,0.84%,1.08%,0.84%,1.09%
6,5-<6 mo,933,59,52,93.50%,46.14%,99.82%,98.78%,93.66%,46.71%,0.82%,1.09%,0.82%,1.10%
7,6-<7 mo,822,55,47,93.11%,42.96%,99.82%,98.61%,93.28%,43.57%,0.90%,1.09%,0.90%,1.11%
8,7-<8 mo,720,39,35,94.45%,40.58%,99.82%,98.44%,94.61%,41.22%,0.86%,1.10%,0.87%,1.12%
9,8-<9 mo,646,27,54,95.64%,38.81%,99.83%,98.27%,95.80%,39.49%,0.82%,1.10%,0.82%,1.12%
10,9-<10 mo,565,24,37,95.61%,37.10%,99.83%,98.10%,95.78%,37.82%,0.88%,1.11%,0.88%,1.13%
11,10-<11 mo,504,11,43,97.72%,36.26%,99.83%,97.93%,97.89%,37.03%,0.68%,1.11%,0.68%,1.13%
12,11-<12 mo,450,25,37,94.21%,34.16%,99.83%,97.76%,94.37%,34.94%,1.12%,1.12%,1.13%,1.15%
13,12-<13 mo,388,12,25,96.80%,33.07%,99.80%,97.57%,96.99%,33.89%,0.91%,1.13%,0.91%,1.16%
14,13-<14 mo,351,9,32,97.31%,32.18%,99.81%,97.38%,97.50%,33.04%,0.88%,1.14%,0.89%,1.17%
15,14-<15 mo,310,10,32,96.60%,31.08%,99.81%,97.20%,96.78%,31.98%,1.06%,1.15%,1.06%,1.18%
16,15-<16 mo,268,14,21,94.56%,29.39%,99.82%,97.02%,94.74%,30.30%,1.41%,1.17%,1.42%,1.21%
17,16-<17 mo,233,11,44,94.79%,27.86%,99.82%,96.85%,94.96%,28.77%,1.53%,1.20%,1.53%,1.24%
18,17-<18 mo,178,3,26,98.18%,27.35%,99.83%,96.69%,98.35%,28.29%,1.04%,1.21%,1.04%,1.25%
19,18-<19 mo,149,8,24,94.16%,25.76%,99.83%,96.52%,94.32%,26.69%,2.00%,1.27%,2.01%,1.31%
20,19-<20 mo,117,1,31,99.01%,25.50%,99.82%,96.35%,99.19%,26.47%,0.98%,1.28%,0.98%,1.33%
21,20-<21 mo,85,2,28,97.18%,24.79%,99.80%,96.16%,97.38%,25.78%,1.96%,1.34%,1.97%,1.39%
22,21-<22 mo,55,0,20,100.00%,24.79%,99.80%,95.96%,100.0000%*,25.7760%#,0.00%,1.34%,0.00%,1.3943%#
23,22-<23 mo,35,1,24,95.65%,23.71%,99.81%,95.78%,95.84%,24.75%,4.25%,1.66%,4.26%,1.73%
24,23-<24 mo,10,0,10,+,+,99.73%,95.52%,+,+,+,+,+,+
